"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","M_01","M_02","M_03","M_04","M_05","M_06","M_07","M_08","M_08_VALOR","M_08_TEXTO","M_09_C","M_09_D","M_09_E","M_09_F","M_09_G","M_10_A","M_10_B","M_10_C","M_10_D","M_10_E","M_10_F","M_10_G","M_10_H","M_10_I","M_10_J","M_10_K","M_10_L","M_10_M","M_10_N","M_10_O"
829,"52001",2,1,2,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1348,"52001",2,1,2,2,3,1,3,1,9,150000,150,1,1000,"MIL PESOS",NA,1,NA,NA,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
1578,"52001",3,1,2,3,3,1,3,1,1,10000,10,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1
5937,"52001",1,1,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8013,"52001",1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8862,"52001",2,1,2,2,3,1,4,1,10,10000,10,1,1000,"MIL PESOS",1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9928,"52001",3,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9968,"52001",1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19329,"52001",2,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23727,"52001",1,1,1,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25173,"52001",2,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26720,"52001",3,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26840,"52001",3,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28303,"52001",2,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31685,"52001",1,1,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36156,"52001",1,1,1,1,3,1,1,2,NA,NA,1,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2
