"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
535,3,1,68547,2,1,1,3,9,4,1,2,2,23,1
1129,3,2,68081,1,1,1,2,9,3,1,2,2,58,2
2201,3,2,68307,1,1,1,5,1,5,2,1,1,31,1
8194,3,1,68276,2,1,1,2,9,3,1,1,1,43,1
10627,3,2,68001,2,1,7,4,9,5,1,1,1,30,1
13406,3,2,68679,2,1,1,4,9,3,1,1,1,55,1
17933,3,1,68276,1,1,1,5,9,4,1,1,1,25,3
18735,3,2,68001,1,1,1,4,5,5,1,1,1,22,5
20032,3,2,68001,4,1,1,4,9,5,1,2,2,24,1
22065,3,2,68001,3,1,1,5,9,7,1,1,1,48,1
30757,3,1,68001,2,1,1,3,9,4,1,1,1,42,1
35160,3,2,68001,2,1,1,4,9,5,1,1,1,27,1
