"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
535,3,1,68547,2,1,1,3,9,4,1,2,2,23,1
721,3,2,68307,3,1,1,5,9,7,1,1,1,47,1
1147,3,2,68081,2,1,1,3,9,4,1,2,2,23,3
1236,3,9,68081,1,1,3,4,9,4,1,1,1,26,5
2201,3,2,68307,1,1,1,5,1,5,2,1,1,31,1
2276,3,2,68081,2,1,1,4,9,5,1,1,1,38,1
5557,3,1,68276,2,1,1,5,9,6,1,1,1,30,3
5737,3,1,68276,2,1,1,4,9,6,1,1,1,18,3
5875,3,2,68276,3,1,4,4,9,5,1,2,2,30,2
5876,9,2,68081,2,1,1,4,9,5,1,1,1,22,1
9014,3,2,68276,2,2,4,3,9,5,1,1,1,50,3
9069,3,2,68276,2,1,4,5,9,6,1,2,2,22,5
10214,3,2,68001,3,1,1,4,9,5,1,1,1,48,1
10496,3,2,68276,2,1,1,5,5,5,1,1,1,23,1
10627,3,2,68001,2,1,7,4,9,5,1,1,1,30,1
12582,3,2,68276,3,1,1,4,9,3,1,1,1,47,1
15525,3,2,68276,2,1,1,4,9,5,1,1,1,47,1
16822,3,2,68001,3,2,2,5,9,6,1,1,1,25,3
17653,3,2,68001,1,2,4,4,9,4,1,2,2,23,3
17933,3,1,68276,1,1,1,5,9,4,1,1,1,25,3
20032,3,2,68001,4,1,1,4,9,5,1,2,2,24,1
23848,3,2,68001,3,2,3,3,9,5,3,2,2,18,3
23896,3,2,68001,3,1,1,5,9,6,1,1,1,43,1
29457,3,2,68001,1,1,1,3,9,3,1,1,1,42,1
30757,2,2,68001,2,1,1,3,9,4,1,1,1,42,1
30911,3,2,68001,2,1,1,4,9,5,1,1,1,25,1
35160,3,2,68001,2,1,1,4,9,5,1,1,1,27,1
