"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
535,3,1,68547,2,1,1,3,9,4,1,2,2,23,1
624,3,2,68547,2,1,1,5,9,6,3,2,2,37,1
721,3,2,68307,3,1,1,5,9,7,1,1,1,47,1
1102,3,2,68081,3,1,1,2,9,1,1,2,2,65,7
1124,3,1,68081,2,1,1,4,9,5,1,1,1,38,2
1129,3,2,68081,1,1,1,2,9,3,1,2,2,58,2
1147,3,2,68081,2,1,1,3,9,4,1,2,2,23,3
1181,9,2,68081,3,2,4,4,5,3,1,1,1,65,1
1198,3,2,68081,4,1,1,4,9,8,1,1,1,49,1
1232,3,1,68547,3,1,1,2,9,6,1,1,1,20,3
1236,3,1,68081,1,1,3,4,9,4,1,1,1,26,5
2201,3,2,68307,1,1,1,5,1,5,2,1,1,31,1
2218,3,2,68307,3,1,1,5,9,6,1,1,1,24,5
2338,3,1,68276,2,2,4,4,9,5,3,2,2,19,5
5520,3,2,68276,3,1,1,4,9,4,1,1,1,39,3
5557,3,1,68276,2,1,1,5,9,6,1,1,1,30,3
5737,3,1,68276,2,1,1,4,9,6,1,1,1,18,3
5801,3,1,68081,3,1,1,3,9,7,1,1,1,39,1
5875,3,2,68276,3,1,4,4,9,5,1,2,2,30,2
5876,3,1,68081,2,1,1,4,9,5,1,1,1,22,1
6291,3,1,68276,2,1,1,3,1,7,2,1,1,22,1
7973,3,2,68081,2,1,2,3,9,3,1,1,1,62,1
8194,3,1,68276,2,1,1,2,9,3,1,1,1,43,1
8247,3,2,68081,2,2,3,4,9,5,1,2,2,18,8
8860,3,2,68081,1,1,1,4,9,3,1,1,1,49,1
8909,3,1,68276,3,1,1,4,9,5,1,1,1,33,1
9014,3,2,68276,2,2,4,3,9,5,1,1,1,50,3
9069,3,2,68276,2,1,4,5,9,6,1,2,2,22,5
9480,3,1,68276,1,2,4,3,9,6,3,2,2,18,3
9645,3,2,68081,8,1,1,4,9,5,1,1,1,45,1
10214,3,2,68001,3,1,1,4,9,5,1,1,1,48,1
10342,3,2,68276,3,1,1,5,9,4,1,1,1,35,3
10496,3,2,68276,2,1,1,5,5,5,1,1,1,23,1
10627,3,2,68001,2,1,7,4,9,5,1,1,1,30,1
12087,3,2,68276,3,1,1,4,9,5,1,1,1,27,7
13133,3,2,68276,3,2,3,4,9,4,NA,NA,1,15,5
13169,3,1,68001,3,1,1,4,9,7,1,1,1,30,3
13223,3,1,68679,3,1,1,4,9,5,1,1,1,18,3
13270,3,2,68679,2,1,1,4,9,6,3,2,2,37,3
13406,3,2,68679,2,1,1,4,9,3,1,1,1,55,1
13559,3,2,68001,3,2,4,5,9,7,1,2,2,30,1
14176,3,1,68001,5,1,1,4,9,5,1,1,1,22,3
16822,3,1,68001,3,2,2,5,9,6,1,1,1,25,3
17653,3,2,68001,1,2,4,4,9,4,1,2,2,23,3
17798,3,1,68001,2,2,7,4,9,6,1,1,1,22,8
17906,3,2,68001,3,1,1,4,9,5,1,1,1,47,8
17933,3,1,68276,1,1,1,5,9,4,1,1,1,25,3
18613,3,2,68307,1,1,1,3,1,3,1,1,1,45,1
18735,3,2,68001,1,1,1,4,5,5,1,1,1,22,5
19754,3,2,68001,3,1,1,5,9,5,1,1,1,26,1
19992,3,2,68001,4,1,1,4,9,7,1,1,1,25,3
20032,3,2,68001,4,1,1,4,9,5,1,2,2,24,1
20094,3,2,68001,2,1,1,4,9,3,1,1,1,37,1
20112,3,2,68276,1,1,1,4,9,4,1,1,1,29,1
21287,3,2,68276,4,2,3,5,5,5,1,1,1,19,5
