"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","K_01_A","K_01_B","K_01_C","K_01_D","K_02","K_03","K_04","K_05","K_06","K_07","K_08","K_09","K_09_VALOR","K_09_TEXTO","K_10_A","K_10_B","K_10_C","K_10_D","K_10_E","K_10_F","K_10_G","K_10_H","K_10_I","K_11","K_11_A","K_11_B","K_11_E","K_12_A","K_12_B","K_12_C","K_12_D","K_12_E","K_12_F","K_12_G","K_12_H","K_12_I","K_12_J","K_12_K","K_12_L","K_12_M","K_12_N","K_12_O","ORDEN.y"
7,"70215",1,1,1,5,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
308,"70001",1,1,3,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1596,"70215",2,1,1,5,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4314,"70001",2,1,1,2,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
4411,"70001",1,1,2,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12419,"70708",1,1,1,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14470,"70001",2,1,1,4,NA,1,NA,NA,3,1,3,1,2,10000,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,4
15110,"70001",2,1,2,5,NA,1,NA,NA,3,1,5,2,NA,NA,2,1,2000,"DOS MIL PESOS MONEDA CORRIETE",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3
17602,"70001",2,1,2,2,NA,NA,1,NA,3,1,2,2,NA,NA,1,1,2000,"DOS MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22131,"70001",1,1,1,7,NA,1,NA,NA,3,1,3,1,10,40000,20,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,6
22164,"70001",2,1,2,3,NA,1,NA,NA,3,1,5,1,30,60000,30,1,2000,"DOS MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2
26541,"70001",1,1,1,4,NA,1,NA,NA,3,1,4,1,10,20000,10,1,2000,"DOS MIL PESOS",NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
30040,"70001",1,1,1,2,1,NA,NA,NA,9,1,4,1,10,20000,10,1,2000,"DOS MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31638,"70001",1,1,4,2,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
