"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"70215",1,1,1,3,6
"70215",1,1,1,5,7
"70001",1,1,3,5,210
"70215",2,1,1,2,241
"70215",1,1,1,4,272
"70215",1,1,1,7,288
"70001",1,1,3,4,308
"70215",1,1,1,3,316
"70001",1,1,3,2,321
"70215",1,1,1,5,325
"70001",1,1,3,6,331
"70001",1,1,1,2,335
"70215",1,1,1,5,337
"70215",1,1,1,8,384
"70215",1,1,1,4,407
"70215",1,1,1,5,415
"70001",1,1,3,5,424
"70001",1,1,3,4,430
"70215",1,1,1,3,433
"70001",1,1,2,7,435
"70215",1,1,1,4,439
"70001",1,1,3,2,445
"70001",1,1,3,2,450
"70215",1,1,1,4,454
"70001",1,1,3,2,456
"70215",1,1,1,3,458
"70001",1,1,3,4,464
"70001",1,1,3,2,481
"70215",1,1,1,4,499
"70001",1,1,3,3,500
"70215",2,1,1,1,516
"70001",1,1,3,3,521
"70215",1,1,1,4,548
"70215",1,1,1,5,575
"70215",1,1,1,2,1261
"70215",1,1,1,4,1286
"70215",2,1,1,3,1408
"70215",1,1,1,2,1515
"70215",1,1,1,7,1529
"70215",2,1,1,4,1562
"70215",1,1,1,2,1563
"70215",2,1,1,5,1596
"70215",1,1,1,3,1610
"70215",2,1,1,3,1653
"70215",1,1,2,4,1656
"70215",1,1,1,3,1671
"70215",1,1,2,4,1679
"70215",1,1,1,4,1680
"70215",1,1,1,2,1687
"70215",1,1,1,2,1700
"70215",1,1,2,5,1701
"70215",1,1,1,5,1703
"70215",1,1,2,4,1720
"70215",1,1,1,4,1722
"70215",2,1,2,3,1728
"70215",2,1,1,7,1729
"70215",1,1,2,3,1756
"70215",2,1,2,2,1770
"70215",1,1,1,2,1785
"70001",1,1,3,5,1788
"70215",1,1,1,4,1796
"70215",1,1,1,7,1805
"70215",1,1,2,2,1809
"70001",1,1,3,3,1834
"70001",2,1,1,1,1838
"70001",1,1,2,5,1865
"70001",2,1,3,2,1878
"70215",1,1,1,2,1882
"70215",1,1,1,6,1919
"70215",1,1,1,2,1947
"70215",1,1,2,4,2001
"70215",1,1,1,4,2002
"70215",1,1,1,1,2006
"70215",2,1,1,6,2017
"70215",1,1,1,5,2030
"70215",1,1,1,2,2042
"70215",1,1,2,5,2092
"70215",1,1,2,4,2096
"70215",1,1,2,2,2145
"70215",1,1,1,3,2153
"70215",2,1,1,7,2155
"70215",1,1,2,3,2162
"70215",2,1,2,4,2183
"70215",2,1,2,2,2185
"70215",1,1,1,3,2211
"70215",1,1,2,6,2232
"70215",1,1,1,4,2236
"70215",1,1,1,4,2248
"70215",1,1,1,6,2258
"70215",1,1,1,4,2265
"70215",1,1,1,3,2269
"70215",2,1,1,3,2299
"70215",2,1,1,4,2322
"70215",2,1,1,5,2362
"70215",2,1,1,2,2374
"70215",1,1,1,7,2410
"70215",1,1,1,5,2419
"70215",1,1,1,4,2461
"70215",1,1,1,3,2482
"70215",1,1,1,3,2509
"70215",1,1,1,5,2510
"70215",2,1,1,3,2523
"70215",1,1,1,3,2536
"70215",1,1,1,7,2577
"70215",1,1,1,3,2628
"70215",1,1,2,4,2668
"70215",1,1,2,1,3010
"70215",2,1,2,3,3011
"70215",1,1,1,3,3026
"70215",1,1,2,3,3043
"70215",1,1,1,5,3059
"70215",2,1,1,4,3094
"70215",1,1,1,5,3097
"70215",1,1,1,4,3270
"70215",1,1,1,3,3288
"70215",1,1,1,6,3292
"70215",1,1,1,5,3295
"70215",2,1,1,4,3306
"70215",1,1,1,1,3310
"70215",1,1,1,3,3321
"70215",1,1,1,6,3325
"70215",1,1,1,3,3326
"70215",1,1,1,4,3336
"70215",2,1,1,1,3338
"70215",1,1,1,5,3342
"70215",1,1,1,6,3348
"70215",1,1,1,3,3350
"70215",1,1,1,4,3357
"70215",1,1,1,2,3364
"70215",1,1,1,4,3370
"70215",1,1,1,5,3371
"70215",1,1,1,8,3378
"70215",2,1,1,5,3381
"70215",1,1,1,4,3386
"70215",1,1,1,6,3389
"70215",1,1,1,3,3390
"70215",1,1,1,4,3393
"70215",1,1,1,3,3394
"70215",1,1,1,2,3478
"70215",1,1,2,4,3497
"70215",1,1,1,3,3519
"70215",1,1,1,4,3526
"70215",1,1,1,3,3566
"70215",1,1,1,2,3574
"70215",1,1,1,4,3603
"70215",1,1,1,4,3612
"70215",1,1,1,3,3627
"70215",1,1,1,3,3645
"70215",1,1,1,2,3653
"70215",2,1,1,4,3656
"70215",1,1,1,3,3867
