"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"76364",2,1,3,7,420
"76364",1,1,3,3,431
"76364",2,1,2,3,434
"76364",1,1,3,3,436
"76364",2,1,3,1,473
"76364",2,1,2,2,484
"76364",1,1,3,4,488
"76364",1,1,3,1,491
"76364",2,1,3,3,519
"76364",1,1,3,2,523
"76364",2,1,2,4,533
"76364",1,1,3,3,543
"76364",1,1,3,3,551
"76364",1,1,3,3,553
"76364",2,1,3,2,562
"76364",1,1,3,3,579
"76364",2,1,3,3,584
"76364",1,1,3,5,589
"76364",2,1,3,3,602
"76364",2,1,2,5,1035
"76364",2,1,3,3,1075
"76364",1,1,2,5,1080
"76364",2,1,2,4,1120
"76364",1,1,3,1,1128
"76364",1,1,2,3,1148
"76364",1,1,2,3,1197
"76364",2,1,2,4,1291
"76364",2,1,2,6,1321
"76364",1,1,2,2,1344
"76001",1,1,1,4,1406
"76001",1,1,2,5,1407
"76001",1,1,2,5,1412
"76001",1,1,2,5,1432
"76001",2,1,2,4,1499
"76001",1,1,2,4,1506
"76001",1,1,2,5,1522
"76001",1,1,2,4,1528
"76001",1,1,1,3,1535
"76001",2,1,2,4,1544
"76001",1,1,1,2,1567
"76001",1,1,2,3,1587
"76001",1,1,2,2,1619
"76001",1,1,2,3,1625
"76001",1,1,2,3,1642
"76001",1,1,2,4,1667
"76001",1,1,2,2,1719
"76001",1,1,2,2,1730
"76001",1,1,2,3,1872
"76364",2,1,2,4,1873
"76001",1,1,2,3,1874
"76001",2,1,2,5,1893
"76001",1,1,2,2,1910
"76001",1,1,2,5,1937
"76001",2,1,3,5,1965
"76001",1,1,2,3,1977
"76001",2,1,2,4,1992
"76001",1,1,3,5,1994
"76001",1,1,2,2,2033
"76001",2,1,2,3,2040
"76001",2,1,3,3,2059
"76001",2,1,3,6,2064
"76001",1,1,2,3,2101
"76001",2,1,3,3,2103
"76001",2,1,2,4,2109
"76001",1,1,2,5,2138
"76001",2,1,2,3,2140
"76001",2,1,3,2,2141
"76001",1,1,3,4,2169
"76001",2,1,3,2,2172
"76001",2,1,2,4,2173
"76001",2,1,2,4,2174
"76001",1,1,2,2,2178
"76001",2,1,3,2,2192
"76001",2,1,3,5,2205
"76001",1,1,3,6,2213
"76364",2,1,2,5,2279
"76001",2,1,3,5,2302
"76001",2,1,3,2,2329
"76001",1,1,3,2,2330
"76001",2,1,2,4,2360
"76001",2,1,3,3,2388
"76001",2,1,3,3,2392
"76001",2,1,3,4,2435
"76001",2,1,3,3,2441
"76001",1,1,3,2,2444
"76364",2,1,2,3,2445
"76001",2,1,2,2,2458
"76001",1,1,3,4,2476
"76001",2,1,3,3,2488
"76001",2,1,2,2,2551
"76001",2,1,3,2,2559
"76001",2,1,3,2,2569
"76001",1,1,3,3,2571
"76001",2,1,2,3,2584
"76001",1,1,3,2,2588
"76001",2,1,3,2,2598
"76001",1,1,3,4,2605
"76001",2,1,2,5,2616
"76001",2,1,3,3,2676
"76001",1,1,3,6,2709
"76001",2,1,3,5,2971
"76001",2,1,3,3,3017
"76364",2,1,3,4,3067
"76001",2,1,3,3,3089
"76001",2,1,3,2,3136
"76001",1,1,2,3,3137
"76364",2,1,2,2,3152
"76001",2,1,3,4,3153
"76001",1,1,2,3,3157
"76364",2,1,2,3,3162
"76364",2,1,3,1,3167
"76364",2,1,2,3,3174
"76364",1,1,3,2,3180
"76275",2,1,1,3,3214
"76001",1,1,1,3,3231
"76001",2,1,2,2,3239
"76109",1,1,1,3,3253
"76275",2,1,1,2,3254
"76001",2,1,3,4,3258
"76001",1,1,2,3,3263
"76109",1,1,1,5,3269
"76275",1,1,1,10,3281
"76001",1,1,2,5,3300
"76109",1,1,1,9,3301
"76275",2,1,1,3,3316
"76001",2,1,2,1,3332
"76275",2,1,1,5,3339
"76364",1,1,2,3,3421
"76109",1,1,1,4,3468
"76364",2,1,2,3,3472
"76001",1,1,2,6,3476
"76364",2,1,3,3,3506
"76109",1,1,1,4,3511
"76364",2,1,3,2,3536
"76001",1,1,2,3,3539
"76001",2,1,2,2,3585
"76109",2,1,2,6,3615
"76001",2,1,2,3,3620
"76001",1,1,2,2,3648
"76275",1,1,1,4,3675
"76001",2,1,2,3,3676
"76001",1,1,2,4,3698
"76001",2,1,2,3,3703
"76109",2,1,2,2,3726
"76001",1,1,5,4,3735
"76001",2,1,2,3,3737
"76275",2,1,1,2,3828
"76109",2,1,3,4,3836
"76001",2,1,2,3,3840
"76109",1,1,1,5,3876
"76001",1,1,3,3,3877
"76001",2,1,2,6,3897
"76001",2,1,3,5,3938
"76001",1,1,2,2,3988
"76001",2,1,3,6,4016
"76364",1,1,2,2,4018
"76001",1,1,2,6,4041
"76364",1,1,2,1,4043
"76001",1,1,3,2,4063
"76001",2,1,3,3,4089
"76364",1,1,2,8,4097
"76001",1,1,2,8,4105
"76109",2,1,1,1,4200
"76001",2,1,2,3,4202
"76001",1,1,3,3,4203
"76001",2,1,3,3,4226
"76001",2,1,2,2,4227
"76001",1,1,3,3,4267
"76001",2,1,2,4,4279
"76001",1,1,2,3,4282
"76109",1,1,1,6,4283
"76001",2,1,2,2,4284
"76109",1,1,2,2,4287
"76001",2,1,2,7,4299
"76001",2,1,3,2,4312
"76001",1,1,2,4,4316
"76109",2,1,2,4,4327
"76001",2,1,2,3,4344
"76001",1,1,2,2,4358
"76001",1,1,3,6,4361
"76109",1,1,2,3,4368
"76275",1,1,2,3,4378
"76001",1,1,3,4,4400
"76275",2,1,2,5,4422
"76001",1,1,2,5,4427
"76275",2,1,2,3,4439
"76275",1,1,2,3,4449
"76001",2,1,2,3,4462
"76275",1,1,2,2,4467
"76109",2,1,2,4,4476
