"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1535,3,1,76001,1,1,1,4,5,5,1,1,1,34,3
1535,3,1,76001,1,1,1,4,5,5,1,1,2,78,2
1535,3,1,76001,1,1,1,4,5,5,1,1,1,86,1
2584,3,2,76001,2,1,1,5,1,5,1,1,1,6,3
2584,3,2,76001,2,1,1,5,1,5,1,1,1,37,1
2584,3,2,76001,2,1,1,5,1,5,1,1,2,29,2
2616,3,2,76001,2,2,3,4,5,5,NA,NA,2,42,1
2616,3,2,76001,2,2,3,4,5,5,NA,NA,1,8,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,2,10,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,2,17,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,1,19,3
8172,3,2,76001,5,1,1,5,5,7,1,1,2,33,2
8172,3,2,76001,5,1,1,5,5,7,1,1,1,27,1
8185,3,2,76001,4,1,1,5,5,4,1,1,1,51,1
9072,3,1,76001,3,1,1,4,9,6,1,1,1,28,3
9072,3,1,76001,3,1,1,4,9,6,1,1,2,74,1
10312,3,2,76001,2,1,1,4,9,6,2,2,2,22,3
10312,3,2,76001,2,1,1,4,9,6,2,2,2,39,1
10312,3,2,76001,2,1,1,4,9,6,2,2,1,14,3
10585,3,2,76001,3,1,8,5,9,6,1,1,1,19,7
10585,3,2,76001,3,1,8,5,9,6,1,1,2,28,1
10585,3,2,76001,3,1,8,5,9,6,1,1,2,38,8
10585,3,2,76001,3,1,8,5,9,6,1,1,1,32,2
10585,3,2,76001,3,1,8,5,9,6,1,1,2,55,6
11621,3,2,76001,4,1,1,5,5,7,1,1,1,25,3
11621,3,2,76001,4,1,1,5,5,7,1,1,2,60,1
11621,3,2,76001,4,1,1,5,5,7,1,1,2,22,3
11621,3,2,76001,4,1,1,5,5,7,1,1,1,39,3
11621,3,2,76001,4,1,1,5,5,7,1,1,1,33,3
13200,3,2,76001,3,1,1,4,9,5,1,1,1,50,1
