"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
4577,2,1,76001,3,1,8,5,9,5,1,1,2,65,1
4577,2,1,76001,3,1,8,5,9,5,1,1,1,23,3
10312,3,2,76001,2,1,1,4,9,6,2,2,2,39,1
10312,3,2,76001,2,1,1,4,9,6,2,2,1,14,3
10312,3,2,76001,2,1,1,4,9,6,2,2,2,22,3
10585,3,2,76001,3,1,8,5,9,6,1,1,2,55,6
10585,3,2,76001,3,1,8,5,9,6,1,1,2,38,8
10585,3,2,76001,3,1,8,5,9,6,1,1,1,32,2
10585,3,2,76001,3,1,8,5,9,6,1,1,2,28,1
10585,3,2,76001,3,1,8,5,9,6,1,1,1,19,7
14327,3,2,76001,3,1,1,5,9,6,1,1,1,33,1
14327,3,2,76001,3,1,1,5,9,6,1,1,2,32,2
14327,3,2,76001,3,1,1,5,9,6,1,1,1,7,3
14327,3,2,76001,3,1,1,5,9,6,1,1,1,19,3
19544,3,2,76001,4,2,8,4,9,6,1,2,1,16,3
19544,3,2,76001,4,2,8,4,9,6,1,2,2,22,3
19544,3,2,76001,4,2,8,4,9,6,1,2,1,67,1
19544,3,2,76001,4,2,8,4,9,6,1,2,2,18,3
31523,3,2,76001,2,1,1,4,9,5,2,1,2,78,6
31523,3,2,76001,2,1,1,4,9,5,2,1,1,83,2
31523,3,2,76001,2,1,1,4,9,5,2,1,1,22,8
31523,3,2,76001,2,1,1,4,9,5,2,1,2,63,1
31523,3,2,76001,2,1,1,4,9,5,2,1,2,5,8
31523,3,2,76001,2,1,1,4,9,5,2,1,2,24,3
32736,3,2,76001,3,1,1,5,5,7,1,1,1,24,1
39418,3,2,76001,1,2,2,4,9,6,1,1,1,21,3
39418,3,2,76001,1,2,2,4,9,6,1,1,2,40,2
39418,3,2,76001,1,2,2,4,9,6,1,1,1,50,1
39418,3,2,76001,1,2,2,4,9,6,1,1,2,16,3
43544,3,2,76001,4,1,1,3,5,7,1,1,1,4,3
43544,3,2,76001,4,1,1,3,5,7,1,1,1,36,1
43544,3,2,76001,4,1,1,3,5,7,1,1,2,33,2
46725,3,2,76001,3,2,1,4,5,7,1,1,1,29,3
46725,3,2,76001,3,2,1,4,5,7,1,1,2,49,2
46725,3,2,76001,3,2,1,4,5,7,1,1,1,53,1
46725,3,2,76001,3,2,1,4,5,7,1,1,1,8,5
50432,3,2,76001,5,2,3,4,5,5,1,2,2,24,1
50936,3,2,76736,2,1,1,3,9,5,1,2,1,85,1
50936,3,2,76736,2,1,1,3,9,5,1,2,2,24,5
50936,3,2,76736,2,1,1,3,9,5,1,2,2,72,2
50936,3,2,76736,2,1,1,3,9,5,1,2,2,52,3
51064,3,2,76834,2,1,1,5,9,7,1,1,1,31,3
51064,3,2,76834,2,1,1,5,9,7,1,1,1,67,1
51064,3,2,76834,2,1,1,5,9,7,1,1,2,60,2
51619,3,2,76001,5,1,8,4,9,7,1,2,2,67,1
51619,3,2,76001,5,1,8,4,9,7,1,2,2,27,3
51788,1,1,76001,1,2,7,4,9,4,3,2,2,21,3
51788,1,1,76001,1,2,7,4,9,4,3,2,2,5,3
51788,1,1,76001,1,2,7,4,9,4,3,2,2,19,3
51788,1,1,76001,1,2,7,4,9,4,3,2,1,11,3
51788,1,1,76001,1,2,7,4,9,4,3,2,2,1,5
51788,1,1,76001,1,2,7,4,9,4,3,2,2,38,1
51788,1,1,76001,1,2,7,4,9,4,3,2,2,17,3
51788,1,1,76001,1,2,7,4,9,4,3,2,1,10,3
52213,3,2,76001,2,1,7,3,1,3,1,2,1,16,3
52213,3,2,76001,2,1,7,3,1,3,1,2,2,42,1
52701,3,2,76001,4,1,3,4,9,6,1,1,1,24,3
52701,3,2,76001,4,1,3,4,9,6,1,1,2,70,1
53151,3,2,76147,2,1,1,4,5,3,1,1,2,38,1
53151,3,2,76147,2,1,1,4,5,3,1,1,1,42,2
53151,3,2,76147,2,1,1,4,5,3,1,1,2,8,3
53151,3,2,76147,2,1,1,4,5,3,1,1,1,4,3
53380,3,2,76001,3,1,1,2,9,5,1,2,1,35,1
53380,3,2,76001,3,1,1,2,9,5,1,2,2,36,2
53380,3,2,76001,3,1,1,2,9,5,1,2,1,6,3
