"DIRECTORIO","O_01","O_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1535,3,1,76001,1,1,1,4,5,5,1,1,2,78,2
1535,3,1,76001,1,1,1,4,5,5,1,1,1,86,1
1535,3,1,76001,1,1,1,4,5,5,1,1,1,34,3
8185,3,2,76001,4,1,1,5,5,4,1,1,1,51,1
18905,3,1,76001,2,1,1,4,9,5,1,1,1,24,3
18905,3,1,76001,2,1,1,4,9,5,1,1,2,16,5
18905,3,1,76001,2,1,1,4,9,5,1,1,2,66,1
51531,3,2,76147,2,1,1,5,9,5,1,1,2,56,1
51531,3,2,76147,2,1,1,5,9,5,1,1,1,49,4
51531,3,2,76147,2,1,1,5,9,5,1,1,1,28,8
51531,3,2,76147,2,1,1,5,9,5,1,1,2,79,6
51531,3,2,76147,2,1,1,5,9,5,1,1,1,42,7
51531,3,2,76147,2,1,1,5,9,5,1,1,2,11,5
51531,3,2,76147,2,1,1,5,9,5,1,1,1,7,5
51531,3,2,76147,2,1,1,5,9,5,1,1,2,32,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,23,1
52959,3,2,76834,4,1,1,3,9,3,1,2,1,12,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,4,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,2,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,13,8
