"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
420,3,1,76364,3,1,7,4,5,5,1,1,2,44,2
420,3,1,76364,3,1,7,4,5,5,1,1,2,17,8
420,3,1,76364,3,1,7,4,5,5,1,1,1,11,8
420,3,1,76364,3,1,7,4,5,5,1,1,1,0,8
420,3,1,76364,3,1,7,4,5,5,1,1,2,27,8
420,3,1,76364,3,1,7,4,5,5,1,1,1,42,1
420,3,1,76364,3,1,7,4,5,5,1,1,1,28,8
1197,3,2,76364,2,2,3,4,5,7,1,2,1,42,1
1197,3,2,76364,2,2,3,4,5,7,1,2,2,27,2
1197,3,2,76364,2,2,3,4,5,7,1,2,1,1,3
1535,9,1,76001,1,1,1,4,5,5,1,1,1,86,1
1535,9,1,76001,1,1,1,4,5,5,1,1,2,78,2
1535,9,1,76001,1,1,1,4,5,5,1,1,1,34,3
1544,3,2,76001,2,1,1,5,5,5,1,1,1,11,3
1544,3,2,76001,2,1,1,5,5,5,1,1,2,71,1
1544,3,2,76001,2,1,1,5,5,5,1,1,1,45,3
1544,3,2,76001,2,1,1,5,5,5,1,1,2,34,3
2173,3,2,76001,2,1,4,4,9,5,1,2,2,7,3
2173,3,2,76001,2,1,4,4,9,5,1,2,2,1,3
2173,3,2,76001,2,1,4,4,9,5,1,2,1,30,1
2173,3,2,76001,2,1,4,4,9,5,1,2,2,29,2
2330,3,2,76001,3,1,1,4,9,6,1,1,1,51,1
2330,3,2,76001,3,1,1,4,9,6,1,1,1,24,3
2360,3,2,76001,2,2,2,4,5,6,1,2,1,13,3
2360,3,2,76001,2,2,2,4,5,6,1,2,2,46,2
2360,3,2,76001,2,2,2,4,5,6,1,2,1,44,1
2360,3,2,76001,2,2,2,4,5,6,1,2,2,25,10
2458,3,2,76001,2,1,1,5,5,5,1,1,1,46,1
2458,3,2,76001,2,1,1,5,5,5,1,1,1,28,4
2584,3,2,76001,2,1,1,5,1,5,1,1,1,37,1
2584,3,2,76001,2,1,1,5,1,5,1,1,2,29,2
2584,3,2,76001,2,1,1,5,1,5,1,1,1,6,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,1,8,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,1,19,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,2,10,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,2,17,3
2616,3,2,76001,2,2,3,4,5,5,NA,NA,2,42,1
3301,3,1,76109,1,1,1,4,5,5,1,1,1,10,5
3301,3,1,76109,1,1,1,4,5,5,1,1,1,1,5
3301,3,1,76109,1,1,1,4,5,5,1,1,2,6,5
3301,3,1,76109,1,1,1,4,5,5,1,1,1,24,3
3301,3,1,76109,1,1,1,4,5,5,1,1,2,26,3
3301,3,1,76109,1,1,1,4,5,5,1,1,2,28,3
3301,3,1,76109,1,1,1,4,5,5,1,1,1,29,4
3301,3,1,76109,1,1,1,4,5,5,1,1,2,53,1
3301,3,1,76109,1,1,1,4,5,5,1,1,1,31,3
3988,3,2,76001,2,1,1,4,9,3,1,1,2,63,2
3988,3,2,76001,2,1,1,4,9,3,1,1,1,65,1
4016,3,2,76001,3,1,1,4,2,7,1,1,1,21,3
4016,3,2,76001,3,1,1,4,2,7,1,1,2,52,2
4016,3,2,76001,3,1,1,4,2,7,1,1,1,60,1
4016,3,2,76001,3,1,1,4,2,7,1,1,2,2,5
4016,3,2,76001,3,1,1,4,2,7,1,1,2,19,3
4016,3,2,76001,3,1,1,4,2,7,1,1,2,16,3
4227,3,2,76001,2,1,1,4,9,5,3,1,1,25,1
4227,3,2,76001,2,1,1,4,9,5,3,1,1,33,10
4312,3,2,76001,3,1,8,4,9,7,1,1,1,28,3
4312,3,2,76001,3,1,8,4,9,7,1,1,1,59,1
4577,1,1,76001,3,1,8,5,9,5,1,1,1,23,3
4577,1,1,76001,3,1,8,5,9,5,1,1,2,65,1
5870,3,2,76001,2,1,1,4,9,5,1,1,1,30,1
8172,3,2,76001,5,1,1,5,5,7,1,1,1,27,1
8172,3,2,76001,5,1,1,5,5,7,1,1,2,33,2
8185,3,2,76001,4,1,1,5,5,4,1,1,1,51,1
8861,3,2,76001,3,1,8,5,5,7,1,2,1,0,3
8861,3,2,76001,3,1,8,5,5,7,1,2,2,30,1
9052,3,2,76248,3,1,1,5,5,7,2,2,1,24,3
9052,3,2,76248,3,1,1,5,5,7,2,2,2,23,3
9052,3,2,76248,3,1,1,5,5,7,2,2,2,55,1
9072,3,1,76001,3,1,1,4,9,6,1,1,1,28,3
9072,3,1,76001,3,1,1,4,9,6,1,1,2,74,1
9915,3,1,76001,1,1,1,4,5,5,1,1,1,3,3
9915,3,1,76001,1,1,1,4,5,5,1,1,2,31,1
9915,3,1,76001,1,1,1,4,5,5,1,1,1,11,3
9915,3,1,76001,1,1,1,4,5,5,1,1,1,27,2
10228,2,1,76001,2,1,1,4,9,4,1,1,1,48,1
10228,2,1,76001,2,1,1,4,9,4,1,1,1,9,3
10228,2,1,76001,2,1,1,4,9,4,1,1,2,45,2
10228,2,1,76001,2,1,1,4,9,4,1,1,1,18,3
10262,3,1,76001,4,1,1,4,5,6,1,1,1,30,3
10262,3,1,76001,4,1,1,4,5,6,1,1,1,73,1
10312,3,1,76001,2,1,1,4,9,6,2,2,2,39,1
10312,3,1,76001,2,1,1,4,9,6,2,2,2,22,3
10312,3,1,76001,2,1,1,4,9,6,2,2,1,14,3
10544,3,2,76001,2,1,1,5,5,5,1,1,1,0,3
10544,3,2,76001,2,1,1,5,5,5,1,1,1,14,7
10544,3,2,76001,2,1,1,5,5,5,1,1,2,1,3
10544,3,2,76001,2,1,1,5,5,5,1,1,1,20,1
10544,3,2,76001,2,1,1,5,5,5,1,1,2,19,2
10585,3,2,76001,3,1,8,5,9,6,1,1,2,28,1
10585,3,2,76001,3,1,8,5,9,6,1,1,2,55,6
10585,3,2,76001,3,1,8,5,9,6,1,1,2,38,8
10585,3,2,76001,3,1,8,5,9,6,1,1,1,32,2
10585,3,2,76001,3,1,8,5,9,6,1,1,1,19,7
11621,3,2,76001,4,1,1,5,5,7,1,1,1,39,3
11621,3,2,76001,4,1,1,5,5,7,1,1,2,60,1
11621,3,2,76001,4,1,1,5,5,7,1,1,1,33,3
11621,3,2,76001,4,1,1,5,5,7,1,1,1,25,3
11621,3,2,76001,4,1,1,5,5,7,1,1,2,22,3
12298,3,2,76001,2,1,1,5,9,4,1,1,2,60,6
12298,3,2,76001,2,1,1,5,9,4,1,1,1,39,1
13200,3,2,76001,3,1,1,4,9,5,1,1,1,50,1
14327,3,2,76001,3,1,1,5,9,6,1,1,1,33,1
14327,3,2,76001,3,1,1,5,9,6,1,1,1,19,3
14327,3,2,76001,3,1,1,5,9,6,1,1,1,7,3
14327,3,2,76001,3,1,1,5,9,6,1,1,2,32,2
14375,3,2,76001,1,1,1,3,9,5,1,1,1,50,1
14705,1,1,76147,3,1,1,2,5,5,1,1,1,45,3
14705,1,1,76147,3,1,1,2,5,5,1,1,1,79,1
14705,1,1,76147,3,1,1,2,5,5,1,1,2,77,2
14983,3,2,76001,2,1,1,5,9,5,1,1,2,47,2
14983,3,2,76001,2,1,1,5,9,5,1,1,1,57,1
14983,3,2,76001,2,1,1,5,9,5,1,1,2,13,3
14983,3,2,76001,2,1,1,5,9,5,1,1,1,20,3
15616,3,1,76147,3,2,1,5,9,6,1,1,1,68,1
15616,3,1,76147,3,2,1,5,9,6,1,1,1,30,3
15653,3,2,76147,3,1,1,4,9,5,1,1,1,37,4
15653,3,2,76147,3,1,1,4,9,5,1,1,1,53,1
15653,3,2,76147,3,1,1,4,9,5,1,1,2,30,3
15653,3,2,76147,3,1,1,4,9,5,1,1,2,23,3
16528,3,2,76001,1,1,1,4,5,6,1,1,2,27,2
16528,3,2,76001,1,1,1,4,5,6,1,1,1,31,1
18242,3,2,76001,3,1,1,4,9,6,1,1,2,28,2
18242,3,2,76001,3,1,1,4,9,6,1,1,2,1,3
18242,3,2,76001,3,1,1,4,9,6,1,1,1,37,1
18540,3,2,76520,3,1,2,4,9,5,1,1,2,65,1
18540,3,2,76520,3,1,2,4,9,5,1,1,1,37,3
18615,3,2,76001,2,1,1,4,9,5,1,1,1,51,1
18746,3,2,76147,2,1,3,5,5,5,1,2,1,21,2
18746,3,2,76147,2,1,3,5,5,5,1,2,1,1,3
18746,3,2,76147,2,1,3,5,5,5,1,2,2,73,8
18746,3,2,76147,2,1,3,5,5,5,1,2,2,23,1
18810,3,1,76109,3,1,1,4,9,7,1,1,2,80,1
18810,3,1,76109,3,1,1,4,9,7,1,1,1,38,3
18905,3,2,76001,2,1,1,4,9,5,1,1,2,16,5
18905,3,2,76001,2,1,1,4,9,5,1,1,1,24,3
18905,3,2,76001,2,1,1,4,9,5,1,1,2,66,1
19117,3,2,76248,3,1,1,4,5,6,2,2,2,24,1
19129,3,2,76001,4,1,1,4,9,3,1,1,1,59,1
19402,3,2,76520,1,1,3,4,9,6,1,1,1,24,5
19402,3,2,76520,1,1,3,4,9,6,1,1,2,82,7
19402,3,2,76520,1,1,3,4,9,6,1,1,2,84,1
19544,3,2,76001,4,2,8,4,9,6,1,2,1,16,3
19544,3,2,76001,4,2,8,4,9,6,1,2,2,18,3
19544,3,2,76001,4,2,8,4,9,6,1,2,1,67,1
19544,3,2,76001,4,2,8,4,9,6,1,2,2,22,3
19876,1,1,76520,3,2,3,4,5,5,NA,NA,2,39,1
19876,1,1,76520,3,2,3,4,5,5,NA,NA,1,13,3
19876,1,1,76520,3,2,3,4,5,5,NA,NA,1,19,3
19876,1,1,76520,3,2,3,4,5,5,NA,NA,1,17,3
20465,3,1,76001,3,1,8,5,5,7,1,1,2,38,3
20465,3,1,76001,3,1,8,5,5,7,1,1,2,74,8
20465,3,1,76001,3,1,8,5,5,7,1,1,2,5,5
20465,3,1,76001,3,1,8,5,5,7,1,1,2,82,1
20465,3,1,76001,3,1,8,5,5,7,1,1,1,43,8
20484,3,2,76001,3,1,1,3,9,7,1,2,2,71,6
20484,3,2,76001,3,1,1,3,9,7,1,2,2,38,2
20484,3,2,76001,3,1,1,3,9,7,1,2,1,42,1
20484,3,2,76001,3,1,1,3,9,7,1,2,1,30,10
24559,3,2,76001,1,1,1,3,9,5,1,2,2,24,1
24855,3,2,76001,1,1,1,4,5,6,1,2,1,23,1
24855,3,2,76001,1,1,1,4,5,6,1,2,2,25,2
24885,3,1,76001,1,2,4,3,9,5,2,1,2,68,1
24885,3,1,76001,1,2,4,3,9,5,2,1,2,66,7
24885,3,1,76001,1,2,4,3,9,5,2,1,1,19,8
24885,3,1,76001,1,2,4,3,9,5,2,1,2,49,8
26700,3,2,76001,5,1,8,4,9,7,1,2,2,34,2
26700,3,2,76001,5,1,8,4,9,7,1,2,1,47,1
26700,3,2,76001,5,1,8,4,9,7,1,2,1,9,3
28391,3,2,76001,3,1,1,3,5,6,1,2,2,2,3
28391,3,2,76001,3,1,1,3,5,6,1,2,1,41,2
