"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"41001",1,1,2,3,1503,1,1,1,NA,0
"41001",1,1,2,2,1748,1,1,1,NA,0
"41001",1,1,3,3,1762,1,1,1,NA,0
"41001",1,1,3,4,1806,1,1,1,NA,0
"41001",1,1,1,2,1928,1,1,1,NA,0
"41001",1,1,3,3,1975,1,1,1,NA,0
"41001",1,1,3,3,2018,1,1,1,NA,0
"41001",1,1,3,5,2060,1,1,1,NA,0
"41001",1,1,2,4,2090,1,1,1,NA,0
"41001",1,1,2,7,2194,1,1,1,NA,0
"41001",1,1,2,2,2253,1,1,1,NA,0
"41001",1,1,1,5,2254,1,1,1,NA,0
"41001",1,1,2,2,2261,1,1,1,NA,0
"41001",1,1,2,2,2472,1,1,1,NA,0
"41001",1,1,1,2,2493,1,1,1,NA,0
"41001",1,1,2,2,2546,1,1,1,NA,0
"41001",1,1,2,5,2579,1,1,1,NA,0
"41001",1,1,2,2,2722,1,1,1,NA,0
"41001",2,1,2,2,2750,1,1,1,NA,0
"41001",1,1,2,4,2761,1,1,1,NA,0
"41001",1,1,2,2,2937,1,1,1,NA,0
"41001",1,1,2,5,2968,1,1,1,NA,0
"41001",1,1,2,4,3003,1,1,1,NA,0
"41001",1,1,2,2,3008,1,1,1,NA,0
"41001",2,1,2,2,3050,1,1,1,NA,0
"41001",2,1,2,4,3069,1,1,1,NA,0
"41001",2,1,2,3,3086,1,1,1,NA,0
"41001",1,1,2,2,3095,1,1,1,NA,0
"41001",1,1,2,2,3109,1,1,1,NA,0
"41001",2,1,2,1,3126,1,1,1,NA,0
"41001",1,1,2,5,3138,1,1,1,NA,0
"41001",2,1,3,1,3149,1,1,1,NA,0
"41001",1,1,2,2,3193,1,1,1,NA,0
"41001",1,1,2,2,3204,1,1,1,NA,0
"41001",1,1,2,2,3218,1,1,1,NA,0
"41001",2,1,2,1,3235,1,1,1,NA,0
"41001",1,1,2,2,3246,1,1,1,NA,0
"41001",1,1,2,2,3256,1,1,1,NA,0
"41001",2,1,2,1,3305,1,1,1,NA,0
"41001",1,1,2,4,3319,1,1,1,NA,0
"41001",1,1,2,2,3331,1,1,1,NA,0
"41001",1,1,2,3,3340,1,1,1,NA,0
"41001",1,1,2,2,3355,1,1,1,NA,0
"41001",1,1,2,2,3361,1,1,1,NA,0
"41001",3,1,2,1,3374,1,1,1,NA,0
"41001",1,1,2,3,3384,1,1,1,NA,0
"41001",1,1,2,2,3434,1,1,1,NA,0
"41001",2,1,2,3,3445,1,1,1,NA,0
"41001",2,1,2,1,3481,1,1,1,NA,0
"41001",2,1,2,1,3503,1,1,1,NA,0
"41001",2,1,2,1,3523,1,1,1,NA,0
"41001",2,1,2,2,3567,1,1,1,NA,0
"41551",1,1,3,3,3875,1,1,1,NA,0
"41551",2,1,3,2,3894,1,1,1,NA,0
"41551",2,1,3,3,3933,1,1,1,NA,0
"41551",1,1,3,2,3983,1,1,1,NA,0
"41551",2,1,3,3,4017,1,1,1,NA,0
"41001",1,1,1,5,4069,1,1,1,NA,0
"41001",2,1,2,4,4080,1,1,1,NA,0
"41001",2,1,2,2,4120,1,1,1,NA,0
"41001",2,1,2,2,4137,1,1,1,NA,0
"41551",1,1,2,4,4212,1,1,1,NA,0
"41551",1,1,2,4,4242,1,1,1,NA,0
"41551",1,1,2,2,4274,1,1,1,NA,0
"41551",2,1,2,3,4303,1,1,1,NA,0
"41551",2,1,2,4,4366,1,1,1,NA,0
"41551",2,1,2,4,4418,1,1,1,NA,0
"41551",1,1,2,3,4435,1,1,1,NA,0
"41551",2,1,3,2,4487,1,1,1,NA,0
"41551",2,1,1,2,4500,1,1,1,NA,0
"41551",2,1,1,4,4517,1,1,1,NA,0
"41551",2,1,2,5,4534,1,1,1,NA,0
"41551",2,1,1,2,4585,1,1,1,NA,0
"41551",2,1,2,1,4601,1,1,1,NA,0
"41551",2,1,2,3,4619,1,1,1,NA,0
"41551",2,1,2,4,4639,1,1,1,NA,0
"41551",2,1,2,5,4656,1,1,1,NA,0
"41001",1,1,2,3,4665,1,1,1,NA,0
"41551",1,1,1,4,4681,1,1,1,NA,0
"41001",1,1,2,3,4686,1,1,1,NA,0
"41551",2,1,1,5,4713,1,1,1,NA,0
"41001",1,1,2,6,4717,1,1,1,NA,0
"41551",1,1,1,5,4737,1,1,1,NA,0
"41001",1,1,2,6,4744,1,1,1,NA,0
"41551",1,1,1,1,4751,1,1,1,NA,0
"41001",1,1,2,3,4841,1,1,1,NA,0
"41001",1,1,3,5,4908,1,1,1,NA,0
"41001",1,1,3,3,4960,1,1,1,NA,0
"41001",1,1,3,4,5050,1,1,1,NA,0
"41001",1,1,3,4,5188,1,1,1,NA,0
"41001",1,1,3,2,5222,1,1,1,NA,0
"41001",1,1,3,3,5244,1,1,1,NA,0
"41001",1,1,3,2,5266,1,1,1,NA,0
"41001",1,1,3,2,5280,1,1,1,NA,0
"41001",1,1,3,3,5342,1,1,1,NA,0
"41001",1,1,3,4,5384,1,1,1,NA,0
"41001",1,1,3,3,5446,1,1,1,NA,0
"41001",2,1,1,5,5499,1,1,1,NA,0
"41551",1,1,1,4,5659,1,1,1,NA,0
"41551",1,1,1,4,5660,1,1,1,NA,0
"41551",1,1,1,2,5661,1,1,1,NA,0
"41551",1,1,1,3,5666,1,1,1,NA,0
"41551",1,1,1,6,5673,1,1,1,NA,0
"41551",1,1,1,2,5681,1,1,1,NA,0
"41551",1,1,1,5,5706,1,1,1,NA,0
"41001",1,1,2,4,5714,1,1,1,NA,0
"41551",1,1,1,5,5744,1,1,1,NA,0
"41551",1,1,1,4,5768,1,1,1,NA,0
"41001",1,1,2,4,5774,1,1,1,NA,0
"41001",2,1,2,2,5824,1,1,1,NA,0
"41551",1,1,1,3,5837,1,1,1,NA,0
"41551",1,1,1,4,5853,1,1,1,NA,0
"41001",2,1,2,3,5872,1,1,1,NA,0
"41001",2,1,2,1,5936,1,1,1,NA,0
"41001",2,1,2,2,5955,1,1,1,NA,0
"41001",3,1,2,1,5971,1,1,1,NA,0
"41001",2,1,1,5,6015,1,1,1,NA,0
"41001",2,1,1,3,6042,1,1,1,NA,0
"41001",1,1,2,1,6062,1,1,1,NA,0
"41001",2,1,1,2,6075,1,1,1,NA,0
"41001",2,1,2,3,6077,1,1,1,NA,0
"41001",2,1,1,2,6093,1,1,1,NA,0
"41001",1,1,2,4,6097,1,1,1,NA,0
"41001",2,1,1,4,6128,1,1,1,NA,0
"41001",1,1,2,6,6151,1,1,1,NA,0
"41001",2,1,1,4,6163,1,1,1,NA,0
