"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"44001",1,1,1,4,263,1,1,1,NA,0
"44001",1,1,1,3,286,1,1,1,NA,0
"44001",1,1,2,4,319,1,1,1,NA,0
"44001",1,1,1,2,320,1,1,1,NA,0
"44001",2,1,2,3,365,1,1,1,NA,0
"44001",1,1,1,7,410,1,1,1,NA,0
"44001",1,1,1,4,412,1,1,1,NA,0
"44001",1,1,1,7,418,1,1,1,NA,0
"44001",1,1,1,4,429,1,1,1,NA,0
"44001",1,1,1,4,442,1,1,1,NA,0
"44001",1,1,1,3,462,1,1,1,NA,0
"44001",1,1,1,4,490,1,1,1,NA,0
"44001",1,1,1,3,492,1,1,1,NA,0
"44001",1,1,1,9,513,1,1,1,NA,0
"44001",1,1,1,4,892,1,1,1,NA,0
"44001",1,1,1,3,913,1,1,1,NA,0
"44001",1,1,1,1,939,1,1,1,NA,0
"44001",1,1,1,2,965,1,1,1,NA,0
"44001",2,1,1,1,988,1,1,1,NA,0
"44001",2,1,1,4,1006,1,1,1,NA,0
"44001",1,1,1,3,1007,1,1,1,NA,0
"44001",1,1,1,2,1009,1,1,1,NA,0
"44001",1,1,1,3,1012,1,1,1,NA,0
"44001",1,1,1,4,1014,1,1,1,NA,0
"44001",1,1,1,5,1018,1,1,1,NA,0
"44001",1,1,1,3,1020,1,1,1,NA,0
"44001",1,1,1,3,1024,1,1,1,NA,0
"44001",1,1,1,7,1028,1,1,1,NA,0
"44001",1,1,1,4,1037,1,1,1,NA,0
"44001",1,1,3,4,1040,1,1,1,NA,0
"44001",1,1,1,3,1046,1,1,1,NA,0
"44001",1,1,1,6,1053,1,1,1,NA,0
"44001",1,1,1,3,1057,1,1,1,NA,0
"44001",1,1,1,4,1064,1,1,1,NA,0
"44001",1,1,1,9,1069,1,1,1,NA,0
"44001",1,1,1,3,1077,1,1,1,NA,0
"44001",1,1,3,3,1090,1,1,1,NA,0
"44001",1,1,1,5,1092,1,1,1,NA,0
"44001",1,1,1,4,1096,1,1,1,NA,0
"44001",1,1,2,2,1117,1,1,1,NA,0
"44001",1,1,3,3,1121,1,1,1,NA,0
"44001",1,1,1,2,1133,1,1,1,NA,0
"44001",1,1,3,3,1151,1,1,1,NA,0
"44001",1,1,1,4,1312,1,1,1,NA,0
"44001",1,1,1,3,1329,1,1,1,NA,0
"44001",2,1,1,2,1454,1,1,1,NA,0
"44001",1,1,1,3,1456,1,1,1,NA,0
"44001",1,1,3,4,1471,1,1,1,NA,0
"44001",1,1,1,4,1480,1,1,1,NA,0
"44001",1,1,1,4,1493,1,1,1,NA,0
"44001",1,1,3,3,1502,1,1,1,NA,0
"44001",1,1,2,4,1505,1,1,1,NA,0
"44001",1,1,2,9,1525,1,1,1,NA,0
"44001",1,1,1,4,1536,1,1,1,NA,0
"44001",2,1,1,7,1550,1,1,1,NA,0
"44001",1,1,1,3,1591,1,1,1,NA,0
"44001",1,1,1,2,1615,1,1,1,NA,0
"44001",2,1,1,4,1618,1,1,1,NA,0
"44001",1,1,1,4,1633,1,1,1,NA,0
"44001",1,1,1,5,1651,1,1,1,NA,0
"44001",2,1,1,5,1659,1,1,1,NA,0
"44001",2,1,1,1,1690,1,1,1,NA,0
"44001",1,1,2,4,1694,1,1,1,NA,0
"44001",1,1,1,5,1760,1,1,1,NA,0
"44001",1,1,1,3,1779,1,1,1,NA,0
"44001",1,1,1,7,1780,1,1,1,NA,0
"44001",2,1,1,5,1799,1,1,1,NA,0
"44001",1,1,1,5,1818,1,1,1,NA,0
"44001",1,1,3,1,1819,1,1,1,NA,0
"44001",1,1,2,9,1855,1,1,1,NA,0
"44001",1,1,1,2,1858,1,1,1,NA,0
"44001",1,1,1,3,1884,1,1,1,NA,0
"44001",1,1,1,2,1913,1,1,1,NA,0
"44001",2,1,1,5,1931,1,1,1,NA,0
"44001",1,1,2,4,1943,1,1,1,NA,0
"44001",1,1,1,4,1957,1,1,1,NA,0
"44001",1,1,2,9,1968,1,1,1,NA,0
"44001",1,1,1,4,1970,1,1,1,NA,0
"44001",2,1,1,5,1986,1,1,1,NA,0
"44001",1,1,3,2,2011,1,1,1,NA,0
"44001",1,1,2,3,2012,1,1,1,NA,0
"44001",1,1,1,5,2031,1,1,1,NA,0
"44001",1,1,3,3,2032,1,1,1,NA,0
"44001",1,1,2,1,2043,1,1,1,NA,0
"44001",2,1,1,4,2055,1,1,1,NA,0
"44001",2,1,3,2,2058,1,1,1,NA,0
"44001",1,1,3,3,2075,1,1,1,NA,0
"44001",2,1,1,1,2079,1,1,1,NA,0
"44001",1,1,2,7,2089,1,1,1,NA,0
"44001",1,1,1,6,2097,1,1,1,NA,0
"44001",1,1,3,3,2125,1,1,1,NA,0
"44001",1,1,1,4,2126,1,1,1,NA,0
"44001",1,1,3,2,2152,1,1,1,NA,0
"44001",1,1,3,3,2170,1,1,1,NA,0
"44001",1,1,3,5,2198,1,1,1,NA,0
"44001",1,1,3,4,2226,1,1,1,NA,0
"44001",1,1,3,2,2277,1,1,1,NA,0
"44001",1,1,3,4,2296,1,1,1,NA,0
"44001",1,1,3,6,2335,1,1,1,NA,0
"44001",1,1,3,2,2384,1,1,1,NA,0
"44001",2,1,3,1,2471,1,1,1,NA,0
"44001",1,1,1,5,2496,1,1,1,NA,0
"44001",2,1,1,5,2518,1,1,1,NA,0
"44001",1,1,1,2,2592,1,1,1,NA,0
"44001",1,1,3,2,2957,1,1,1,NA,0
"44001",1,1,2,4,2960,1,1,1,NA,0
"44001",2,1,3,5,2983,1,1,1,NA,0
"44001",2,1,1,6,2996,1,1,1,NA,0
"44001",2,1,1,4,3012,1,1,1,NA,0
"44001",1,1,2,2,3021,1,1,1,NA,0
"44001",1,1,1,5,3022,1,1,1,NA,0
"44001",1,1,1,6,3034,1,1,1,NA,0
"44001",1,1,1,3,3041,1,1,1,NA,0
"44001",1,1,2,6,3045,1,1,1,NA,0
"44001",1,1,3,2,3046,1,1,1,NA,0
"44001",2,1,2,2,3068,1,1,1,NA,0
"44001",1,1,2,4,3077,1,1,1,NA,0
"44001",2,1,2,5,3093,1,1,1,NA,0
"44001",1,1,2,2,3099,1,1,1,NA,0
"44001",2,1,1,2,3104,1,1,1,NA,0
"44001",1,1,1,5,3122,1,1,1,NA,0
"44001",2,1,1,6,3131,1,1,1,NA,0
"44001",2,1,1,5,3145,1,1,1,NA,0
"44001",2,1,1,2,3150,1,1,1,NA,0
"44001",1,1,1,3,3155,1,1,1,NA,0
"44001",1,1,1,5,3158,1,1,1,NA,0
"44001",2,1,1,3,3161,1,1,1,NA,0
"44001",2,1,2,4,3163,1,1,1,NA,0
"44001",2,1,2,3,3177,1,1,1,NA,0
"44001",2,1,1,5,3182,1,1,1,NA,0
"44001",2,1,2,5,3183,1,1,1,NA,0
"44001",1,1,1,2,3195,1,1,1,NA,0
"44001",2,1,2,5,3197,1,1,1,NA,0
"44001",2,1,2,3,3215,1,1,1,NA,0
"44001",1,1,1,4,3222,1,1,1,NA,0
"44001",2,1,2,5,3233,1,1,1,NA,0
"44001",1,1,1,6,3260,1,1,1,NA,0
"44001",2,1,1,2,3283,1,1,1,NA,0
"44001",2,1,1,6,3303,1,1,1,NA,0
"44001",1,1,1,3,3328,1,1,1,NA,0
"44001",1,1,1,7,3346,1,1,1,NA,0
"44001",1,1,1,5,3373,1,1,1,NA,0
"44001",1,1,1,4,4237,1,1,1,NA,0
"44001",2,1,1,4,4249,1,1,1,NA,0
