"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"47189",1,1,2,9,76,1,1,1,NA,0
"47001",2,1,3,5,91,1,1,1,NA,0
"47189",1,1,2,4,114,1,1,1,NA,0
"47001",1,1,3,9,134,1,1,1,NA,0
"47189",1,1,1,2,136,1,1,1,NA,0
"47001",1,1,3,1,158,1,1,1,NA,0
"47001",1,1,3,5,183,1,1,1,NA,0
"47189",1,1,3,6,184,1,1,1,NA,0
"47189",1,1,1,4,186,1,1,1,NA,0
"47189",1,1,1,2,189,1,1,1,NA,0
"47001",2,1,3,4,192,1,1,1,NA,0
"47189",1,1,3,2,198,1,1,1,NA,0
"47001",2,1,3,5,204,1,1,1,NA,0
"47189",2,1,2,4,212,1,1,1,NA,0
"47001",2,1,3,5,217,1,1,1,NA,0
"47001",1,1,1,3,220,1,1,1,NA,0
"47189",1,1,3,5,222,1,1,1,NA,0
"47001",1,1,3,9,227,1,1,1,NA,0
"47001",1,1,1,4,236,1,1,1,NA,0
"47001",1,1,3,6,239,1,1,1,NA,0
"47001",1,1,1,5,243,1,1,1,NA,0
"47001",1,1,1,3,254,1,1,1,NA,0
"47001",1,1,3,6,255,1,1,1,NA,0
"47001",1,1,3,7,258,1,1,1,NA,0
"47001",2,1,3,4,265,1,1,1,NA,0
"47001",1,1,1,2,271,1,1,1,NA,0
"47001",1,1,3,4,275,1,1,1,NA,0
"47001",1,1,1,4,361,1,1,1,NA,0
"47001",2,1,1,2,377,1,1,1,NA,0
"47001",2,1,3,5,408,1,1,1,NA,0
"47001",2,1,1,7,422,1,1,1,NA,0
"47001",2,1,1,3,427,1,1,1,NA,0
"47001",1,1,1,6,453,1,1,1,NA,0
"47001",1,1,3,2,467,1,1,1,NA,0
"47001",1,1,1,2,482,1,1,1,NA,0
"47001",1,1,3,3,502,1,1,1,NA,0
"47001",2,1,1,3,511,1,1,1,NA,0
"47001",2,1,1,4,905,1,1,1,NA,0
"47001",2,1,1,1,925,1,1,1,NA,0
"47001",1,1,1,2,941,1,1,1,NA,0
"47189",1,1,3,7,1034,1,1,1,NA,0
"47189",2,1,3,5,1072,1,1,1,NA,0
"47189",1,1,3,1,1144,1,1,1,NA,0
"47189",1,1,2,4,1260,1,1,1,NA,0
"47189",1,1,3,6,1275,1,1,1,NA,0
"47189",1,1,2,9,1287,1,1,1,NA,0
"47189",1,1,2,5,1318,1,1,1,NA,0
"47189",1,1,3,3,1332,1,1,1,NA,0
"47189",1,1,3,3,1353,1,1,1,NA,0
"47189",1,1,2,9,1356,1,1,1,NA,0
"47189",1,1,3,4,1362,1,1,1,NA,0
"47189",1,1,2,4,1378,1,1,1,NA,0
"47189",2,1,3,3,1395,1,1,1,NA,0
"47189",2,1,2,9,1405,1,1,1,NA,0
"47189",1,1,2,4,1418,1,1,1,NA,0
"47189",1,1,2,4,1436,1,1,1,NA,0
"47189",1,1,2,7,1463,1,1,1,NA,0
"47189",1,1,2,3,1474,1,1,1,NA,0
"47189",1,1,2,4,1488,1,1,1,NA,0
"47189",1,1,3,1,1489,1,1,1,NA,0
"47189",2,1,2,3,1517,1,1,1,NA,0
"47189",1,1,4,3,1526,1,1,1,NA,0
"47189",1,1,1,2,1589,1,1,1,NA,0
"47001",1,1,1,4,1606,1,1,1,NA,0
"47001",2,1,3,5,1628,1,1,1,NA,0
"47189",1,1,1,8,1644,1,1,1,NA,0
"47001",2,1,1,4,1662,1,1,1,NA,0
"47001",1,1,3,4,1670,1,1,1,NA,0
"47189",1,1,1,5,1757,1,1,1,NA,0
"47001",2,1,1,3,1759,1,1,1,NA,0
"47001",1,1,2,4,1764,1,1,1,NA,0
"47001",2,1,2,4,1766,1,1,1,NA,0
"47001",1,1,1,6,1772,1,1,1,NA,0
"47189",1,1,1,3,1776,1,1,1,NA,0
"47001",1,1,2,5,1782,1,1,1,NA,0
"47001",1,1,1,4,1783,1,1,1,NA,0
"47001",2,1,2,4,1790,1,1,1,NA,0
"47001",1,1,1,5,1801,1,1,1,NA,0
"47189",1,1,1,5,1803,1,1,1,NA,0
"47001",1,1,2,4,1817,1,1,1,NA,0
"47189",1,1,1,3,1823,1,1,1,NA,0
"47001",1,1,1,6,1828,1,1,1,NA,0
"47001",1,1,2,5,1853,1,1,1,NA,0
"47001",1,1,2,4,1862,1,1,1,NA,0
"47001",1,1,1,4,1863,1,1,1,NA,0
"47001",1,1,1,3,1879,1,1,1,NA,0
"47001",2,1,2,4,1885,1,1,1,NA,0
"47189",1,1,1,4,1892,1,1,1,NA,0
"47001",1,1,2,8,1897,1,1,1,NA,0
"47001",2,1,1,4,1914,1,1,1,NA,0
"47189",1,1,1,2,1924,1,1,1,NA,0
"47001",1,1,2,4,1933,1,1,1,NA,0
"47001",2,1,9,3,1954,1,1,1,NA,0
"47001",1,1,2,4,2053,1,1,1,NA,0
"47001",2,1,2,5,2118,1,1,1,NA,0
"47189",2,1,1,6,2132,1,1,1,NA,0
"47001",2,1,2,5,2147,1,1,1,NA,0
"47001",1,1,2,2,2150,1,1,1,NA,0
"47001",2,1,2,2,2196,1,1,1,NA,0
"47001",1,1,2,4,2197,1,1,1,NA,0
"47189",1,1,1,1,2212,1,1,1,NA,0
"47001",1,1,2,3,2219,1,1,1,NA,0
"47001",2,1,2,2,2242,1,1,1,NA,0
"47001",2,1,2,3,2249,1,1,1,NA,0
"47001",2,1,3,3,2375,1,1,1,NA,0
"47189",2,1,1,5,2380,1,1,1,NA,0
"47189",1,1,1,6,2520,1,1,1,NA,0
"47189",2,1,1,7,2570,1,1,1,NA,0
"47189",2,1,1,4,2617,1,1,1,NA,0
"47189",1,1,1,6,2654,1,1,1,NA,0
"47189",1,1,1,4,2707,1,1,1,NA,0
