"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"50001",1,1,3,3,106,1,1,1,NA,0
"50001",1,1,3,6,135,1,1,1,NA,0
"50001",1,1,3,4,147,1,1,1,NA,0
"50001",2,1,3,4,311,1,1,1,NA,0
"50001",1,1,3,3,621,1,1,1,NA,0
"50001",1,1,3,2,636,1,1,1,NA,0
"50001",2,1,2,2,645,1,1,1,NA,0
"50001",2,1,2,1,674,1,1,1,NA,0
"50001",1,1,3,1,885,1,1,1,NA,0
"50001",2,1,2,5,933,1,1,1,NA,0
"50001",1,1,3,2,989,1,1,1,NA,0
"50001",1,1,2,6,999,1,1,1,NA,0
"50001",1,1,2,5,1050,1,1,1,NA,0
"50001",2,1,2,5,1084,1,1,1,NA,0
"50001",1,1,2,3,1135,1,1,1,NA,0
"50001",1,1,2,4,1139,1,1,1,NA,0
"50001",2,1,2,3,1155,1,1,1,NA,0
"50001",1,1,2,5,1165,1,1,1,NA,0
"50001",2,1,2,2,1223,1,1,1,NA,0
"50001",1,1,2,2,1226,1,1,1,NA,0
"50001",1,1,3,2,1231,1,1,1,NA,0
"50001",1,1,3,4,1792,1,1,1,NA,0
"50001",1,1,1,4,1808,1,1,1,NA,0
"50001",1,1,1,10,1854,1,1,1,NA,0
"50001",2,1,2,3,1887,1,1,1,NA,0
"50001",2,1,1,5,1906,1,1,1,NA,0
"50001",1,1,1,1,1909,1,1,1,NA,0
"50001",1,1,1,4,1929,1,1,1,NA,0
"50001",1,1,1,3,1939,1,1,1,NA,0
"50001",1,1,1,9,1949,1,1,1,NA,0
"50001",1,1,1,2,1971,1,1,1,NA,0
"50001",1,1,2,5,2289,1,1,1,NA,0
"50001",1,1,2,1,2295,1,1,1,NA,0
"50001",2,1,1,3,2297,1,1,1,NA,0
"50001",2,1,2,4,2311,1,1,1,NA,0
"50001",2,1,2,2,2313,1,1,1,NA,0
"50001",2,1,2,2,2323,1,1,1,NA,0
"50001",1,1,2,4,2325,1,1,1,NA,0
"50001",1,1,2,2,2339,1,1,1,NA,0
"50001",1,1,2,1,2355,1,1,1,NA,0
"50001",1,1,2,3,2356,1,1,1,NA,0
"50001",2,1,2,3,2364,1,1,1,NA,0
"50001",1,1,2,2,2367,1,1,1,NA,0
"50001",2,1,2,2,2368,1,1,1,NA,0
"50001",1,1,2,3,2387,1,1,1,NA,0
"50001",2,1,3,1,2390,1,1,1,NA,0
"50001",2,1,2,2,2409,1,1,1,NA,0
"50001",1,1,3,4,2429,1,1,1,NA,0
"50001",1,1,2,1,2438,1,1,1,NA,0
"50313",1,1,2,4,2450,1,1,1,NA,0
"50313",1,1,2,5,2456,1,1,1,NA,0
"50001",1,1,2,3,2463,1,1,1,NA,0
"50001",1,1,3,4,2478,1,1,1,NA,0
"50313",1,1,2,5,2481,1,1,1,NA,0
"50001",1,1,2,1,2494,1,1,1,NA,0
"50313",1,1,2,5,2504,1,1,1,NA,0
"50313",1,1,3,2,2505,1,1,1,NA,0
"50313",1,1,2,2,2513,1,1,1,NA,0
"50313",1,1,2,2,2514,1,1,1,NA,0
"50001",2,1,2,4,2516,1,1,1,NA,0
"50001",2,1,1,1,2565,1,1,1,NA,0
"50313",2,1,2,4,2585,1,1,1,NA,0
"50313",1,1,2,2,2622,1,1,1,NA,0
"50313",1,1,2,2,2639,1,1,1,NA,0
"50313",1,1,2,3,2661,1,1,1,NA,0
"50313",1,1,2,3,2688,1,1,1,NA,0
"50313",2,1,2,2,2708,1,1,1,NA,0
"50313",2,1,2,1,2723,1,1,1,NA,0
"50313",1,1,2,2,2743,1,1,1,NA,0
"50313",1,1,2,3,2782,1,1,1,NA,0
"50313",1,1,2,4,2783,1,1,1,NA,0
"50313",2,1,2,2,2785,1,1,1,NA,0
"50001",2,1,1,3,2787,1,1,1,NA,0
"50001",2,1,1,2,2790,1,1,1,NA,0
"50001",1,1,1,3,2791,1,1,1,NA,0
"50001",1,1,2,5,2793,1,1,1,NA,0
"50001",1,1,3,5,2795,1,1,1,NA,0
"50001",2,1,3,3,2796,1,1,1,NA,0
"50001",1,1,3,2,2800,1,1,1,NA,0
"50001",1,1,2,2,2802,1,1,1,NA,0
"50001",1,1,2,3,2842,1,1,1,NA,0
"50001",1,1,2,5,2863,1,1,1,NA,0
"50001",3,1,1,4,2868,1,1,1,NA,0
"50001",1,1,1,3,2881,1,1,1,NA,0
"50001",1,1,2,4,2887,1,1,1,NA,0
"50001",1,1,2,5,2891,1,1,1,NA,0
"50001",1,1,2,1,2893,1,1,1,NA,0
"50001",1,1,2,7,2895,1,1,1,NA,0
"50001",1,1,2,4,2898,1,1,1,NA,0
"50001",1,1,2,5,2908,1,1,1,NA,0
"50001",1,1,1,4,2912,1,1,1,NA,0
"50001",2,1,2,5,2965,1,1,1,NA,0
"50001",1,1,3,3,2967,1,1,1,NA,0
"50001",2,1,1,4,2977,1,1,1,NA,0
"50001",1,1,3,3,2991,1,1,1,NA,0
"50001",1,1,2,3,2994,1,1,1,NA,0
"50001",2,1,2,1,3009,1,1,1,NA,0
"50001",1,1,3,4,3020,1,1,1,NA,0
"50001",2,1,2,3,3023,1,1,1,NA,0
"50001",1,1,2,3,3036,1,1,1,NA,0
"50001",1,1,2,4,3051,1,1,1,NA,0
"50001",1,1,3,2,3058,1,1,1,NA,0
"50001",1,1,2,4,3063,1,1,1,NA,0
"50001",1,1,2,2,3076,1,1,1,NA,0
"50001",1,1,1,5,3083,1,1,1,NA,0
"50001",1,1,3,2,3096,1,1,1,NA,0
"50001",2,1,2,3,3108,1,1,1,NA,0
"50001",1,1,3,5,3120,1,1,1,NA,0
"50001",1,1,2,5,3128,1,1,1,NA,0
"50001",1,1,2,6,3225,1,1,1,NA,0
"50001",1,1,2,4,3242,1,1,1,NA,0
"50001",2,1,2,4,3250,1,1,1,NA,0
"50001",1,1,2,2,3261,1,1,1,NA,0
"50001",1,1,2,5,3272,1,1,1,NA,0
"50001",2,1,2,7,3285,1,1,1,NA,0
"50001",1,1,2,4,3297,1,1,1,NA,0
"50001",1,1,2,2,3308,1,1,1,NA,0
"50001",3,1,1,1,3337,1,1,1,NA,0
"50001",2,1,1,3,3344,1,1,1,NA,0
"50001",2,1,1,3,3345,1,1,1,NA,0
"50001",1,1,1,1,3352,1,1,1,NA,0
"50001",1,1,1,2,3359,1,1,1,NA,0
"50313",1,1,1,2,3369,1,1,1,NA,0
"50001",1,1,2,4,3372,1,1,1,NA,0
"50313",1,1,1,2,3377,1,1,1,NA,0
"50313",1,1,1,7,3382,1,1,1,NA,0
"50313",1,1,1,5,3388,1,1,1,NA,0
"50313",1,1,1,4,3392,1,1,1,NA,0
"50313",1,1,1,4,3395,1,1,1,NA,0
"50001",3,1,1,1,3400,1,1,1,NA,0
"50001",1,1,2,4,3403,1,1,1,NA,0
"50313",1,1,1,2,3407,1,1,1,NA,0
"50313",1,1,1,1,3409,1,1,1,NA,0
"50001",2,1,1,4,3410,1,1,1,NA,0
"50313",1,1,1,4,3411,1,1,1,NA,0
"50001",1,1,1,7,3412,1,1,1,NA,0
"50313",1,1,1,2,3413,1,1,1,NA,0
"50001",1,1,1,6,3414,1,1,1,NA,0
"50001",2,1,1,2,3417,1,1,1,NA,0
"50001",2,1,2,4,3418,1,1,1,NA,0
"50001",2,1,1,1,3419,1,1,1,NA,0
"50001",2,1,1,1,3424,1,1,1,NA,0
"50313",1,1,2,1,3425,1,1,1,NA,0
"50001",1,1,2,3,3428,1,1,1,NA,0
"50313",1,1,2,2,3435,1,1,1,NA,0
"50313",1,1,2,4,3441,1,1,1,NA,0
"50313",1,1,2,4,3456,1,1,1,NA,0
"50001",3,1,2,2,3457,1,1,1,NA,0
"50313",1,1,2,2,3466,1,1,1,NA,0
"50313",1,1,2,2,3475,1,1,1,NA,0
"50313",1,1,2,3,3482,1,1,1,NA,0
"50313",1,1,1,1,3492,1,1,1,NA,0
"50313",2,1,2,3,3498,1,1,1,NA,0
"50001",1,1,3,3,3505,1,1,1,NA,0
"50313",1,1,1,4,3513,1,1,1,NA,0
"50313",1,1,2,3,3520,1,1,1,NA,0
"50313",2,1,2,4,3531,1,1,1,NA,0
"50001",1,1,3,2,3537,1,1,1,NA,0
"50313",2,1,2,4,3551,1,1,1,NA,0
"50313",2,1,2,4,3561,1,1,1,NA,0
"50001",1,1,3,4,3579,1,1,1,NA,0
"50001",1,1,3,3,3583,1,1,1,NA,0
"50001",2,1,3,2,3606,1,1,1,NA,0
"50001",2,1,3,2,3619,1,1,1,NA,0
"50001",1,1,3,3,3637,1,1,1,NA,0
"50001",1,1,4,3,3688,1,1,1,NA,0
"50001",1,1,2,6,3819,1,1,1,NA,0
"50001",1,1,3,1,3930,1,1,1,NA,0
"50001",1,1,3,3,3954,1,1,1,NA,0
"50001",1,1,3,3,3968,1,1,1,NA,0
"50001",1,1,4,1,3997,1,1,1,NA,0
"50001",1,1,2,5,4006,1,1,1,NA,0
"50001",1,1,2,3,4023,1,1,1,NA,0
"50001",1,1,4,4,4026,1,1,1,NA,0
"50001",1,1,3,4,4032,1,1,1,NA,0
"50001",1,1,3,2,4050,1,1,1,NA,0
"50001",1,1,3,6,4061,1,1,1,NA,0
"50001",1,1,3,3,4074,1,1,1,NA,0
"50001",1,1,4,2,4077,1,1,1,NA,0
"50001",2,1,2,5,4087,1,1,1,NA,0
"50001",1,1,3,5,4114,1,1,1,NA,0
"50001",1,1,4,3,4116,1,1,1,NA,0
"50001",1,1,2,6,4124,1,1,1,NA,0
"50001",1,1,4,3,4128,1,1,1,NA,0
"50001",2,1,2,3,4131,1,1,1,NA,0
"50001",2,1,2,2,4136,1,1,1,NA,0
"50001",1,1,4,4,4139,1,1,1,NA,0
"50001",1,1,2,5,4142,1,1,1,NA,0
"50001",1,1,3,2,4156,1,1,1,NA,0
"50001",1,1,3,2,4157,1,1,1,NA,0
"50001",1,1,3,4,4159,1,1,1,NA,0
"50001",2,1,3,1,4160,1,1,1,NA,0
