"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"54001",1,1,2,2,1204
"54001",1,1,3,3,1249
"54001",1,1,2,4,1250
"54001",1,1,2,1,1270
"54001",1,1,2,2,1273
"54001",1,1,3,4,1284
"54001",2,1,2,4,1299
"54001",1,1,3,4,1307
"54001",2,1,2,2,1327
"54001",1,1,2,9,1351
"54001",1,1,2,3,1373
"54001",1,1,2,7,1376
"54001",2,1,2,4,1421
"54001",2,1,2,4,1423
"54001",2,1,2,3,1445
"54001",1,1,2,3,1449
"54001",2,1,2,7,1458
"54001",1,1,2,3,1465
"54001",1,1,2,4,1466
"54001",2,1,2,4,1473
"54001",1,1,2,9,1492
"54001",2,1,1,3,1495
"54001",1,1,2,2,1511
"54001",2,1,3,2,1516
"54001",1,1,2,4,1523
"54001",2,1,3,4,1570
"54001",1,1,2,4,1600
"54001",1,1,3,4,1624
"54001",1,1,3,4,1648
"54001",1,1,2,3,1664
"54001",1,1,2,3,1691
"54001",1,1,2,3,1697
"54001",2,1,2,2,1716
"54001",1,1,2,4,1725
"54001",1,1,2,2,1727
"54518",2,1,3,1,1749
"54518",2,1,3,3,1751
"54518",1,1,3,1,1754
"54518",1,1,3,2,1763
"54518",1,1,3,7,1784
"54001",2,1,2,5,1794
"54518",2,1,3,3,1822
"54001",1,1,2,5,1824
"54518",1,1,3,2,1836
"54001",2,1,2,4,1844
"54001",1,1,2,5,1846
"54518",2,1,3,2,1857
"54518",2,1,3,3,1860
"54518",1,1,3,3,1894
"54001",2,1,2,3,1938
"54518",1,1,3,8,1960
"54518",1,1,3,4,1980
"54518",1,1,3,5,1989
"54518",2,1,3,3,1993
"54518",1,1,3,3,2000
"54518",1,1,3,9,2015
"54518",1,1,3,3,2146
"54518",1,1,3,1,2179
"54001",1,1,2,2,2184
"54518",2,1,2,3,2216
"54518",1,1,3,2,2228
"54518",2,1,2,4,2237
"54001",2,1,2,3,2239
"54518",1,1,3,4,2243
"54518",2,1,2,2,2257
"54518",1,1,2,3,2263
"54001",1,1,1,6,2264
"54518",1,1,2,6,2346
"54518",1,1,2,2,2403
"54001",1,1,2,3,2408
"54518",2,1,2,4,2442
"54001",2,1,2,3,2457
"54001",2,1,2,1,2531
"54001",2,1,2,1,2561
"54001",1,1,2,4,2576
"54001",1,1,2,6,2623
