"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"52001",1,1,1,4,64,1,1,1,NA,0
"52001",3,1,1,4,82,1,1,1,NA,0
"52001",3,1,1,4,89,1,1,1,NA,0
"52001",1,1,1,3,107,1,1,1,NA,0
"52001",1,1,1,4,112,1,1,1,NA,0
"52001",2,1,1,4,121,1,1,1,NA,0
"52001",2,1,2,2,233,1,1,1,NA,0
"52001",3,1,4,2,336,1,1,1,NA,0
"52001",2,1,4,4,352,1,1,1,NA,0
"52001",1,1,1,4,358,1,1,1,NA,0
"52001",2,1,4,2,367,1,1,1,NA,0
"52001",1,1,2,7,374,1,1,1,NA,0
"52001",2,1,2,5,378,1,1,1,NA,0
"52001",2,1,2,3,380,1,1,1,NA,0
"52001",2,1,2,2,394,1,1,1,NA,0
"52001",1,1,2,2,397,1,1,1,NA,0
"52001",2,1,2,6,398,1,1,1,NA,0
"52001",2,1,2,2,402,1,1,1,NA,0
"52001",1,1,2,5,468,1,1,1,NA,0
"52001",2,1,2,3,469,1,1,1,NA,0
"52001",2,1,2,3,485,1,1,1,NA,0
"52001",1,1,2,4,514,1,1,1,NA,0
"52001",1,1,2,3,515,1,1,1,NA,0
"52001",2,1,2,4,530,1,1,1,NA,0
"52001",2,1,2,3,538,1,1,1,NA,0
"52001",2,1,2,2,547,1,1,1,NA,0
"52001",2,1,4,2,552,1,1,1,NA,0
"52001",1,1,2,4,555,1,1,1,NA,0
"52001",1,1,2,3,568,1,1,1,NA,0
"52001",2,1,4,3,577,1,1,1,NA,0
"52001",3,1,4,1,578,1,1,1,NA,0
"52001",1,1,2,4,580,1,1,1,NA,0
"52001",2,1,4,2,587,1,1,1,NA,0
"52001",1,1,2,7,689,1,1,1,NA,0
"52001",1,1,2,4,695,1,1,1,NA,0
"52001",2,1,2,2,700,1,1,1,NA,0
"52001",2,1,2,4,702,1,1,1,NA,0
"52001",2,1,2,2,705,1,1,1,NA,0
"52001",2,1,1,6,708,1,1,1,NA,0
"52001",1,1,2,4,709,1,1,1,NA,0
"52001",2,1,2,3,712,1,1,1,NA,0
"52001",1,1,2,1,715,1,1,1,NA,0
"52001",1,1,2,4,717,1,1,1,NA,0
"52001",2,1,1,4,720,1,1,1,NA,0
"52001",1,1,1,4,723,1,1,1,NA,0
"52001",2,1,1,4,724,1,1,1,NA,0
"52001",2,1,1,6,725,1,1,1,NA,0
"52001",1,1,2,5,727,1,1,1,NA,0
"52001",2,1,2,2,729,1,1,1,NA,0
"52001",2,1,2,2,730,1,1,1,NA,0
"52001",1,1,1,4,733,1,1,1,NA,0
"52001",2,1,2,2,736,1,1,1,NA,0
"52001",2,1,1,3,737,1,1,1,NA,0
"52001",1,1,1,3,740,1,1,1,NA,0
"52001",2,1,1,3,815,1,1,1,NA,0
"52001",3,1,4,2,817,1,1,1,NA,0
"52001",2,1,2,3,819,1,1,1,NA,0
"52001",2,1,2,1,822,1,1,1,NA,0
"52001",2,1,2,5,824,1,1,1,NA,0
"52001",2,1,2,3,825,1,1,1,NA,0
"52001",2,1,1,3,828,1,1,1,NA,0
"52001",2,1,2,6,829,1,1,1,NA,0
"52001",2,1,1,3,833,1,1,1,NA,0
"52001",1,1,2,3,835,1,1,1,NA,0
"52001",2,1,1,4,837,1,1,1,NA,0
"52001",2,1,2,5,838,1,1,1,NA,0
"52001",1,1,1,7,841,1,1,1,NA,0
"52001",2,1,1,3,842,1,1,1,NA,0
"52001",1,1,4,3,843,1,1,1,NA,0
"52001",1,1,2,3,844,1,1,1,NA,0
"52001",2,1,2,7,847,1,1,1,NA,0
"52001",1,1,2,6,848,1,1,1,NA,0
"52001",1,1,1,3,851,1,1,1,NA,0
"52001",2,1,2,4,854,1,1,1,NA,0
"52001",2,1,2,5,856,1,1,1,NA,0
"52001",1,1,1,7,857,1,1,1,NA,0
"52001",2,1,1,4,858,1,1,1,NA,0
"52001",2,1,2,2,859,1,1,1,NA,0
"52001",1,1,1,1,1264,1,1,1,NA,0
"52001",2,1,3,4,1315,1,1,1,NA,0
"52001",2,1,2,4,1331,1,1,1,NA,0
"52001",2,1,2,2,1348,1,1,1,NA,0
"52001",1,1,2,3,1394,1,1,1,NA,0
"52001",2,1,2,7,1424,1,1,1,NA,0
"52001",2,1,2,8,1439,1,1,1,NA,0
"52001",2,1,2,6,1447,1,1,1,NA,0
"52001",2,1,2,2,1457,1,1,1,NA,0
"52001",1,1,2,2,1464,1,1,1,NA,0
"52001",1,1,2,4,1470,1,1,1,NA,0
"52001",1,1,2,3,1478,1,1,1,NA,0
"52001",2,1,2,2,1484,1,1,1,NA,0
"52001",3,1,2,3,1546,1,1,1,NA,0
"52001",2,1,2,2,1565,1,1,1,NA,0
"52001",3,1,2,3,1578,1,1,1,NA,0
"52001",3,1,2,1,1602,1,1,1,NA,0
"52001",3,1,2,3,1629,1,1,1,NA,0
"52001",2,1,2,1,1649,1,1,1,NA,0
"52001",2,1,2,5,1668,1,1,1,NA,0
"52356",2,1,1,2,1683,1,1,1,NA,0
"52001",1,1,2,2,1688,1,1,1,NA,0
"52001",2,1,2,2,1705,1,1,1,NA,0
"52001",2,1,2,2,1709,1,1,1,NA,0
"52001",3,1,2,2,1717,1,1,1,NA,0
"52001",2,1,2,4,1841,1,1,1,NA,0
"52001",2,1,2,4,1861,1,1,1,NA,0
"52001",2,1,2,4,1880,1,1,1,NA,0
"52001",3,1,2,1,1922,1,1,1,NA,0
"52356",2,1,1,2,1935,1,1,1,NA,0
"52356",2,1,1,2,1961,1,1,1,NA,0
"52001",2,1,1,3,2085,1,1,1,NA,0
"52001",2,1,3,1,2123,1,1,1,NA,0
"52001",2,1,2,3,2168,1,1,1,NA,0
"52001",2,1,2,2,2207,1,1,1,NA,0
"52001",1,1,2,2,2224,1,1,1,NA,0
"52001",1,1,2,5,2225,1,1,1,NA,0
"52001",2,1,2,2,2271,1,1,1,NA,0
"52001",2,1,2,4,2275,1,1,1,NA,0
"52001",2,1,2,2,2283,1,1,1,NA,0
"52001",2,1,2,5,2309,1,1,1,NA,0
"52001",2,1,2,4,2324,1,1,1,NA,0
"52001",1,1,2,2,2342,1,1,1,NA,0
"52001",2,1,2,4,2351,1,1,1,NA,0
