"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"86001",1,1,1,5,1209,1,1,1,NA,0
"86001",1,1,1,2,1607,1,1,1,NA,0
"86001",2,1,1,4,1647,1,1,1,NA,0
"86001",1,1,1,7,1676,1,1,1,NA,0
"86001",1,1,1,3,1811,1,1,1,NA,0
"86001",2,1,1,1,1845,1,1,1,NA,0
"86001",2,1,1,2,1870,1,1,1,NA,0
"86001",2,1,1,4,1904,1,1,1,NA,0
"86001",2,1,1,4,1941,1,1,1,NA,0
"86001",1,1,1,6,1959,1,1,1,NA,0
"86001",2,1,1,3,1991,1,1,1,NA,0
"86001",1,1,1,4,2014,1,1,1,NA,0
"86001",2,1,1,1,2047,1,1,1,NA,0
"86001",1,1,1,6,2054,1,1,1,NA,0
"86001",1,1,1,5,2349,1,1,1,NA,0
"86001",1,1,1,3,2369,1,1,1,NA,0
"86001",1,1,1,3,2417,1,1,1,NA,0
"86001",1,1,1,4,2418,1,1,1,NA,0
"86001",2,1,1,3,2675,1,1,1,NA,0
"86001",2,1,1,3,2948,1,1,1,NA,0
"86001",1,1,1,2,2958,1,1,1,NA,0
"86001",1,1,1,2,2979,1,1,1,NA,0
"86001",2,1,1,4,3006,1,1,1,NA,0
"86001",1,1,1,2,3249,1,1,1,NA,0
"86001",1,1,1,4,3277,1,1,1,NA,0
"86001",2,1,1,2,3313,1,1,1,NA,0
"86001",2,1,1,3,3333,1,1,1,NA,0
"86001",1,1,1,5,3347,1,1,1,NA,0
"86001",2,1,1,2,3366,1,1,1,NA,0
"86001",2,1,1,4,3380,1,1,1,NA,0
"86001",2,1,2,2,3471,1,1,1,NA,0
"86001",1,1,3,2,3500,1,1,1,NA,0
"86001",2,1,2,1,3517,1,1,1,NA,0
"86001",2,1,2,2,3541,1,1,1,NA,0
"86001",2,1,2,3,3591,1,1,1,NA,0
"86001",2,1,2,1,3628,1,1,1,NA,0
"86001",1,1,1,3,3660,1,1,1,NA,0
"86001",2,1,1,4,3896,1,1,1,NA,0
"86001",1,1,1,6,3949,1,1,1,NA,0
