"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"63001",1,1,3,2,1156,1,1,1,NA,0
"63001",1,1,3,5,1183,1,1,1,NA,0
"63001",1,1,3,2,1207,1,1,1,NA,0
"63001",1,1,3,3,1225,1,1,1,NA,0
"63001",1,1,3,6,1237,1,1,1,NA,0
"63001",1,1,3,7,1252,1,1,1,NA,0
"63001",1,1,3,4,1262,1,1,1,NA,0
"63001",1,1,3,3,1274,1,1,1,NA,0
"63001",1,1,1,2,1335,1,1,1,NA,0
"63001",1,1,1,4,1380,1,1,1,NA,0
"63001",1,1,1,2,1392,1,1,1,NA,0
"63001",1,1,1,4,1410,1,1,1,NA,0
"63001",1,1,1,4,1437,1,1,1,NA,0
"63001",1,1,1,1,1540,1,1,1,NA,0
"63001",1,1,1,4,1559,1,1,1,NA,0
"63001",1,1,1,2,1568,1,1,1,NA,0
"63001",1,1,1,4,1581,1,1,1,NA,0
"63001",1,1,1,3,1601,1,1,1,NA,0
"63001",1,1,2,5,1630,1,1,1,NA,0
"63001",1,1,1,4,1634,1,1,1,NA,0
"63001",1,1,1,6,1657,1,1,1,NA,0
"63001",1,1,2,3,1658,1,1,1,NA,0
"63001",1,1,1,2,1677,1,1,1,NA,0
"63001",1,1,2,4,1681,1,1,1,NA,0
"63001",1,1,1,4,1695,1,1,1,NA,0
"63001",1,1,2,3,1702,1,1,1,NA,0
"63001",1,1,2,2,2233,1,1,1,NA,0
"63001",1,1,2,3,2241,1,1,1,NA,0
"63001",1,1,2,4,2250,1,1,1,NA,0
"63001",1,1,3,5,2255,1,1,1,NA,0
"63001",1,1,3,3,2267,1,1,1,NA,0
"63130",2,1,1,4,2292,1,1,1,NA,0
"63001",1,1,3,1,2370,1,1,1,NA,0
"63001",1,1,3,3,2398,1,1,1,NA,0
"63130",1,1,2,2,2413,1,1,1,NA,0
"63001",1,1,3,2,2448,1,1,1,NA,0
"63130",1,1,1,2,2612,1,1,1,NA,0
"63130",1,1,1,2,2621,1,1,1,NA,0
"63001",1,1,3,4,2626,1,1,1,NA,0
"63130",1,1,2,3,2632,1,1,1,NA,0
"63130",1,1,1,3,2642,1,1,1,NA,0
"63130",1,1,2,2,2656,1,1,1,NA,0
"63130",1,1,2,3,2659,1,1,1,NA,0
"63130",1,1,2,3,2670,1,1,1,NA,0
"63130",1,1,2,4,2674,1,1,1,NA,0
"63130",1,1,2,4,2702,1,1,1,NA,0
"63130",1,1,2,1,2712,1,1,1,NA,0
"63130",1,1,2,1,2739,1,1,1,NA,0
"63001",1,1,2,1,4181,1,1,1,NA,0
"63130",1,1,3,5,4184,1,1,1,NA,0
"63130",1,1,2,4,4188,1,1,1,NA,0
"63001",1,1,2,4,4194,1,1,1,NA,0
"63001",1,1,2,2,4201,1,1,1,NA,0
"63001",1,1,2,3,4209,1,1,1,NA,0
"63130",1,1,3,9,4220,1,1,1,NA,0
"63001",1,1,2,6,4225,1,1,1,NA,0
"63001",1,1,2,3,4230,1,1,1,NA,0
"63001",1,1,2,6,4243,1,1,1,NA,0
"63001",1,1,2,4,4266,1,1,1,NA,0
"63001",1,1,3,4,4277,1,1,1,NA,0
"63130",2,1,2,5,4294,1,1,1,NA,0
"63001",1,1,3,3,4300,1,1,1,NA,0
"63130",2,1,2,2,4339,1,1,1,NA,0
"63001",1,1,2,3,4342,1,1,1,NA,0
"63001",1,1,2,3,4372,1,1,1,NA,0
"63130",1,1,3,7,4386,1,1,1,NA,0
"63001",1,1,2,3,4394,1,1,1,NA,0
"63001",1,1,2,1,4423,1,1,1,NA,0
"63130",1,1,3,4,4470,1,1,1,NA,0
"63130",1,1,3,3,4482,1,1,1,NA,0
"63130",1,1,3,4,4501,1,1,1,NA,0
"63130",1,1,2,4,4505,1,1,1,NA,0
"63130",1,1,2,3,4516,1,1,1,NA,0
"63001",1,1,2,2,4518,1,1,1,NA,0
"63130",1,1,1,3,4531,1,1,1,NA,0
"63001",1,1,2,5,4539,1,1,1,NA,0
"63130",1,1,2,2,4564,1,1,1,NA,0
"63001",1,1,2,4,4565,1,1,1,NA,0
"63130",1,1,1,3,4568,1,1,1,NA,0
"63130",1,1,1,5,4607,1,1,1,NA,0
"63001",1,1,2,4,4608,1,1,1,NA,0
"63130",1,1,3,4,4627,1,1,1,NA,0
"63001",1,1,2,4,4638,1,1,1,NA,0
"63130",1,1,3,3,4640,1,1,1,NA,0
"63130",1,1,3,3,4677,1,1,1,NA,0
"63130",1,1,3,2,4705,1,1,1,NA,0
"63130",1,1,3,2,4726,1,1,1,NA,0
"63130",1,1,2,4,4745,1,1,1,NA,0
"63130",1,1,1,2,4757,1,1,1,NA,0
"63130",1,1,1,2,4840,1,1,1,NA,0
"63130",1,1,1,5,4853,1,1,1,NA,0
"63130",1,1,1,4,4866,1,1,1,NA,0
"63130",1,1,2,2,5464,1,1,1,NA,0
"63130",1,1,2,4,5470,1,1,1,NA,0
"63130",1,1,2,4,5482,1,1,1,NA,0
"63130",1,1,3,2,5512,1,1,1,NA,0
"63130",1,1,3,4,5547,1,1,1,NA,0
"63130",1,1,2,2,5548,1,1,1,NA,0
"63130",2,1,2,3,5567,1,1,1,NA,0
"63130",1,1,3,3,5571,1,1,1,NA,0
"63130",1,1,3,4,5581,1,1,1,NA,0
"63130",1,1,2,2,5589,1,1,1,NA,0
"63130",1,1,2,2,5679,1,1,1,NA,0
"63130",1,1,1,2,5688,1,1,1,NA,0
"63130",1,1,2,3,5699,1,1,1,NA,0
"63130",1,1,2,2,5734,1,1,1,NA,0
"63001",1,1,2,2,6322,1,1,1,NA,0
"63001",1,1,1,2,6324,1,1,1,NA,0
"63001",1,1,2,5,6335,1,1,1,NA,0
"63130",1,1,2,3,6623,1,1,1,NA,0
"63001",1,1,2,2,6627,1,1,1,NA,0
"63130",1,1,2,3,6628,1,1,1,NA,0
"63130",1,1,2,7,6630,1,1,1,NA,0
"63001",1,1,3,3,6642,1,1,1,NA,0
"63001",1,1,3,4,6645,1,1,1,NA,0
"63001",1,1,2,2,6650,1,1,1,NA,0
"63001",1,1,2,3,6657,1,1,1,NA,0
"63001",1,1,2,4,6673,1,1,1,NA,0
"63001",1,1,3,1,6679,1,1,1,NA,0
"63130",1,1,2,7,6750,1,1,1,NA,0
"63130",1,1,1,6,7185,1,1,1,NA,0
"63130",1,1,3,4,7211,1,1,1,NA,0
"63130",1,1,3,4,7227,1,1,1,NA,0
"63130",1,1,1,3,7237,1,1,1,NA,0
"63130",1,1,1,2,7272,1,1,1,NA,0
"63130",1,1,3,3,7304,1,1,1,NA,0
"63130",1,1,3,4,7314,1,1,1,NA,0
"63130",1,1,3,2,7325,1,1,1,NA,0
"63130",1,1,2,4,7395,1,1,1,NA,0
"63130",1,1,3,2,7408,1,1,1,NA,0
"63130",1,1,1,2,7409,1,1,1,NA,0
"63130",1,1,3,4,7413,1,1,1,NA,0
"63130",1,1,4,3,7420,1,1,1,NA,0
"63130",1,1,2,2,7422,1,1,1,NA,0
"63130",1,1,3,2,7435,1,1,1,NA,0
"63130",1,1,4,2,7441,1,1,1,NA,0
"63130",1,1,3,4,7447,1,1,1,NA,0
"63130",1,1,4,4,7471,1,1,1,NA,0
"63130",1,1,4,3,7499,1,1,1,NA,0
"63130",1,1,4,2,7541,1,1,1,NA,0
"63130",1,1,3,5,7644,1,1,1,NA,0
"63130",1,1,3,2,7721,1,1,1,NA,0
"63470",1,1,3,1,8286,1,1,1,NA,0
"63470",1,1,3,1,8302,1,1,1,NA,0
"63470",1,1,2,2,8313,1,1,1,NA,0
"63470",1,1,2,3,8317,1,1,1,NA,0
"63470",1,1,2,2,8359,1,1,1,NA,0
"63130",1,1,3,4,8382,1,1,1,NA,0
"63001",1,1,2,1,8397,1,1,1,NA,0
"63001",1,1,2,5,8416,1,1,1,NA,0
"63001",1,1,3,3,8443,1,1,1,NA,0
"63470",3,1,2,4,8474,1,1,1,NA,0
"63001",1,1,2,5,8491,1,1,1,NA,0
"63001",1,1,3,5,8526,1,1,1,NA,0
"63470",3,1,2,4,8546,1,1,1,NA,0
"63001",1,1,3,3,8562,1,1,1,NA,0
"63001",1,1,3,3,8575,1,1,1,NA,0
"63130",1,1,1,4,8581,1,1,1,NA,0
"63470",1,1,2,3,8598,1,1,1,NA,0
"63001",1,1,3,5,8601,1,1,1,NA,0
"63130",1,1,1,1,8633,1,1,1,NA,0
"63001",1,1,3,6,8644,1,1,1,NA,0
"63470",1,1,1,2,8645,1,1,1,NA,0
"63001",1,1,3,2,8663,1,1,1,NA,0
"63001",1,1,1,4,8668,1,1,1,NA,0
"63001",1,1,2,4,8682,1,1,1,NA,0
"63001",1,1,1,6,8709,1,1,1,NA,0
"63001",1,1,1,2,8737,1,1,1,NA,0
"63001",1,1,3,3,8798,1,1,1,NA,0
"63001",1,1,2,3,8803,1,1,1,NA,0
"63001",1,1,3,2,8810,1,1,1,NA,0
"63001",1,1,2,4,8825,1,1,1,NA,0
"63001",1,1,3,4,8826,1,1,1,NA,0
"63001",1,1,3,4,8850,1,1,1,NA,0
"63001",1,1,3,4,8871,1,1,1,NA,0
"63130",2,1,2,2,8879,1,1,1,NA,0
"63001",1,1,2,3,8880,1,1,1,NA,0
"63130",1,1,2,4,8905,1,1,1,NA,0
"63001",1,1,3,2,8908,1,1,1,NA,0
"63001",1,1,3,4,8934,1,1,1,NA,0
"63470",1,1,1,5,8945,1,1,1,NA,0
"63001",1,1,1,5,8949,1,1,1,NA,0
"63470",1,1,2,3,8969,1,1,1,NA,0
"63001",1,1,3,1,8979,1,1,1,NA,0
"63001",1,1,2,4,8991,1,1,1,NA,0
"63470",1,1,2,3,8992,1,1,1,NA,0
"63470",1,1,2,2,9012,1,1,1,NA,0
"63001",1,1,3,3,9022,1,1,1,NA,0
"63470",1,1,2,3,9032,1,1,1,NA,0
"63001",1,1,2,2,9038,1,1,1,NA,0
"63001",1,1,3,5,9051,1,1,1,NA,0
"63001",1,1,2,2,9062,1,1,1,NA,0
"63470",1,1,2,2,9290,1,1,1,NA,0
"63470",1,1,2,3,9303,1,1,1,NA,0
"63470",1,1,2,2,9321,1,1,1,NA,0
"63001",1,1,1,4,9377,1,1,1,NA,0
"63001",1,1,1,6,9407,1,1,1,NA,0
"63001",1,1,1,3,9436,1,1,1,NA,0
"63001",1,1,1,3,9461,1,1,1,NA,0
"63001",1,1,1,3,9542,1,1,1,NA,0
"63001",1,1,2,3,9568,1,1,1,NA,0
"63001",1,1,1,5,9574,1,1,1,NA,0
"63001",1,1,1,4,9588,1,1,1,NA,0
"63001",1,1,3,4,9728,1,1,1,NA,0
"63001",1,1,3,6,9730,1,1,1,NA,0
"63001",1,1,1,4,9872,1,1,1,NA,0
"63001",1,1,1,3,9903,1,1,1,NA,0
"63001",1,1,2,2,9949,1,1,1,NA,0
"63001",1,1,2,3,9967,1,1,1,NA,0
"63001",1,1,2,4,9981,1,1,1,NA,0
"63001",1,1,3,4,10235,1,1,1,NA,0
"63001",1,1,3,2,10266,1,1,1,NA,0
"63001",1,1,3,3,10281,1,1,1,NA,0
"63001",2,1,3,2,10305,1,1,1,NA,0
"63001",1,1,1,4,10349,1,1,1,NA,0
"63470",1,1,2,2,10358,1,1,1,NA,0
"63001",1,1,1,4,10383,1,1,1,NA,0
"63470",2,1,1,2,10391,1,1,1,NA,0
"63001",1,1,1,2,10500,1,1,1,NA,0
"63001",1,1,1,2,10518,1,1,1,NA,0
"63001",1,1,1,4,10527,1,1,1,NA,0
"63470",1,1,2,3,10546,1,1,1,NA,0
"63001",1,1,1,3,10553,1,1,1,NA,0
"63470",1,1,2,2,10569,1,1,1,NA,0
"63001",2,1,1,4,10578,1,1,1,NA,0
"63001",1,1,1,5,10613,1,1,1,NA,0
"63470",1,1,2,2,10620,1,1,1,NA,0
"63001",1,1,1,6,10689,1,1,1,NA,0
"63470",1,1,2,4,10713,1,1,1,NA,0
"63001",2,1,1,2,10724,1,1,1,NA,0
"63470",1,1,2,4,10736,1,1,1,NA,0
"63001",2,1,1,8,10750,1,1,1,NA,0
"63001",2,1,1,4,10772,1,1,1,NA,0
"63001",2,1,1,3,10785,1,1,1,NA,0
"63470",1,1,2,4,12240,1,1,1,NA,0
"63470",1,1,2,5,12382,1,1,1,NA,0
"63470",1,1,2,5,12409,1,1,1,NA,0
"63470",1,1,2,4,12454,1,1,1,NA,0
"63470",1,1,2,3,13176,1,1,1,NA,0
"63470",1,1,2,4,13231,1,1,1,NA,0
"63470",1,1,2,2,13397,1,1,1,NA,0
"63470",1,1,2,2,13436,1,1,1,NA,0
"63470",1,1,2,3,13472,1,1,1,NA,0
"63470",1,1,2,3,13523,1,1,1,NA,0
"63470",1,1,1,2,13667,1,1,1,NA,0
"63001",1,1,2,2,13698,1,1,1,NA,0
"63470",1,1,1,4,13705,1,1,1,NA,0
"63001",1,1,2,3,13712,1,1,1,NA,0
"63001",1,1,2,2,13719,1,1,1,NA,0
"63001",1,1,2,4,13734,1,1,1,NA,0
"63470",1,1,1,5,13741,1,1,1,NA,0
"63001",1,1,1,6,13751,1,1,1,NA,0
"63470",1,1,1,3,13752,1,1,1,NA,0
"63470",1,1,2,3,13783,1,1,1,NA,0
"63470",1,1,2,2,13800,1,1,1,NA,0
"63001",1,1,3,2,13803,1,1,1,NA,0
"63001",2,1,1,7,13838,1,1,1,NA,0
"63001",1,1,3,3,13846,1,1,1,NA,0
"63470",1,1,1,3,13866,1,1,1,NA,0
"63001",1,1,3,2,13932,1,1,1,NA,0
"63001",1,1,1,8,13943,1,1,1,NA,0
"63470",1,1,1,12,13953,1,1,1,NA,0
"63470",1,1,2,3,14036,1,1,1,NA,0
"63470",1,1,2,2,14091,1,1,1,NA,0
"63470",1,1,1,3,14103,1,1,1,NA,0
"63001",1,1,2,4,14140,1,1,1,NA,0
"63470",1,1,1,2,14141,1,1,1,NA,0
"63470",1,1,1,3,14149,1,1,1,NA,0
"63470",1,1,1,3,14197,1,1,1,NA,0
"63001",1,1,2,4,14211,1,1,1,NA,0
"63470",1,1,1,4,14212,1,1,1,NA,0
"63470",1,1,1,3,14253,1,1,1,NA,0
"63470",1,1,1,2,14264,1,1,1,NA,0
"63470",1,1,1,3,14283,1,1,1,NA,0
"63470",1,1,1,5,14291,1,1,1,NA,0
"63470",1,1,1,4,14307,1,1,1,NA,0
"63470",1,1,1,2,14440,1,1,1,NA,0
"63470",1,1,1,6,14473,1,1,1,NA,0
"63001",1,1,2,3,14474,1,1,1,NA,0
"63001",1,1,3,4,14506,1,1,1,NA,0
"63470",1,1,1,3,14510,1,1,1,NA,0
"63470",1,1,1,4,14521,1,1,1,NA,0
"63470",1,1,1,2,14552,1,1,1,NA,0
"63001",1,1,3,3,14568,1,1,1,NA,0
"63001",1,1,3,5,14584,1,1,1,NA,0
"63001",1,1,1,4,14650,1,1,1,NA,0
"63001",2,1,1,5,14702,1,1,1,NA,0
"63001",1,1,1,4,14757,1,1,1,NA,0
"63001",1,1,1,1,14954,1,1,1,NA,0
"63470",3,1,2,4,15004,1,1,1,NA,0
"63001",1,1,3,5,15018,1,1,1,NA,0
"63001",2,1,3,4,15050,1,1,1,NA,0
"63470",1,1,2,2,15089,1,1,1,NA,0
"63001",2,1,3,4,15098,1,1,1,NA,0
"63470",1,1,2,4,15134,1,1,1,NA,0
"63470",1,1,1,4,15187,1,1,1,NA,0
"63001",2,1,3,3,15196,1,1,1,NA,0
"63470",1,1,2,2,15223,1,1,1,NA,0
"63001",2,1,2,3,15251,1,1,1,NA,0
"63001",1,1,3,6,15281,1,1,1,NA,0
"63470",1,1,3,6,15417,1,1,1,NA,0
"63470",1,1,3,2,15440,1,1,1,NA,0
"63470",1,1,3,4,15456,1,1,1,NA,0
"63470",1,1,2,2,15483,1,1,1,NA,0
"63470",1,1,3,3,15516,1,1,1,NA,0
"63470",1,1,3,4,15569,1,1,1,NA,0
"63001",2,1,2,3,16319,1,1,1,NA,0
"63001",1,1,1,2,16346,1,1,1,NA,0
"63001",1,1,2,2,16397,1,1,1,NA,0
"63001",1,1,2,6,16848,1,1,1,NA,0
"63470",1,1,1,1,16853,1,1,1,NA,0
"63470",1,1,2,2,16880,1,1,1,NA,0
"63001",1,1,1,3,16895,1,1,1,NA,0
"63001",1,1,1,3,16914,1,1,1,NA,0
"63401",1,1,2,1,16916,1,1,1,NA,0
"63130",1,1,2,8,16935,1,1,1,NA,0
"63401",1,1,2,4,16940,1,1,1,NA,0
"63001",1,1,3,4,16961,1,1,1,NA,0
"63001",1,1,3,4,16974,1,1,1,NA,0
"63001",1,1,3,4,16990,1,1,1,NA,0
"63001",1,1,3,2,17000,1,1,1,NA,0
"63401",1,1,2,3,17087,1,1,1,NA,0
"63401",1,1,2,4,17099,1,1,1,NA,0
"63401",2,1,2,2,17117,1,1,1,NA,0
"63401",1,1,2,3,17140,1,1,1,NA,0
"63001",1,1,4,2,17160,1,1,1,NA,0
"63001",1,1,3,4,17165,1,1,1,NA,0
"63001",1,1,4,2,17187,1,1,1,NA,0
"63001",1,1,3,5,17190,1,1,1,NA,0
"63401",1,1,2,4,17217,1,1,1,NA,0
"63401",1,1,1,4,17228,1,1,1,NA,0
"63401",1,1,1,3,17267,1,1,1,NA,0
"63401",1,1,2,3,17283,1,1,1,NA,0
"63401",1,1,2,2,17297,1,1,1,NA,0
"63401",1,1,1,6,17300,1,1,1,NA,0
"63401",1,1,2,2,17368,1,1,1,NA,0
"63401",1,1,1,3,17373,1,1,1,NA,0
"63001",1,1,3,2,17393,1,1,1,NA,0
"63401",1,1,2,4,17449,1,1,1,NA,0
"63401",1,1,1,7,17480,1,1,1,NA,0
