"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"66001",2,1,2,2,2451,1,1,1,NA,0
"66001",1,1,2,2,2507,1,1,1,NA,0
"66001",2,1,2,5,2517,1,1,1,NA,0
"66001",3,1,2,1,2530,1,1,1,NA,0
"66001",1,1,2,1,2533,1,1,1,NA,0
"66001",2,1,2,4,2548,1,1,1,NA,0
"66001",1,1,2,6,2562,1,1,1,NA,0
"66001",1,1,2,2,2595,1,1,1,NA,0
"66001",2,1,2,3,2600,1,1,1,NA,0
"66001",1,1,2,5,2641,1,1,1,NA,0
"66001",2,1,3,5,2650,1,1,1,NA,0
"66001",1,1,2,3,2658,1,1,1,NA,0
"66001",2,1,3,4,2681,1,1,1,NA,0
"66001",2,1,2,2,2696,1,1,1,NA,0
"66001",1,1,2,5,2705,1,1,1,NA,0
"66001",2,1,3,2,2711,1,1,1,NA,0
"66001",2,1,2,3,2719,1,1,1,NA,0
"66001",1,1,3,1,2734,1,1,1,NA,0
"66001",2,1,3,5,2738,1,1,1,NA,0
"66001",1,1,3,5,2940,1,1,1,NA,0
"66001",2,1,3,3,2990,1,1,1,NA,0
"66001",1,1,3,4,3073,1,1,1,NA,0
"66001",2,1,3,1,3113,1,1,1,NA,0
"66001",1,1,2,4,3514,1,1,1,NA,0
"66001",2,1,2,2,3559,1,1,1,NA,0
"66001",2,1,2,1,3622,1,1,1,NA,0
"66001",1,1,2,1,3671,1,1,1,NA,0
"66001",1,1,2,2,3673,1,1,1,NA,0
"66001",1,1,2,3,3701,1,1,1,NA,0
"66001",2,1,2,2,3732,1,1,1,NA,0
"66001",2,1,3,2,3736,1,1,1,NA,0
"66001",1,1,3,2,3748,1,1,1,NA,0
"66001",2,1,2,3,3749,1,1,1,NA,0
"66001",2,1,2,3,3761,1,1,1,NA,0
"66001",2,1,2,2,3767,1,1,1,NA,0
"66001",1,1,3,4,3769,1,1,1,NA,0
"66001",2,1,2,3,3783,1,1,1,NA,0
"66001",2,1,2,5,3794,1,1,1,NA,0
"66001",1,1,3,3,3802,1,1,1,NA,0
"66001",2,1,2,2,3821,1,1,1,NA,0
"66001",2,1,2,4,3830,1,1,1,NA,0
"66001",1,1,3,5,3832,1,1,1,NA,0
"66001",2,1,2,2,3868,1,1,1,NA,0
"66001",2,1,2,4,3881,1,1,1,NA,0
"66001",2,1,2,5,3882,1,1,1,NA,0
"66001",2,1,2,2,3907,1,1,1,NA,0
"66001",2,1,2,3,3926,1,1,1,NA,0
"66001",2,1,2,3,3947,1,1,1,NA,0
"66001",2,1,2,3,3969,1,1,1,NA,0
"66001",2,1,2,3,3970,1,1,1,NA,0
"66001",2,1,2,5,4001,1,1,1,NA,0
"66001",2,1,2,3,4033,1,1,1,NA,0
"66001",1,1,2,3,4056,1,1,1,NA,0
"66001",2,1,2,3,4199,1,1,1,NA,0
"66001",1,1,2,2,4216,1,1,1,NA,0
"66001",1,1,2,6,4233,1,1,1,NA,0
"66001",1,1,2,2,4257,1,1,1,NA,0
"66001",1,1,2,8,4278,1,1,1,NA,0
"66001",1,1,2,4,4323,1,1,1,NA,0
"66001",2,1,2,2,4338,1,1,1,NA,0
"66001",1,1,2,3,4355,1,1,1,NA,0
"66001",2,1,2,3,4364,1,1,1,NA,0
"66001",1,1,2,5,4381,1,1,1,NA,0
"66001",1,1,2,4,4403,1,1,1,NA,0
"66001",2,1,2,3,4405,1,1,1,NA,0
"66001",2,1,2,3,4424,1,1,1,NA,0
"66001",1,1,2,4,4425,1,1,1,NA,0
"66001",2,1,2,2,4436,1,1,1,NA,0
"66001",2,1,2,4,4440,1,1,1,NA,0
"66001",2,1,2,1,4448,1,1,1,NA,0
"66001",2,1,2,3,4451,1,1,1,NA,0
"66001",2,1,2,2,4456,1,1,1,NA,0
"66001",1,1,2,2,4647,1,1,1,NA,0
