"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"88001",2,1,3,7,6439,1,1,1,NA,0
"88001",1,2,NA,1,6448,1,1,1,NA,0
"88001",2,1,3,2,6472,1,1,1,NA,0
"88001",2,1,3,3,6474,1,1,1,NA,0
"88001",1,1,2,2,6483,1,1,1,NA,0
"88001",1,1,3,3,6484,1,1,1,NA,0
"88001",2,1,2,2,6491,1,1,1,NA,0
"88001",2,1,2,3,6500,1,1,1,NA,0
"88001",1,1,3,2,6504,1,1,1,NA,0
"88001",1,1,3,5,7179,1,1,1,NA,0
"88001",1,1,1,4,7244,1,1,1,NA,0
"88001",2,1,2,3,7258,1,1,1,NA,0
"88001",1,1,2,3,7266,1,1,1,NA,0
"88001",1,1,3,8,7281,1,1,1,NA,0
"88001",1,1,2,3,7298,1,1,1,NA,0
"88001",1,1,3,3,7311,1,1,1,NA,0
"88001",1,1,2,5,7319,1,1,1,NA,0
"88001",1,1,3,4,7326,1,1,1,NA,0
"88001",2,1,1,2,7327,1,1,1,NA,0
"88001",1,1,3,3,7331,1,1,1,NA,0
"88001",2,1,2,3,7333,1,1,1,NA,0
"88001",2,1,2,6,7335,1,1,1,NA,0
"88001",1,1,3,3,7338,1,1,1,NA,0
"88001",1,1,1,3,7339,1,1,1,NA,0
"88001",1,1,2,4,7340,1,1,1,NA,0
"88001",2,1,3,5,7342,1,1,1,NA,0
"88001",2,1,2,2,7343,1,1,1,NA,0
"88001",1,1,3,3,7344,1,1,1,NA,0
"88001",2,1,2,2,7906,1,1,1,NA,0
"88001",2,1,2,2,7934,1,1,1,NA,0
"88001",3,1,2,3,7945,1,1,1,NA,0
"88001",2,1,2,3,7975,1,1,1,NA,0
"88001",3,1,1,3,8021,1,1,1,NA,0
"88001",2,1,9,5,8098,1,1,1,NA,0
"88001",2,1,3,4,8134,1,1,1,NA,0
"88001",1,1,2,5,8181,1,1,1,NA,0
"88001",1,1,3,4,8193,1,1,1,NA,0
"88001",2,1,2,4,8205,1,1,1,NA,0
"88001",1,1,2,4,8253,1,1,1,NA,0
"88001",1,1,2,3,8319,1,1,1,NA,0
"88001",2,1,1,3,8767,1,1,1,NA,0
"88001",3,1,1,3,8797,1,1,1,NA,0
"88001",2,1,1,3,8845,1,1,1,NA,0
"88001",1,1,3,5,8875,1,1,1,NA,0
"88001",2,1,1,7,8915,1,1,1,NA,0
"88001",1,1,2,10,8921,1,1,1,NA,0
"88001",3,1,1,4,8957,1,1,1,NA,0
"88001",1,1,1,4,8987,1,1,1,NA,0
"88001",1,1,2,5,9001,1,1,1,NA,0
"88001",1,1,3,6,9011,1,1,1,NA,0
"88001",2,1,2,5,9054,1,1,1,NA,0
"88001",2,1,1,3,9061,1,1,1,NA,0
"88001",1,1,3,4,9123,1,1,1,NA,0
"88001",2,1,2,3,9143,1,1,1,NA,0
