"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
68547,1,1,3,4,30,1,1,1,NA,0
68547,1,1,3,4,33,1,1,1,NA,0
68547,3,1,2,2,43,1,1,1,NA,0
68547,1,1,3,6,44,1,1,1,NA,0
68547,1,1,3,2,45,1,1,1,NA,0
68547,1,1,3,2,47,1,1,1,NA,0
68547,1,1,3,3,54,1,1,1,NA,0
68547,1,1,3,3,56,1,1,1,NA,0
68547,1,1,3,4,58,1,1,1,NA,0
68547,1,1,3,6,69,1,1,1,NA,0
68547,1,1,3,5,73,1,1,1,NA,0
68547,2,1,3,1,75,1,1,1,NA,0
68547,1,1,3,3,86,1,1,1,NA,0
68547,1,1,2,3,93,1,1,1,NA,0
68547,1,1,3,4,94,1,1,1,NA,0
68547,1,1,3,6,98,1,1,1,NA,0
68547,2,1,2,6,111,1,1,1,NA,0
68547,1,1,3,4,113,1,1,1,NA,0
68547,2,1,2,7,190,1,1,1,NA,0
68547,1,1,2,3,372,1,1,1,NA,0
68547,2,1,3,1,494,1,1,1,NA,0
68547,1,1,3,4,496,1,1,1,NA,0
68547,1,1,2,4,510,1,1,1,NA,0
68547,1,1,3,4,529,1,1,1,NA,0
68547,2,1,2,2,535,1,1,1,NA,0
68547,2,1,3,2,537,1,1,1,NA,0
68307,2,1,1,3,542,1,1,1,NA,0
68547,1,1,2,3,558,1,1,1,NA,0
68547,1,1,3,4,561,1,1,1,NA,0
68547,1,1,2,2,569,1,1,1,NA,0
68307,1,1,1,3,571,1,1,1,NA,0
68547,1,1,3,1,574,1,1,1,NA,0
68547,2,1,2,2,582,1,1,1,NA,0
68547,2,1,3,3,586,1,1,1,NA,0
68547,2,1,2,2,590,1,1,1,NA,0
68547,1,1,3,2,594,1,1,1,NA,0
68547,1,1,2,5,597,1,1,1,NA,0
68547,1,1,3,4,612,1,1,1,NA,0
68547,2,1,2,3,613,1,1,1,NA,0
68547,2,1,2,4,616,1,1,1,NA,0
68547,1,1,3,3,618,1,1,1,NA,0
68547,1,1,2,2,623,1,1,1,NA,0
68547,2,1,2,4,624,1,1,1,NA,0
68547,1,1,3,1,628,1,1,1,NA,0
68547,2,1,2,5,631,1,1,1,NA,0
68547,1,1,2,7,632,1,1,1,NA,0
68547,2,1,3,2,635,1,1,1,NA,0
68547,1,1,2,5,637,1,1,1,NA,0
68547,1,1,2,5,640,1,1,1,NA,0
68547,1,1,2,4,643,1,1,1,NA,0
68547,1,1,3,4,646,1,1,1,NA,0
68547,2,1,2,4,647,1,1,1,NA,0
68547,2,1,2,6,648,1,1,1,NA,0
68547,2,1,2,4,649,1,1,1,NA,0
68547,1,1,2,3,651,1,1,1,NA,0
68547,1,1,2,9,652,1,1,1,NA,0
68547,1,1,2,4,653,1,1,1,NA,0
68547,1,1,3,10,654,1,1,1,NA,0
68547,1,1,2,3,655,1,1,1,NA,0
68547,2,1,3,6,657,1,1,1,NA,0
68547,2,1,2,5,658,1,1,1,NA,0
68547,1,1,2,7,659,1,1,1,NA,0
68547,2,1,3,2,660,1,1,1,NA,0
68547,2,1,3,2,661,1,1,1,NA,0
68547,2,1,3,3,662,1,1,1,NA,0
68547,2,1,2,2,663,1,1,1,NA,0
68547,2,1,3,1,664,1,1,1,NA,0
68547,1,1,2,1,665,1,1,1,NA,0
68547,1,1,3,6,666,1,1,1,NA,0
68547,1,1,3,4,675,1,1,1,NA,0
68307,1,1,3,6,676,1,1,1,NA,0
68547,1,1,3,5,677,1,1,1,NA,0
68307,1,1,3,6,678,1,1,1,NA,0
68547,1,1,3,4,679,1,1,1,NA,0
68547,1,1,3,4,680,1,1,1,NA,0
68307,1,1,3,3,681,1,1,1,NA,0
68307,1,1,3,3,682,1,1,1,NA,0
68547,1,1,3,4,683,1,1,1,NA,0
68547,1,1,3,2,685,1,1,1,NA,0
68307,1,1,3,6,686,1,1,1,NA,0
68307,2,1,2,4,687,1,1,1,NA,0
68307,1,1,3,2,688,1,1,1,NA,0
68307,2,1,2,1,690,1,1,1,NA,0
68307,2,1,1,3,691,1,1,1,NA,0
68547,2,1,3,1,694,1,1,1,NA,0
68307,1,1,3,5,696,1,1,1,NA,0
68307,2,1,2,9,697,1,1,1,NA,0
68307,1,1,1,4,699,1,1,1,NA,0
68307,1,1,3,4,701,1,1,1,NA,0
68307,2,1,1,2,703,1,1,1,NA,0
68307,1,1,3,5,704,1,1,1,NA,0
68307,1,1,3,4,710,1,1,1,NA,0
68307,2,1,3,5,716,1,1,1,NA,0
68307,2,1,3,3,721,1,1,1,NA,0
68307,1,1,2,2,722,1,1,1,NA,0
68307,2,1,2,3,726,1,1,1,NA,0
68307,1,1,2,3,728,1,1,1,NA,0
68307,1,1,3,3,731,1,1,1,NA,0
68307,2,1,2,4,732,1,1,1,NA,0
68307,1,1,3,4,734,1,1,1,NA,0
68307,1,1,2,5,735,1,1,1,NA,0
68307,1,1,3,2,738,1,1,1,NA,0
68307,1,1,2,4,741,1,1,1,NA,0
68307,1,1,3,3,742,1,1,1,NA,0
68307,2,1,3,5,743,1,1,1,NA,0
68307,2,1,3,3,744,1,1,1,NA,0
68307,1,1,3,2,746,1,1,1,NA,0
68307,2,1,3,5,748,1,1,1,NA,0
68307,2,1,3,5,751,1,1,1,NA,0
68547,2,1,2,3,1038,1,1,1,NA,0
68307,1,1,3,5,1045,1,1,1,NA,0
68547,1,1,2,4,1047,1,1,1,NA,0
68547,2,1,2,4,1054,1,1,1,NA,0
68307,1,1,3,4,1066,1,1,1,NA,0
68081,1,1,3,3,1079,1,1,1,NA,0
68307,1,1,3,3,1081,1,1,1,NA,0
68081,1,1,2,4,1087,1,1,1,NA,0
68081,1,1,3,4,1095,1,1,1,NA,0
68081,1,1,2,6,1098,1,1,1,NA,0
68081,1,1,3,2,1102,1,1,1,NA,0
68081,2,1,4,4,1106,1,1,1,NA,0
68081,1,1,3,3,1110,1,1,1,NA,0
68081,1,1,2,3,1114,1,1,1,NA,0
68081,1,1,1,4,1115,1,1,1,NA,0
68081,1,1,3,3,1118,1,1,1,NA,0
68081,1,1,3,5,1119,1,1,1,NA,0
68081,1,1,2,4,1124,1,1,1,NA,0
68081,1,1,3,2,1126,1,1,1,NA,0
68081,2,1,1,3,1129,1,1,1,NA,0
68081,1,1,3,3,1134,1,1,1,NA,0
68081,1,1,2,3,1143,1,1,1,NA,0
68081,1,1,2,8,1147,1,1,1,NA,0
68081,2,1,3,2,1150,1,1,1,NA,0
68081,2,1,4,1,1153,1,1,1,NA,0
68081,1,1,4,2,1160,1,1,1,NA,0
68081,1,1,3,3,1164,1,1,1,NA,0
68081,2,1,4,2,1169,1,1,1,NA,0
68081,1,1,1,1,1175,1,1,1,NA,0
68081,2,1,4,1,1179,1,1,1,NA,0
68081,2,1,3,4,1181,1,1,1,NA,0
68081,2,1,4,3,1186,1,1,1,NA,0
68081,1,1,2,4,1187,1,1,1,NA,0
68081,2,1,3,5,1194,1,1,1,NA,0
68081,1,1,1,2,1196,1,1,1,NA,0
68081,1,1,4,1,1198,1,1,1,NA,0
68081,1,1,3,6,1200,1,1,1,NA,0
68081,1,1,3,1,1202,1,1,1,NA,0
68081,2,1,1,3,1205,1,1,1,NA,0
68081,1,1,3,8,1210,1,1,1,NA,0
68081,2,1,1,2,1211,1,1,1,NA,0
68081,1,1,4,1,1212,1,1,1,NA,0
68547,2,1,3,5,1219,1,1,1,NA,0
68081,1,1,3,4,1221,1,1,1,NA,0
68081,1,1,1,1,1222,1,1,1,NA,0
68081,1,1,2,2,1224,1,1,1,NA,0
68081,1,1,1,2,1228,1,1,1,NA,0
68081,1,1,2,5,1229,1,1,1,NA,0
68547,1,1,3,4,1232,1,1,1,NA,0
68081,1,1,1,1,1234,1,1,1,NA,0
68081,1,1,2,3,1235,1,1,1,NA,0
68081,1,1,1,2,1236,1,1,1,NA,0
68081,1,1,2,3,1238,1,1,1,NA,0
68081,1,1,1,3,1239,1,1,1,NA,0
68081,1,1,2,2,1240,1,1,1,NA,0
68081,1,1,2,4,1241,1,1,1,NA,0
68081,1,1,1,6,1242,1,1,1,NA,0
68547,1,1,3,4,1280,1,1,1,NA,0
68081,1,1,4,4,1297,1,1,1,NA,0
68307,2,1,2,3,1301,1,1,1,NA,0
68081,2,1,4,2,1303,1,1,1,NA,0
68081,1,1,2,2,1304,1,1,1,NA,0
68081,1,1,1,1,1309,1,1,1,NA,0
68307,1,1,3,5,1323,1,1,1,NA,0
