"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"68547",1,1,3,4,30
"68547",1,1,3,4,33
"68547",3,1,2,2,43
"68547",1,1,3,6,44
"68547",1,1,3,2,45
"68547",1,1,3,2,47
"68547",1,1,3,3,54
"68547",1,1,3,3,56
"68547",1,1,3,4,58
"68547",1,1,3,6,69
"68547",1,1,3,5,73
"68547",2,1,3,1,75
"68547",1,1,3,3,86
"68547",1,1,2,3,93
"68547",1,1,3,4,94
"68547",1,1,3,6,98
"68547",2,1,2,6,111
"68547",1,1,3,4,113
"68547",2,1,2,7,190
"68547",1,1,2,3,372
"68547",2,1,3,1,494
"68547",1,1,3,4,496
"68547",1,1,2,4,510
"68547",1,1,3,4,529
"68547",2,1,2,2,535
"68547",2,1,3,2,537
"68307",2,1,1,3,542
"68547",1,1,2,3,558
"68547",1,1,3,4,561
"68547",1,1,2,2,569
"68307",1,1,1,3,571
"68547",1,1,3,1,574
"68547",2,1,2,2,582
"68547",2,1,3,3,586
"68547",2,1,2,2,590
"68547",1,1,3,2,594
"68547",1,1,2,5,597
"68547",1,1,3,4,612
"68547",2,1,2,3,613
"68547",2,1,2,4,616
"68547",1,1,3,3,618
"68547",1,1,2,2,623
"68547",2,1,2,4,624
"68547",1,1,3,1,628
"68547",2,1,2,5,631
"68547",1,1,2,7,632
"68547",2,1,3,2,635
"68547",1,1,2,5,637
"68547",1,1,2,5,640
"68547",1,1,2,4,643
"68547",1,1,3,4,646
"68547",2,1,2,4,647
"68547",2,1,2,6,648
"68547",2,1,2,4,649
"68547",1,1,2,3,651
"68547",1,1,2,9,652
"68547",1,1,2,4,653
"68547",1,1,3,10,654
"68547",1,1,2,3,655
"68547",2,1,3,6,657
"68547",2,1,2,5,658
"68547",1,1,2,7,659
"68547",2,1,3,2,660
"68547",2,1,3,2,661
"68547",2,1,3,3,662
"68547",2,1,2,2,663
"68547",2,1,3,1,664
"68547",1,1,2,1,665
"68547",1,1,3,6,666
"68547",1,1,3,4,675
"68307",1,1,3,6,676
"68547",1,1,3,5,677
"68307",1,1,3,6,678
"68547",1,1,3,4,679
"68547",1,1,3,4,680
"68307",1,1,3,3,681
"68307",1,1,3,3,682
"68547",1,1,3,4,683
"68547",1,1,3,2,685
"68307",1,1,3,6,686
"68307",2,1,2,4,687
"68307",1,1,3,2,688
"68307",2,1,2,1,690
"68307",2,1,1,3,691
"68547",2,1,3,1,694
"68307",1,1,3,5,696
"68307",2,1,2,9,697
"68307",1,1,1,4,699
"68307",1,1,3,4,701
"68307",2,1,1,2,703
"68307",1,1,3,5,704
"68307",1,1,3,4,710
"68307",2,1,3,5,716
"68307",2,1,3,3,721
"68307",1,1,2,2,722
"68307",2,1,2,3,726
"68307",1,1,2,3,728
"68307",1,1,3,3,731
"68307",2,1,2,4,732
"68307",1,1,3,4,734
"68307",1,1,2,5,735
"68307",1,1,3,2,738
"68307",1,1,2,4,741
"68307",1,1,3,3,742
"68307",2,1,3,5,743
"68307",2,1,3,3,744
"68307",1,1,3,2,746
"68307",2,1,3,5,748
"68307",2,1,3,5,751
"68547",2,1,2,3,1038
"68307",1,1,3,5,1045
"68547",1,1,2,4,1047
"68547",2,1,2,4,1054
"68307",1,1,3,4,1066
"68081",1,1,3,3,1079
"68307",1,1,3,3,1081
"68081",1,1,2,4,1087
"68081",1,1,3,4,1095
"68081",1,1,2,6,1098
"68081",1,1,3,2,1102
