"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"70215",1,1,1,3,6,1,1,1,NA,0
"70215",1,1,1,5,7,1,1,1,NA,0
"70001",1,1,3,5,210,1,1,1,NA,0
"70215",2,1,1,2,241,1,1,1,NA,0
"70215",1,1,1,4,272,1,1,1,NA,0
"70215",1,1,1,7,288,1,1,1,NA,0
"70001",1,1,3,4,308,1,1,1,NA,0
"70215",1,1,1,3,316,1,1,1,NA,0
"70001",1,1,3,2,321,1,1,1,NA,0
"70215",1,1,1,5,325,1,1,1,NA,0
"70001",1,1,3,6,331,1,1,1,NA,0
"70001",1,1,1,2,335,1,1,1,NA,0
"70215",1,1,1,5,337,1,1,1,NA,0
"70215",1,1,1,8,384,1,1,1,NA,0
"70215",1,1,1,4,407,1,1,1,NA,0
"70215",1,1,1,5,415,1,1,1,NA,0
"70001",1,1,3,5,424,1,1,1,NA,0
"70001",1,1,3,4,430,1,1,1,NA,0
"70215",1,1,1,3,433,1,1,1,NA,0
"70001",1,1,2,7,435,1,1,1,NA,0
"70215",1,1,1,4,439,1,1,1,NA,0
"70001",1,1,3,2,445,1,1,1,NA,0
"70001",1,1,3,2,450,1,1,1,NA,0
"70215",1,1,1,4,454,1,1,1,NA,0
"70001",1,1,3,2,456,1,1,1,NA,0
"70215",1,1,1,3,458,1,1,1,NA,0
"70001",1,1,3,4,464,1,1,1,NA,0
"70001",1,1,3,2,481,1,1,1,NA,0
"70215",1,1,1,4,499,1,1,1,NA,0
"70001",1,1,3,3,500,1,1,1,NA,0
"70215",2,1,1,1,516,1,1,1,NA,0
"70001",1,1,3,3,521,1,1,1,NA,0
"70215",1,1,1,4,548,1,1,1,NA,0
"70215",1,1,1,5,575,1,1,1,NA,0
"70215",1,1,1,2,1261,1,1,1,NA,0
"70215",1,1,1,4,1286,1,1,1,NA,0
"70215",2,1,1,3,1408,1,1,1,NA,0
"70215",1,1,1,2,1515,1,1,1,NA,0
"70215",1,1,1,7,1529,1,1,1,NA,0
"70215",2,1,1,4,1562,1,1,1,NA,0
"70215",1,1,1,2,1563,1,1,1,NA,0
"70215",2,1,1,5,1596,1,1,1,NA,0
"70215",1,1,1,3,1610,1,1,1,NA,0
"70215",2,1,1,3,1653,1,1,1,NA,0
"70215",1,1,2,4,1656,1,1,1,NA,0
"70215",1,1,1,3,1671,1,1,1,NA,0
"70215",1,1,2,4,1679,1,1,1,NA,0
"70215",1,1,1,4,1680,1,1,1,NA,0
"70215",1,1,1,2,1687,1,1,1,NA,0
"70215",1,1,1,2,1700,1,1,1,NA,0
"70215",1,1,2,5,1701,1,1,1,NA,0
"70215",1,1,1,5,1703,1,1,1,NA,0
"70215",1,1,2,4,1720,1,1,1,NA,0
"70215",1,1,1,4,1722,1,1,1,NA,0
"70215",2,1,2,3,1728,1,1,1,NA,0
"70215",2,1,1,7,1729,1,1,1,NA,0
"70215",1,1,2,3,1756,1,1,1,NA,0
"70215",2,1,2,2,1770,1,1,1,NA,0
"70215",1,1,1,2,1785,1,1,1,NA,0
"70001",1,1,3,5,1788,1,1,1,NA,0
"70215",1,1,1,4,1796,1,1,1,NA,0
"70215",1,1,1,7,1805,1,1,1,NA,0
"70215",1,1,2,2,1809,1,1,1,NA,0
"70001",1,1,3,3,1834,1,1,1,NA,0
"70001",2,1,1,1,1838,1,1,1,NA,0
"70001",1,1,2,5,1865,1,1,1,NA,0
"70001",2,1,3,2,1878,1,1,1,NA,0
"70215",1,1,1,2,1882,1,1,1,NA,0
"70215",1,1,1,6,1919,1,1,1,NA,0
"70215",1,1,1,2,1947,1,1,1,NA,0
"70215",1,1,2,4,2001,1,1,1,NA,0
"70215",1,1,1,4,2002,1,1,1,NA,0
"70215",1,1,1,1,2006,1,1,1,NA,0
"70215",2,1,1,6,2017,1,1,1,NA,0
"70215",1,1,1,5,2030,1,1,1,NA,0
"70215",1,1,1,2,2042,1,1,1,NA,0
"70215",1,1,2,5,2092,1,1,1,NA,0
"70215",1,1,2,4,2096,1,1,1,NA,0
"70215",1,1,2,2,2145,1,1,1,NA,0
"70215",1,1,1,3,2153,1,1,1,NA,0
"70215",2,1,1,7,2155,1,1,1,NA,0
"70215",1,1,2,3,2162,1,1,1,NA,0
"70215",2,1,2,4,2183,1,1,1,NA,0
"70215",2,1,2,2,2185,1,1,1,NA,0
"70215",1,1,1,3,2211,1,1,1,NA,0
"70215",1,1,2,6,2232,1,1,1,NA,0
"70215",1,1,1,4,2236,1,1,1,NA,0
"70215",1,1,1,4,2248,1,1,1,NA,0
"70215",1,1,1,6,2258,1,1,1,NA,0
"70215",1,1,1,4,2265,1,1,1,NA,0
"70215",1,1,1,3,2269,1,1,1,NA,0
"70215",2,1,1,3,2299,1,1,1,NA,0
"70215",2,1,1,4,2322,1,1,1,NA,0
"70215",2,1,1,5,2362,1,1,1,NA,0
"70215",2,1,1,2,2374,1,1,1,NA,0
"70215",1,1,1,7,2410,1,1,1,NA,0
"70215",1,1,1,5,2419,1,1,1,NA,0
"70215",1,1,1,4,2461,1,1,1,NA,0
"70215",1,1,1,3,2482,1,1,1,NA,0
"70215",1,1,1,3,2509,1,1,1,NA,0
"70215",1,1,1,5,2510,1,1,1,NA,0
"70215",2,1,1,3,2523,1,1,1,NA,0
"70215",1,1,1,3,2536,1,1,1,NA,0
"70215",1,1,1,7,2577,1,1,1,NA,0
"70215",1,1,1,3,2628,1,1,1,NA,0
"70215",1,1,2,4,2668,1,1,1,NA,0
"70215",1,1,2,1,3010,1,1,1,NA,0
"70215",2,1,2,3,3011,1,1,1,NA,0
"70215",1,1,1,3,3026,1,1,1,NA,0
"70215",1,1,2,3,3043,1,1,1,NA,0
"70215",1,1,1,5,3059,1,1,1,NA,0
"70215",2,1,1,4,3094,1,1,1,NA,0
"70215",1,1,1,5,3097,1,1,1,NA,0
"70215",1,1,1,4,3270,1,1,1,NA,0
"70215",1,1,1,3,3288,1,1,1,NA,0
"70215",1,1,1,6,3292,1,1,1,NA,0
"70215",1,1,1,5,3295,1,1,1,NA,0
"70215",2,1,1,4,3306,1,1,1,NA,0
"70215",1,1,1,1,3310,1,1,1,NA,0
"70215",1,1,1,3,3321,1,1,1,NA,0
"70215",1,1,1,6,3325,1,1,1,NA,0
"70215",1,1,1,3,3326,1,1,1,NA,0
"70215",1,1,1,4,3336,1,1,1,NA,0
"70215",2,1,1,1,3338,1,1,1,NA,0
"70215",1,1,1,5,3342,1,1,1,NA,0
"70215",1,1,1,6,3348,1,1,1,NA,0
"70215",1,1,1,3,3350,1,1,1,NA,0
"70215",1,1,1,4,3357,1,1,1,NA,0
"70215",1,1,1,2,3364,1,1,1,NA,0
"70215",1,1,1,4,3370,1,1,1,NA,0
"70215",1,1,1,5,3371,1,1,1,NA,0
"70215",1,1,1,8,3378,1,1,1,NA,0
"70215",2,1,1,5,3381,1,1,1,NA,0
"70215",1,1,1,4,3386,1,1,1,NA,0
"70215",1,1,1,6,3389,1,1,1,NA,0
"70215",1,1,1,3,3390,1,1,1,NA,0
"70215",1,1,1,4,3393,1,1,1,NA,0
"70215",1,1,1,3,3394,1,1,1,NA,0
"70215",1,1,1,2,3478,1,1,1,NA,0
"70215",1,1,2,4,3497,1,1,1,NA,0
"70215",1,1,1,3,3519,1,1,1,NA,0
"70215",1,1,1,4,3526,1,1,1,NA,0
"70215",1,1,1,3,3566,1,1,1,NA,0
"70215",1,1,1,2,3574,1,1,1,NA,0
"70215",1,1,1,4,3603,1,1,1,NA,0
"70215",1,1,1,4,3612,1,1,1,NA,0
"70215",1,1,1,3,3627,1,1,1,NA,0
"70215",1,1,1,3,3645,1,1,1,NA,0
"70215",1,1,1,2,3653,1,1,1,NA,0
"70215",2,1,1,4,3656,1,1,1,NA,0
"70215",1,1,1,3,3867,1,1,1,NA,0
"70215",1,1,1,4,3906,1,1,1,NA,0
"70215",1,1,1,5,3915,1,1,1,NA,0
"70215",1,1,1,5,3939,1,1,1,NA,0
"70215",2,1,1,4,3953,1,1,1,NA,0
"70215",1,1,2,6,3978,1,1,1,NA,0
"70001",1,1,2,10,4204,1,1,1,NA,0
"70001",1,1,2,4,4207,1,1,1,NA,0
"70001",1,1,2,4,4215,1,1,1,NA,0
"70001",1,1,2,3,4223,1,1,1,NA,0
"70001",2,1,2,4,4234,1,1,1,NA,0
"70001",1,1,2,4,4235,1,1,1,NA,0
"70001",2,1,1,2,4236,1,1,1,NA,0
"70001",2,1,2,4,4248,1,1,1,NA,0
"70001",1,1,2,4,4252,1,1,1,NA,0
"70001",3,1,1,4,4260,1,1,1,NA,0
"70001",1,1,2,3,4264,1,1,1,NA,0
"70001",1,1,2,7,4281,1,1,1,NA,0
"70001",2,1,1,3,4289,1,1,1,NA,0
"70001",2,1,2,3,4304,1,1,1,NA,0
"70001",2,1,1,2,4314,1,1,1,NA,0
"70001",1,1,2,4,4330,1,1,1,NA,0
"70001",2,1,1,3,4331,1,1,1,NA,0
"70001",1,1,2,4,4337,1,1,1,NA,0
"70001",1,1,2,4,4351,1,1,1,NA,0
"70001",2,1,1,5,4362,1,1,1,NA,0
"70001",1,1,2,9,4367,1,1,1,NA,0
"70001",1,1,2,5,4388,1,1,1,NA,0
"70001",1,1,1,5,4392,1,1,1,NA,0
"70001",2,1,3,4,4402,1,1,1,NA,0
"70001",1,1,2,3,4411,1,1,1,NA,0
"70001",1,1,2,1,4415,1,1,1,NA,0
"70001",1,1,2,5,4486,1,1,1,NA,0
"70001",1,1,1,6,4493,1,1,1,NA,0
"70001",1,1,1,3,4498,1,1,1,NA,0
"70001",1,1,2,2,4510,1,1,1,NA,0
"70001",1,1,1,6,4519,1,1,1,NA,0
"70001",2,1,3,2,4521,1,1,1,NA,0
"70001",1,1,3,3,4530,1,1,1,NA,0
"70001",1,1,1,5,4535,1,1,1,NA,0
"70001",1,1,3,1,4549,1,1,1,NA,0
"70001",2,1,2,6,4561,1,1,1,NA,0
"70001",1,1,1,1,4562,1,1,1,NA,0
"70001",1,1,1,3,4587,1,1,1,NA,0
"70001",1,1,3,4,4589,1,1,1,NA,0
"70001",2,1,2,1,4603,1,1,1,NA,0
"70001",2,1,2,5,4615,1,1,1,NA,0
"70001",1,1,1,5,4631,1,1,1,NA,0
"70001",2,1,3,3,4637,1,1,1,NA,0
"70001",2,1,2,5,4657,1,1,1,NA,0
"70001",1,1,2,7,4670,1,1,1,NA,0
"70001",2,1,2,4,4676,1,1,1,NA,0
"70001",2,1,2,6,4693,1,1,1,NA,0
"70001",2,1,2,2,4694,1,1,1,NA,0
"70001",1,1,2,4,4697,1,1,1,NA,0
"70001",1,1,2,2,4701,1,1,1,NA,0
"70001",2,1,2,3,4708,1,1,1,NA,0
"70001",1,1,2,4,4710,1,1,1,NA,0
"70001",1,1,2,5,4714,1,1,1,NA,0
"70001",1,1,3,6,4718,1,1,1,NA,0
"70001",1,1,2,2,4731,1,1,1,NA,0
"70001",2,1,2,4,4732,1,1,1,NA,0
"70001",1,1,2,2,4740,1,1,1,NA,0
"70001",1,1,2,6,4747,1,1,1,NA,0
"70001",1,1,2,3,4837,1,1,1,NA,0
"70001",1,1,3,3,4842,1,1,1,NA,0
"70001",2,1,2,5,4844,1,1,1,NA,0
"70001",1,1,2,4,4850,1,1,1,NA,0
"70001",1,1,2,4,4865,1,1,1,NA,0
"70001",1,1,2,3,4877,1,1,1,NA,0
"70001",1,1,3,1,4878,1,1,1,NA,0
"70001",1,1,2,6,4882,1,1,1,NA,0
"70001",1,1,2,3,4893,1,1,1,NA,0
"70001",1,1,4,4,4903,1,1,1,NA,0
"70001",1,1,2,3,4913,1,1,1,NA,0
"70001",1,1,2,4,4928,1,1,1,NA,0
"70001",2,1,3,2,4959,1,1,1,NA,0
"70001",2,1,2,3,4961,1,1,1,NA,0
"70001",2,1,3,2,5003,1,1,1,NA,0
"70001",2,1,2,3,5006,1,1,1,NA,0
"70001",1,1,2,6,5026,1,1,1,NA,0
"70001",1,1,2,4,5044,1,1,1,NA,0
"70001",2,1,2,5,5064,1,1,1,NA,0
"70001",1,1,2,5,5115,1,1,1,NA,0
"70001",1,1,2,3,5137,1,1,1,NA,0
"70001",2,1,2,3,5179,1,1,1,NA,0
"70001",1,1,2,4,5365,1,1,1,NA,0
"70001",2,1,2,4,5385,1,1,1,NA,0
"70001",2,1,3,3,5397,1,1,1,NA,0
"70001",1,1,2,4,5420,1,1,1,NA,0
"70001",1,1,3,2,5451,1,1,1,NA,0
"70001",2,1,2,4,5497,1,1,1,NA,0
"70001",1,1,2,4,5519,1,1,1,NA,0
"70001",1,1,2,5,5529,1,1,1,NA,0
"70001",1,1,1,6,5556,1,1,1,NA,0
"70001",1,1,2,3,5604,1,1,1,NA,0
"70001",1,1,1,6,5615,1,1,1,NA,0
"70001",1,1,3,3,5617,1,1,1,NA,0
"70001",1,1,1,4,5626,1,1,1,NA,0
"70001",1,1,2,2,5630,1,1,1,NA,0
