"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","K_01_A","K_01_B","K_01_C","K_01_D","K_02","K_03","K_04","K_05","K_06","K_07","K_08","K_09","K_09_VALOR","K_09_TEXTO","K_10_A","K_10_B","K_10_C","K_10_D","K_10_E","K_10_F","K_10_G","K_10_H","K_10_I","K_11","K_11_A","K_11_B","K_11_E","K_12_A","K_12_B","K_12_C","K_12_D","K_12_E","K_12_F","K_12_G","K_12_H","K_12_I","K_12_J","K_12_K","K_12_L","K_12_M","K_12_N","K_12_O","ORDEN.y"
477,"73001",2,1,3,4,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
982,"73001",2,1,2,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1142,"73001",2,1,2,4,NA,1,NA,NA,3,1,4,1,5,5000,4,1,1000,"MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,3
1830,"73001",1,1,2,5,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1963,"73001",2,1,2,3,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2552,"73001",2,1,2,8,1,NA,NA,NA,3,1,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3
2677,"73268",1,1,1,3,1,1,1,NA,3,1,5,1,30,98,30,1,2000,"DOS MIL PESOS",NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,3
2700,"73268",1,1,2,5,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
4175,"73001",1,1,3,5,1,NA,NA,NA,3,1,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
6438,"73001",1,1,2,2,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
6447,"73001",2,1,3,5,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6449,"73001",1,1,2,6,NA,1,NA,NA,3,1,5,1,30,30000,30,1,1000,"MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,4
6488,"73001",2,1,2,3,NA,NA,1,NA,3,1,4,1,4,20000,4,1,5000,"CINCO MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6678,"73001",2,1,2,3,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
6768,"73001",1,1,1,8,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8900,"73001",2,1,2,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9085,"73001",2,1,2,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9602,"73001",1,1,2,1,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9870,"73001",2,1,1,5,NA,1,NA,NA,3,1,5,1,30,140000,60,1,2000,"DOS MIL PESOS",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,4
12005,"73001",1,1,3,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
12107,"73001",1,1,1,3,NA,1,NA,NA,3,1,3,1,5,10000,5,1,2000,"DOS MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,3
12152,"73001",2,1,3,2,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
