"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"73001",2,1,3,3,259,1,1,1,NA,0
"73001",2,1,2,1,260,1,1,1,NA,0
"73001",1,1,3,5,262,1,1,1,NA,0
"73001",2,1,3,4,268,1,1,1,NA,0
"73001",1,1,3,2,278,1,1,1,NA,0
"73001",2,1,3,3,292,1,1,1,NA,0
"73001",1,1,3,3,297,1,1,1,NA,0
"73001",2,1,2,5,298,1,1,1,NA,0
"73001",2,1,3,1,309,1,1,1,NA,0
"73001",1,1,3,4,327,1,1,1,NA,0
"73001",2,1,3,4,353,1,1,1,NA,0
"73001",1,1,3,3,419,1,1,1,NA,0
"73001",1,1,3,2,425,1,1,1,NA,0
"73001",2,1,4,2,444,1,1,1,NA,0
"73001",2,1,3,4,477,1,1,1,NA,0
"73001",1,1,3,4,865,1,1,1,NA,0
"73001",1,1,2,9,873,1,1,1,NA,0
"73001",1,1,3,3,881,1,1,1,NA,0
"73001",2,1,1,1,884,1,1,1,NA,0
"73001",1,1,3,4,888,1,1,1,NA,0
"73001",1,1,2,4,896,1,1,1,NA,0
"73001",1,1,2,3,898,1,1,1,NA,0
"73001",2,1,2,1,906,1,1,1,NA,0
"73001",2,1,3,3,909,1,1,1,NA,0
"73001",2,1,2,4,911,1,1,1,NA,0
"73001",2,1,2,4,921,1,1,1,NA,0
"73001",1,1,2,4,923,1,1,1,NA,0
"73001",1,1,3,3,926,1,1,1,NA,0
"73001",2,1,2,3,936,1,1,1,NA,0
"73001",2,1,2,1,937,1,1,1,NA,0
"73001",2,1,2,5,940,1,1,1,NA,0
"73001",1,1,2,5,942,1,1,1,NA,0
"73001",2,1,2,6,948,1,1,1,NA,0
"73001",2,1,2,2,950,1,1,1,NA,0
"73001",2,1,2,2,955,1,1,1,NA,0
"73001",1,1,2,4,956,1,1,1,NA,0
"73001",2,1,3,3,960,1,1,1,NA,0
"73001",1,1,2,1,964,1,1,1,NA,0
"73001",2,1,2,3,966,1,1,1,NA,0
"73001",1,1,2,4,969,1,1,1,NA,0
"73001",1,1,2,2,970,1,1,1,NA,0
"73001",2,1,2,3,978,1,1,1,NA,0
"73001",1,1,2,4,981,1,1,1,NA,0
"73001",2,1,2,4,982,1,1,1,NA,0
"73001",2,1,2,2,984,1,1,1,NA,0
"73001",1,1,2,4,986,1,1,1,NA,0
"73001",2,1,2,4,996,1,1,1,NA,0
"73001",1,1,2,4,997,1,1,1,NA,0
"73001",2,1,2,4,1002,1,1,1,NA,0
"73001",2,1,2,4,1011,1,1,1,NA,0
"73001",2,1,2,2,1017,1,1,1,NA,0
"73001",2,1,2,4,1021,1,1,1,NA,0
"73001",1,1,2,3,1026,1,1,1,NA,0
"73001",2,1,2,3,1036,1,1,1,NA,0
"73001",2,1,2,3,1059,1,1,1,NA,0
"73001",2,1,2,4,1083,1,1,1,NA,0
"73001",2,1,2,5,1107,1,1,1,NA,0
"73001",2,1,2,4,1142,1,1,1,NA,0
"73001",1,1,2,3,1190,1,1,1,NA,0
"73001",1,1,2,6,1233,1,1,1,NA,0
"73001",2,1,2,3,1500,1,1,1,NA,0
"73001",2,1,2,3,1542,1,1,1,NA,0
"73001",2,1,2,3,1577,1,1,1,NA,0
"73001",2,1,2,3,1758,1,1,1,NA,0
"73001",2,1,3,1,1786,1,1,1,NA,0
"73001",2,1,2,2,1791,1,1,1,NA,0
"73001",1,1,2,3,1793,1,1,1,NA,0
"73001",2,1,2,3,1800,1,1,1,NA,0
"73001",1,1,3,3,1810,1,1,1,NA,0
"73001",2,1,3,2,1826,1,1,1,NA,0
"73001",1,1,2,5,1830,1,1,1,NA,0
"73001",1,1,3,4,1840,1,1,1,NA,0
"73001",2,1,2,3,1891,1,1,1,NA,0
"73001",2,1,2,3,1932,1,1,1,NA,0
"73001",2,1,2,3,1963,1,1,1,NA,0
"73001",1,1,2,3,1995,1,1,1,NA,0
"73001",2,1,2,2,2010,1,1,1,NA,0
"73001",1,1,2,3,2028,1,1,1,NA,0
"73001",2,1,2,2,2069,1,1,1,NA,0
"73001",1,1,2,4,2111,1,1,1,NA,0
"73001",2,1,2,8,2552,1,1,1,NA,0
"73268",1,1,1,4,2556,1,1,1,NA,0
"73001",1,1,2,2,2568,1,1,1,NA,0
"73268",1,1,1,2,2574,1,1,1,NA,0
"73001",1,1,2,2,2575,1,1,1,NA,0
"73001",1,1,2,2,2587,1,1,1,NA,0
"73268",1,1,2,2,2593,1,1,1,NA,0
"73001",1,1,2,1,2602,1,1,1,NA,0
"73268",1,1,1,2,2614,1,1,1,NA,0
"73268",1,1,2,2,2618,1,1,1,NA,0
"73268",1,1,2,4,2619,1,1,1,NA,0
"73268",1,1,2,4,2637,1,1,1,NA,0
"73268",1,1,2,2,2643,1,1,1,NA,0
"73268",1,1,1,5,2648,1,1,1,NA,0
"73268",2,1,2,8,2652,1,1,1,NA,0
"73268",2,1,2,5,2671,1,1,1,NA,0
"73268",2,1,2,4,2672,1,1,1,NA,0
"73268",1,1,1,3,2677,1,1,1,NA,0
"73268",2,1,2,4,2687,1,1,1,NA,0
"73268",1,1,2,1,2689,1,1,1,NA,0
"73268",1,1,2,5,2700,1,1,1,NA,0
"73268",1,1,2,5,2704,1,1,1,NA,0
"73268",1,1,1,4,2720,1,1,1,NA,0
"73001",1,1,3,4,2775,1,1,1,NA,0
"73001",1,1,3,4,2776,1,1,1,NA,0
"73001",1,1,3,2,2777,1,1,1,NA,0
"73268",1,1,3,1,3044,1,1,1,NA,0
"73268",1,1,3,2,3065,1,1,1,NA,0
"73268",1,1,3,2,3090,1,1,1,NA,0
"73268",1,1,1,4,3196,1,1,1,NA,0
"73268",1,1,1,2,3219,1,1,1,NA,0
"73268",1,1,2,4,3789,1,1,1,NA,0
"73268",1,1,2,1,3822,1,1,1,NA,0
"73268",2,1,2,8,3857,1,1,1,NA,0
"73268",1,1,2,5,4000,1,1,1,NA,0
"73268",1,1,2,4,4031,1,1,1,NA,0
"73268",1,1,2,4,4059,1,1,1,NA,0
"73268",1,1,2,6,4096,1,1,1,NA,0
"73001",1,1,3,2,4138,1,1,1,NA,0
"73001",1,1,3,2,4173,1,1,1,NA,0
"73001",1,1,3,5,4175,1,1,1,NA,0
"73001",1,1,3,1,4190,1,1,1,NA,0
"73268",1,1,2,1,4497,1,1,1,NA,0
"73268",1,1,2,3,4511,1,1,1,NA,0
"73268",1,1,2,2,4512,1,1,1,NA,0
"73268",1,1,2,2,4525,1,1,1,NA,0
"73268",2,1,2,5,4548,1,1,1,NA,0
"73268",2,1,3,4,4557,1,1,1,NA,0
"73268",1,1,2,2,4567,1,1,1,NA,0
"73268",2,1,3,1,4586,1,1,1,NA,0
"73268",1,1,2,3,4588,1,1,1,NA,0
