"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"76364",2,1,3,7,420,1,1,1,NA,0
"76364",1,1,3,3,431,1,1,1,NA,0
"76364",2,1,2,3,434,1,1,1,NA,0
"76364",1,1,3,3,436,1,1,1,NA,0
"76364",2,1,3,1,473,1,1,1,NA,0
"76364",2,1,2,2,484,1,1,1,NA,0
"76364",1,1,3,4,488,1,1,1,NA,0
"76364",1,1,3,1,491,1,1,1,NA,0
"76364",2,1,3,3,519,1,1,1,NA,0
"76364",1,1,3,2,523,1,1,1,NA,0
"76364",2,1,2,4,533,1,1,1,NA,0
"76364",1,1,3,3,543,1,1,1,NA,0
"76364",1,1,3,3,551,1,1,1,NA,0
"76364",1,1,3,3,553,1,1,1,NA,0
"76364",2,1,3,2,562,1,1,1,NA,0
"76364",1,1,3,3,579,1,1,1,NA,0
"76364",2,1,3,3,584,1,1,1,NA,0
"76364",1,1,3,5,589,1,1,1,NA,0
"76364",2,1,3,3,602,1,1,1,NA,0
"76364",2,1,2,5,1035,1,1,1,NA,0
"76364",2,1,3,3,1075,1,1,1,NA,0
"76364",1,1,2,5,1080,1,1,1,NA,0
"76364",2,1,2,4,1120,1,1,1,NA,0
"76364",1,1,3,1,1128,1,1,1,NA,0
"76364",1,1,2,3,1148,1,1,1,NA,0
"76364",1,1,2,3,1197,1,1,1,NA,0
"76364",2,1,2,4,1291,1,1,1,NA,0
"76364",2,1,2,6,1321,1,1,1,NA,0
"76364",1,1,2,2,1344,1,1,1,NA,0
"76001",1,1,1,4,1406,1,1,1,NA,0
"76001",1,1,2,5,1407,1,1,1,NA,0
"76001",1,1,2,5,1412,1,1,1,NA,0
"76001",1,1,2,5,1432,1,1,1,NA,0
"76001",2,1,2,4,1499,1,1,1,NA,0
"76001",1,1,2,4,1506,1,1,1,NA,0
"76001",1,1,2,5,1522,1,1,1,NA,0
"76001",1,1,2,4,1528,1,1,1,NA,0
"76001",1,1,1,3,1535,1,1,1,NA,0
"76001",2,1,2,4,1544,1,1,1,NA,0
"76001",1,1,1,2,1567,1,1,1,NA,0
"76001",1,1,2,3,1587,1,1,1,NA,0
"76001",1,1,2,2,1619,1,1,1,NA,0
"76001",1,1,2,3,1625,1,1,1,NA,0
"76001",1,1,2,3,1642,1,1,1,NA,0
"76001",1,1,2,4,1667,1,1,1,NA,0
"76001",1,1,2,2,1719,1,1,1,NA,0
"76001",1,1,2,2,1730,1,1,1,NA,0
"76001",1,1,2,3,1872,1,1,1,NA,0
"76364",2,1,2,4,1873,1,1,1,NA,0
"76001",1,1,2,3,1874,1,1,1,NA,0
"76001",2,1,2,5,1893,1,1,1,NA,0
"76001",1,1,2,2,1910,1,1,1,NA,0
"76001",1,1,2,5,1937,1,1,1,NA,0
"76001",2,1,3,5,1965,1,1,1,NA,0
"76001",1,1,2,3,1977,1,1,1,NA,0
"76001",2,1,2,4,1992,1,1,1,NA,0
"76001",1,1,3,5,1994,1,1,1,NA,0
"76001",1,1,2,2,2033,1,1,1,NA,0
"76001",2,1,2,3,2040,1,1,1,NA,0
"76001",2,1,3,3,2059,1,1,1,NA,0
"76001",2,1,3,6,2064,1,1,1,NA,0
"76001",1,1,2,3,2101,1,1,1,NA,0
"76001",2,1,3,3,2103,1,1,1,NA,0
"76001",2,1,2,4,2109,1,1,1,NA,0
"76001",1,1,2,5,2138,1,1,1,NA,0
"76001",2,1,2,3,2140,1,1,1,NA,0
"76001",2,1,3,2,2141,1,1,1,NA,0
"76001",1,1,3,4,2169,1,1,1,NA,0
"76001",2,1,3,2,2172,1,1,1,NA,0
"76001",2,1,2,4,2173,1,1,1,NA,0
"76001",2,1,2,4,2174,1,1,1,NA,0
"76001",1,1,2,2,2178,1,1,1,NA,0
"76001",2,1,3,2,2192,1,1,1,NA,0
"76001",2,1,3,5,2205,1,1,1,NA,0
"76001",1,1,3,6,2213,1,1,1,NA,0
"76364",2,1,2,5,2279,1,1,1,NA,0
"76001",2,1,3,5,2302,1,1,1,NA,0
"76001",2,1,3,2,2329,1,1,1,NA,0
"76001",1,1,3,2,2330,1,1,1,NA,0
"76001",2,1,2,4,2360,1,1,1,NA,0
"76001",2,1,3,3,2388,1,1,1,NA,0
"76001",2,1,3,3,2392,1,1,1,NA,0
"76001",2,1,3,4,2435,1,1,1,NA,0
"76001",2,1,3,3,2441,1,1,1,NA,0
"76001",1,1,3,2,2444,1,1,1,NA,0
"76364",2,1,2,3,2445,1,1,1,NA,0
"76001",2,1,2,2,2458,1,1,1,NA,0
"76001",1,1,3,4,2476,1,1,1,NA,0
"76001",2,1,3,3,2488,1,1,1,NA,0
"76001",2,1,2,2,2551,1,1,1,NA,0
"76001",2,1,3,2,2559,1,1,1,NA,0
"76001",2,1,3,2,2569,1,1,1,NA,0
"76001",1,1,3,3,2571,1,1,1,NA,0
"76001",2,1,2,3,2584,1,1,1,NA,0
"76001",1,1,3,2,2588,1,1,1,NA,0
"76001",2,1,3,2,2598,1,1,1,NA,0
"76001",1,1,3,4,2605,1,1,1,NA,0
"76001",2,1,2,5,2616,1,1,1,NA,0
"76001",2,1,3,3,2676,1,1,1,NA,0
"76001",1,1,3,6,2709,1,1,1,NA,0
"76001",2,1,3,5,2971,1,1,1,NA,0
"76001",2,1,3,3,3017,1,1,1,NA,0
"76364",2,1,3,4,3067,1,1,1,NA,0
"76001",2,1,3,3,3089,1,1,1,NA,0
"76001",2,1,3,2,3136,1,1,1,NA,0
"76001",1,1,2,3,3137,1,1,1,NA,0
"76364",2,1,2,2,3152,1,1,1,NA,0
"76001",2,1,3,4,3153,1,1,1,NA,0
"76001",1,1,2,3,3157,1,1,1,NA,0
"76364",2,1,2,3,3162,1,1,1,NA,0
"76364",2,1,3,1,3167,1,1,1,NA,0
"76364",2,1,2,3,3174,1,1,1,NA,0
"76364",1,1,3,2,3180,1,1,1,NA,0
"76275",2,1,1,3,3214,1,1,1,NA,0
"76001",1,1,1,3,3231,1,1,1,NA,0
"76001",2,1,2,2,3239,1,1,1,NA,0
"76109",1,1,1,3,3253,1,1,1,NA,0
"76275",2,1,1,2,3254,1,1,1,NA,0
"76001",2,1,3,4,3258,1,1,1,NA,0
"76001",1,1,2,3,3263,1,1,1,NA,0
"76109",1,1,1,5,3269,1,1,1,NA,0
"76275",1,1,1,10,3281,1,1,1,NA,0
"76001",1,1,2,5,3300,1,1,1,NA,0
"76109",1,1,1,9,3301,1,1,1,NA,0
"76275",2,1,1,3,3316,1,1,1,NA,0
"76001",2,1,2,1,3332,1,1,1,NA,0
"76275",2,1,1,5,3339,1,1,1,NA,0
"76364",1,1,2,3,3421,1,1,1,NA,0
"76109",1,1,1,4,3468,1,1,1,NA,0
"76364",2,1,2,3,3472,1,1,1,NA,0
"76001",1,1,2,6,3476,1,1,1,NA,0
"76364",2,1,3,3,3506,1,1,1,NA,0
"76109",1,1,1,4,3511,1,1,1,NA,0
"76364",2,1,3,2,3536,1,1,1,NA,0
"76001",1,1,2,3,3539,1,1,1,NA,0
"76001",2,1,2,2,3585,1,1,1,NA,0
"76109",2,1,2,6,3615,1,1,1,NA,0
"76001",2,1,2,3,3620,1,1,1,NA,0
"76001",1,1,2,2,3648,1,1,1,NA,0
"76275",1,1,1,4,3675,1,1,1,NA,0
"76001",2,1,2,3,3676,1,1,1,NA,0
"76001",1,1,2,4,3698,1,1,1,NA,0
"76001",2,1,2,3,3703,1,1,1,NA,0
"76109",2,1,2,2,3726,1,1,1,NA,0
"76001",1,1,5,4,3735,1,1,1,NA,0
"76001",2,1,2,3,3737,1,1,1,NA,0
"76275",2,1,1,2,3828,1,1,1,NA,0
"76109",2,1,3,4,3836,1,1,1,NA,0
"76001",2,1,2,3,3840,1,1,1,NA,0
"76109",1,1,1,5,3876,1,1,1,NA,0
"76001",1,1,3,3,3877,1,1,1,NA,0
"76001",2,1,2,6,3897,1,1,1,NA,0
"76001",2,1,3,5,3938,1,1,1,NA,0
"76001",1,1,2,2,3988,1,1,1,NA,0
"76001",2,1,3,6,4016,1,1,1,NA,0
"76364",1,1,2,2,4018,1,1,1,NA,0
"76001",1,1,2,6,4041,1,1,1,NA,0
"76364",1,1,2,1,4043,1,1,1,NA,0
"76001",1,1,3,2,4063,1,1,1,NA,0
"76001",2,1,3,3,4089,1,1,1,NA,0
"76364",1,1,2,8,4097,1,1,1,NA,0
"76001",1,1,2,8,4105,1,1,1,NA,0
"76109",2,1,1,1,4200,1,1,1,NA,0
"76001",2,1,2,3,4202,1,1,1,NA,0
"76001",1,1,3,3,4203,1,1,1,NA,0
"76001",2,1,3,3,4226,1,1,1,NA,0
"76001",2,1,2,2,4227,1,1,1,NA,0
"76001",1,1,3,3,4267,1,1,1,NA,0
"76001",2,1,2,4,4279,1,1,1,NA,0
"76001",1,1,2,3,4282,1,1,1,NA,0
"76109",1,1,1,6,4283,1,1,1,NA,0
"76001",2,1,2,2,4284,1,1,1,NA,0
"76109",1,1,2,2,4287,1,1,1,NA,0
"76001",2,1,2,7,4299,1,1,1,NA,0
"76001",2,1,3,2,4312,1,1,1,NA,0
"76001",1,1,2,4,4316,1,1,1,NA,0
"76109",2,1,2,4,4327,1,1,1,NA,0
"76001",2,1,2,3,4344,1,1,1,NA,0
"76001",1,1,2,2,4358,1,1,1,NA,0
"76001",1,1,3,6,4361,1,1,1,NA,0
"76109",1,1,2,3,4368,1,1,1,NA,0
"76275",1,1,2,3,4378,1,1,1,NA,0
"76001",1,1,3,4,4400,1,1,1,NA,0
"76275",2,1,2,5,4422,1,1,1,NA,0
"76001",1,1,2,5,4427,1,1,1,NA,0
"76275",2,1,2,3,4439,1,1,1,NA,0
"76275",1,1,2,3,4449,1,1,1,NA,0
"76001",2,1,2,3,4462,1,1,1,NA,0
"76275",1,1,2,2,4467,1,1,1,NA,0
"76109",2,1,2,4,4476,1,1,1,NA,0
"76109",2,1,2,6,4483,1,1,1,NA,0
"76275",2,1,2,2,4528,1,1,1,NA,0
"76109",2,1,1,8,4536,1,1,1,NA,0
"76001",1,1,2,4,4555,1,1,1,NA,0
"76109",1,1,1,2,4574,1,1,1,NA,0
"76001",2,1,3,2,4577,1,1,1,NA,0
"76275",2,1,2,4,4591,1,1,1,NA,0
"76001",1,1,2,4,4597,1,1,1,NA,0
"76275",1,1,2,9,4622,1,1,1,NA,0
"76275",1,1,2,4,4629,1,1,1,NA,0
"76001",2,1,3,4,4632,1,1,1,NA,0
"76109",1,1,1,3,4635,1,1,1,NA,0
"76109",1,1,1,2,4660,1,1,1,NA,0
"76275",2,1,2,1,4662,1,1,1,NA,0
"76275",1,1,2,3,4765,1,1,1,NA,0
"76275",2,1,2,2,4768,1,1,1,NA,0
"76275",2,1,2,2,4775,1,1,1,NA,0
"76001",1,1,3,5,4888,1,1,1,NA,0
"76109",2,1,3,2,4972,1,1,1,NA,0
"76001",1,1,3,4,4976,1,1,1,NA,0
"76001",2,1,3,1,5020,1,1,1,NA,0
"76109",2,1,3,1,5029,1,1,1,NA,0
"76001",1,1,3,3,5069,1,1,1,NA,0
"76275",2,1,2,2,5075,1,1,1,NA,0
"76275",1,1,3,4,5101,1,1,1,NA,0
"76275",1,1,2,3,5145,1,1,1,NA,0
"76001",2,1,3,3,5155,1,1,1,NA,0
"76275",1,1,2,5,5318,1,1,1,NA,0
"76275",1,1,3,4,5359,1,1,1,NA,0
"76275",2,1,1,2,5438,1,1,1,NA,0
"76275",2,1,3,4,5445,1,1,1,NA,0
"76275",2,1,1,3,5477,1,1,1,NA,0
"76563",1,1,2,5,5487,1,1,1,NA,0
"76275",1,1,1,1,5511,1,1,1,NA,0
"76275",2,1,2,2,5518,1,1,1,NA,0
"76563",1,1,2,5,5526,1,1,1,NA,0
"76275",1,1,2,4,5535,1,1,1,NA,0
"76563",1,1,2,5,5542,1,1,1,NA,0
"76563",1,1,2,3,5558,1,1,1,NA,0
"76563",1,1,2,4,5580,1,1,1,NA,0
"76563",1,1,2,4,5595,1,1,1,NA,0
"76563",1,1,2,6,5608,1,1,1,NA,0
"76563",2,1,1,2,5662,1,1,1,NA,0
"76563",2,1,1,3,5671,1,1,1,NA,0
"76563",1,1,1,4,5711,1,1,1,NA,0
"76563",1,1,1,4,5747,1,1,1,NA,0
"76001",2,1,2,2,5751,1,1,1,NA,0
"76563",2,1,2,2,5765,1,1,1,NA,0
"76563",2,1,2,3,5780,1,1,1,NA,0
"76563",3,1,1,3,5792,1,1,1,NA,0
"76563",1,1,3,3,5802,1,1,1,NA,0
"76001",2,1,2,4,5814,1,1,1,NA,0
