"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"97001",1,1,1,4,18061,1,1,1,NA,0
"97001",1,1,1,5,18083,1,1,1,NA,0
"97001",1,1,1,8,21022,1,1,1,NA,0
"97001",2,1,1,3,21277,1,1,1,NA,0
"97001",1,1,1,4,21348,1,1,1,NA,0
"97001",1,1,1,5,21359,1,1,1,NA,0
"97001",1,1,1,3,21670,1,1,1,NA,0
"97001",1,1,1,2,21713,1,1,1,NA,0
"97001",1,1,1,4,21773,1,1,1,NA,0
"97001",1,1,1,2,21789,1,1,1,NA,0
"97001",1,1,2,3,21830,1,1,1,NA,0
"97001",3,1,1,1,21895,1,1,1,NA,0
"97001",1,1,1,9,21896,1,1,1,NA,0
"97001",1,1,1,5,22036,1,1,1,NA,0
"97001",1,1,1,4,22042,1,1,1,NA,0
"97001",1,1,1,3,22096,1,1,1,NA,0
"97001",1,1,1,5,22116,1,1,1,NA,0
"97001",1,1,1,6,22138,1,1,1,NA,0
"97001",1,1,1,3,22296,1,1,1,NA,0
"97001",1,1,1,3,22301,1,1,1,NA,0
"97001",1,1,1,3,22335,1,1,1,NA,0
"97001",1,1,1,7,22339,1,1,1,NA,0
"97001",1,1,1,4,22384,1,1,1,NA,0
"97001",1,1,1,4,22426,1,1,1,NA,0
"97001",1,1,1,1,22465,1,1,1,NA,0
"97001",1,1,1,9,22508,1,1,1,NA,0
"97001",1,1,1,1,22599,1,1,1,NA,0
"97001",1,1,1,6,22737,1,1,1,NA,0
"97001",2,1,1,4,22875,1,1,1,NA,0
"97001",1,1,1,2,22944,1,1,1,NA,0
"97001",3,1,1,1,23423,1,1,1,NA,0
"97001",1,1,1,1,23462,1,1,1,NA,0
"97001",1,1,1,3,23489,1,1,1,NA,0
"97001",1,1,1,3,23522,1,1,1,NA,0
"97001",1,1,1,1,23570,1,1,1,NA,0
"97001",3,1,1,1,23588,1,1,1,NA,0
"97001",2,1,1,4,23615,1,1,1,NA,0
"97001",3,1,1,1,23638,1,1,1,NA,0
"97001",2,1,1,3,23678,1,1,1,NA,0
"97001",2,1,1,1,23711,1,1,1,NA,0
"97001",1,1,1,4,23753,1,1,1,NA,0
"97001",3,1,1,1,23790,1,1,1,NA,0
"97001",2,1,1,1,23798,1,1,1,NA,0
"97001",3,1,1,1,23853,1,1,1,NA,0
"97001",1,1,1,8,23855,1,1,1,NA,0
"97001",3,1,1,1,23873,1,1,1,NA,0
"97001",3,1,1,4,23878,1,1,1,NA,0
"97001",1,1,1,10,23887,1,1,1,NA,0
"97001",3,1,1,3,23892,1,1,1,NA,0
"97001",2,1,1,3,23895,1,1,1,NA,0
"97001",1,1,1,4,23903,1,1,1,NA,0
"97001",1,1,1,3,23915,1,1,1,NA,0
"97001",2,1,1,4,23917,1,1,1,NA,0
"97001",1,1,1,1,23991,1,1,1,NA,0
"97001",3,1,1,3,24015,1,1,1,NA,0
"97001",3,1,1,2,24066,1,1,1,NA,0
"97001",3,1,1,1,24118,1,1,1,NA,0
"97001",1,1,1,1,24191,1,1,1,NA,0
"97001",1,1,1,6,24282,1,1,1,NA,0
"97001",1,1,1,7,24465,1,1,1,NA,0
"97001",1,1,1,2,24584,1,1,1,NA,0
"97001",1,1,1,6,24683,1,1,1,NA,0
"97001",1,1,1,5,25022,1,1,1,NA,0
"97001",1,1,1,1,25113,1,1,1,NA,0
"97001",1,1,1,4,25150,1,1,1,NA,0
"97001",1,1,1,2,25209,1,1,1,NA,0
"97001",1,1,1,4,25267,1,1,1,NA,0
"97001",2,1,1,3,25280,1,1,1,NA,0
"97001",1,1,1,5,25304,1,1,1,NA,0
"97001",1,1,1,6,25330,1,1,1,NA,0
"97001",1,1,1,3,25350,1,1,1,NA,0
"97001",1,1,2,3,25352,1,1,1,NA,0
"97001",1,1,1,2,25354,1,1,1,NA,0
"97001",2,1,1,4,25355,1,1,1,NA,0
"97001",3,1,1,4,25362,1,1,1,NA,0
"97001",3,1,1,1,25363,1,1,1,NA,0
"97001",1,1,1,3,25367,1,1,1,NA,0
"97001",3,1,1,2,25368,1,1,1,NA,0
"97001",1,1,1,2,25371,1,1,1,NA,0
"97001",1,1,1,2,25373,1,1,1,NA,0
"97001",1,1,1,5,25377,1,1,1,NA,0
"97001",2,1,2,1,25381,1,1,1,NA,0
"97001",1,1,1,1,25382,1,1,1,NA,0
"97001",3,1,1,1,25384,1,1,1,NA,0
"97001",1,1,1,1,25447,1,1,1,NA,0
"97001",1,1,1,4,25452,1,1,1,NA,0
"97001",1,1,1,1,25454,1,1,1,NA,0
"97001",3,1,1,1,25459,1,1,1,NA,0
"97001",1,1,1,1,25461,1,1,1,NA,0
"97001",3,1,1,1,25466,1,1,1,NA,0
"97001",1,1,1,1,25478,1,1,1,NA,0
"97001",3,1,2,2,25479,1,1,1,NA,0
"97001",3,1,1,1,25489,1,1,1,NA,0
"97001",3,1,2,1,25498,1,1,1,NA,0
"97001",3,1,1,1,25504,1,1,1,NA,0
"97001",3,1,1,1,25522,1,1,1,NA,0
"97001",3,1,1,1,25524,1,1,1,NA,0
"97001",3,1,1,1,25539,1,1,1,NA,0
"97001",3,1,2,1,25553,1,1,1,NA,0
"97001",1,1,1,1,25564,1,1,1,NA,0
"97001",3,1,1,1,25582,1,1,1,NA,0
"97001",2,1,1,2,25590,1,1,1,NA,0
"97001",3,1,1,1,25603,1,1,1,NA,0
"97001",2,1,1,1,25608,1,1,1,NA,0
"97001",2,1,1,2,25634,1,1,1,NA,0
"97001",2,1,1,1,25638,1,1,1,NA,0
"97001",2,1,1,5,25662,1,1,1,NA,0
"97001",2,1,1,4,25663,1,1,1,NA,0
"97001",2,1,1,1,25686,1,1,1,NA,0
"97001",2,1,1,1,25699,1,1,1,NA,0
"97001",2,1,1,2,25708,1,1,1,NA,0
"97001",2,1,1,1,25732,1,1,1,NA,0
"97001",1,1,1,4,25854,1,1,1,NA,0
"97001",3,1,1,1,25857,1,1,1,NA,0
"97001",1,1,1,1,25870,1,1,1,NA,0
"97001",2,1,1,1,25882,1,1,1,NA,0
"97001",2,1,1,2,25892,1,1,1,NA,0
"97001",2,1,1,1,25908,1,1,1,NA,0
"97001",1,1,1,3,25909,1,1,1,NA,0
"97001",2,1,1,1,25925,1,1,1,NA,0
"97001",3,1,1,1,25930,1,1,1,NA,0
"97001",1,1,1,4,25932,1,1,1,NA,0
"97001",3,1,1,1,25941,1,1,1,NA,0
"97001",3,1,1,1,25945,1,1,1,NA,0
"97001",3,1,1,1,25948,1,1,1,NA,0
"97001",3,1,1,1,25949,1,1,1,NA,0
"97001",3,1,1,1,25956,1,1,1,NA,0
"97001",3,1,1,2,25960,1,1,1,NA,0
"97001",1,1,1,7,25964,1,1,1,NA,0
"97001",1,1,1,2,25970,1,1,1,NA,0
"97001",2,1,1,1,25971,1,1,1,NA,0
"97001",1,1,1,2,25976,1,1,1,NA,0
"97001",2,1,1,6,25980,1,1,1,NA,0
"97001",2,1,1,2,25985,1,1,1,NA,0
"97001",2,1,1,3,25990,1,1,1,NA,0
"97001",2,1,1,4,25995,1,1,1,NA,0
"97001",1,1,1,2,26075,1,1,1,NA,0
"97001",1,1,1,5,26076,1,1,1,NA,0
"97001",2,1,2,2,26078,1,1,1,NA,0
"97001",2,1,1,3,26081,1,1,1,NA,0
"97001",2,1,1,1,26083,1,1,1,NA,0
