"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC"
"99001",3,1,2,2,10610,1,1,1,NA,0
"99001",4,1,1,5,12030,1,1,1,NA,0
"99001",4,2,NA,4,12134,1,1,1,NA,0
"99001",1,1,1,2,12212,1,1,1,NA,0
"99001",1,1,1,3,12216,1,1,1,NA,0
"99001",2,1,1,2,12226,1,1,1,NA,0
"99001",1,1,1,4,13711,1,1,1,NA,0
"99001",1,1,1,1,13968,1,1,1,NA,0
"99001",1,1,1,8,14567,1,1,1,NA,0
"99001",1,1,1,6,14852,1,1,1,NA,0
"99001",1,1,1,4,14898,1,1,1,NA,0
"99001",1,1,1,2,14968,1,1,1,NA,0
"99001",1,1,2,3,15030,1,1,1,NA,0
"99001",1,1,1,1,15141,1,1,1,NA,0
"99001",1,1,1,9,15640,1,1,1,NA,0
"99001",4,2,NA,3,15651,1,1,1,NA,0
"99001",1,1,1,8,15684,1,1,1,NA,0
"99001",1,1,2,3,15706,1,1,1,NA,0
"99001",1,1,1,1,15800,1,1,1,NA,0
"99001",4,1,8,4,15808,1,1,1,NA,0
"99001",1,1,1,5,15814,1,1,1,NA,0
"99001",1,1,1,4,15820,1,1,1,NA,0
"99001",1,1,1,3,15822,1,1,1,NA,0
"99001",1,1,1,3,15826,1,1,1,NA,0
"99001",1,1,1,1,15831,1,1,1,NA,0
"99001",1,1,1,4,18632,1,1,1,NA,0
"99001",1,1,1,4,18991,1,1,1,NA,0
"99001",1,1,1,4,19039,1,1,1,NA,0
"99001",1,1,1,1,19077,1,1,1,NA,0
"99001",1,1,1,4,19113,1,1,1,NA,0
"99001",1,1,1,9,19322,1,1,1,NA,0
"99001",1,1,1,6,19352,1,1,1,NA,0
"99001",1,1,1,3,19378,1,1,1,NA,0
"99001",1,1,2,3,19408,1,1,1,NA,0
"99001",4,1,1,3,19425,1,1,1,NA,0
"99001",4,1,1,1,19467,1,1,1,NA,0
"99001",1,1,1,8,19508,1,1,1,NA,0
"99001",2,1,1,8,19510,1,1,1,NA,0
"99001",1,1,1,5,20172,1,1,1,NA,0
"99001",4,1,1,3,20275,1,1,1,NA,0
"99001",1,1,1,6,20934,1,1,1,NA,0
"99001",1,1,1,4,20943,1,1,1,NA,0
"99001",1,1,1,2,20951,1,1,1,NA,0
"99001",1,1,1,3,21041,1,1,1,NA,1
