"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","K_01_A","K_01_B","K_01_C","K_01_D","K_02","K_03","K_04","K_05","K_06","K_07","K_08","K_09","K_09_VALOR","K_09_TEXTO","K_10_C","K_10_D","K_10_E","K_10_F","K_10_H","K_11","K_11_A","K_11_B","K_12_A","K_12_B","K_12_C","K_12_D","K_12_E","K_12_F","K_12_G","K_12_H","K_12_I","K_12_J","K_12_K","K_12_L","K_12_M","K_12_N","K_12_O","D_01","D_02","D_08","D_12_B","D_12_C","D2_05","D2_06","D2_07","D2_01","SEXO","EDAD","PARENTESCO"
535,68547,2,1,2,2,NA,1,NA,NA,3,1,4,1,3,17000,3,1,12000,"DOCE MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,2,4,1,2,9,2,23,1
624,68547,2,1,2,4,1,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,6,3,2,9,2,37,1
721,68307,2,1,3,3,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,7,1,1,9,1,47,1
1102,68081,1,1,3,2,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,2,9,2,65,7
1124,68081,1,1,2,4,NA,1,NA,NA,3,1,5,1,29,80000,2,1,2000,"DOS MIL PESOS",1,1,1,NA,NA,1,1,NA,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,4,1,1,5,1,1,9,1,38,2
1129,68081,2,1,1,3,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,3,1,2,9,2,58,2
1147,68081,1,1,2,8,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,2,4,1,2,9,2,23,3
1181,68081,2,1,3,4,1,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,1,1,3,1,1,5,1,65,1
1198,68081,1,1,4,1,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,2,8,1,1,9,1,49,1
1232,68547,1,1,3,4,1,NA,NA,NA,3,1,1,2,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,6,1,1,9,1,20,3
1236,68081,1,1,1,2,1,1,1,NA,3,1,5,1,30,50000,3,1,2000,"DOS MIL PESOS",1,1,1,NA,NA,2,NA,NA,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,3,4,1,1,4,1,1,9,1,26,5
2201,68307,2,1,1,3,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,2,5,2,1,1,1,31,1
2218,68307,1,1,3,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,6,1,1,9,1,24,5
2338,68276,1,1,2,5,1,1,NA,NA,3,1,9,1,5,98,3,1,2000,"DOS MIL PESOS",NA,NA,NA,NA,1,2,NA,NA,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,4,4,1,2,5,3,2,9,2,19,5
5520,68276,1,1,3,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,4,1,1,9,1,39,3
5557,68276,1,1,2,5,1,1,NA,NA,3,1,2,1,1,5000,1,1,5000,"CINCO MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,1,1,6,1,1,9,1,30,3
5737,68276,2,1,2,4,NA,1,NA,NA,3,1,4,1,5,10000,4,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,1,1,NA,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,4,1,1,6,1,1,9,1,18,3
5801,68081,1,1,3,2,NA,1,NA,NA,3,1,4,1,15,50000,15,1,2000,"DOS MIL PESOS",NA,1,1,NA,NA,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,3,1,1,7,1,1,9,1,39,1
5875,68276,2,1,3,5,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,2,5,1,2,9,2,30,2
5876,68081,1,1,2,1,1,1,1,NA,3,1,4,1,22,35000,15,1,3000,"TRES MIL PESOS",NA,1,NA,NA,NA,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,4,1,1,5,1,1,9,1,22,1
6291,68276,2,1,2,1,1,NA,NA,NA,3,1,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,1,1,7,2,1,1,1,22,1
7973,68081,1,1,2,1,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,2,3,1,1,9,1,62,1
8194,68276,1,1,2,2,NA,1,NA,NA,3,1,5,1,20,50000,40,1,2000,"DOS MIL PESOS",NA,1,NA,NA,NA,1,1,NA,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,3,1,1,9,1,43,1
8247,68081,1,1,2,6,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,1,5,1,2,9,2,18,8
8860,68081,1,1,1,5,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,3,1,1,9,1,49,1
