"D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","DIRECTORIO"
9,3,2,7,706,1,2,1
1,4,4,1,100,1,2,2
9,2,1,5,511,1,1,3
9,6,0,5,511,1,2,4
9,5,2,4,409,1,2,6
5,2,1,6,602,1,1,7
9,2,2,8,802,1,2,8
9,6,0,7,704,1,2,11
9,2,0,6,602,1,1,12
9,6,0,4,407,1,1,13
9,6,0,4,409,NA,NA,14
9,2,2,6,602,1,1,15
1,3,1,7,702,1,2,16
9,2,2,3,305,1,1,17
1,2,5,3,305,1,2,18
9,6,0,5,511,1,1,19
9,5,2,5,511,1,2,20
9,1,0,6,602,1,1,21
9,6,0,6,604,1,1,22
9,6,0,5,511,1,2,23
9,5,3,3,305,1,2,24
9,6,3,5,511,1,2,25
9,1,2,4,401,1,2,26
9,4,1,3,305,1,2,27
9,6,3,4,407,1,2,28
5,2,1,6,606,1,1,29
9,6,1,7,705,1,2,30
9,3,3,3,305,1,1,31
9,6,0,6,602,1,1,32
9,4,6,3,301,1,2,33
5,1,0,6,601,1,2,34
5,1,0,3,305,1,1,35
5,4,3,3,305,1,2,36
9,3,1,6,604,1,2,37
5,6,0,4,409,1,1,38
5,5,2,3,305,3,2,39
9,3,2,3,305,1,2,40
1,1,0,6,601,1,2,41
9,5,0,7,705,1,1,42
9,3,1,7,710,1,2,43
9,2,3,7,705,1,2,44
9,3,1,5,511,1,1,45
9,5,0,5,511,1,2,46
9,5,2,5,511,1,2,47
9,6,0,8,806,1,1,48
9,2,2,6,602,1,2,49
5,2,3,6,602,1,2,50
5,6,0,6,602,1,1,51
9,1,1,6,601,1,1,53
9,3,1,6,602,1,2,54
9,5,3,5,511,1,2,55
9,3,5,5,511,1,1,56
5,6,0,7,704,1,1,57
9,6,0,4,408,NA,NA,58
9,5,1,6,604,1,2,59
9,6,0,4,407,NA,NA,60
5,3,3,7,710,1,2,62
9,6,5,3,302,1,2,63
9,3,2,3,303,1,1,64
1,5,4,4,400,1,2,66
9,6,0,6,601,1,1,67
9,3,1,4,408,1,2,69
9,6,0,4,409,NA,NA,70
9,5,0,7,700,1,2,71
9,5,1,6,604,1,2,72
9,2,3,5,511,1,2,73
9,6,1,5,510,1,1,74
9,6,5,3,303,1,2,75
1,5,3,5,513,1,2,76
9,1,9,3,304,1,2,77
9,5,3,4,400,1,2,78
9,6,1,7,703,1,2,79
9,3,1,5,510,1,1,80
9,2,4,4,403,1,2,81
1,5,4,4,408,1,2,82
1,2,2,3,305,1,2,83
1,4,3,3,300,1,2,84
9,2,4,4,409,1,1,85
9,2,2,5,511,1,1,86
9,6,1,6,606,1,2,88
9,2,2,5,511,1,1,89
9,4,4,3,302,1,2,90
9,4,3,7,705,1,2,91
9,1,1,4,404,1,1,92
9,3,3,3,302,1,2,93
5,6,0,4,407,NA,NA,94
5,5,2,5,511,1,2,95
9,6,0,4,407,NA,NA,96
9,6,1,8,804,1,2,97
9,2,2,6,602,1,2,98
9,5,1,5,510,1,2,99
9,2,4,3,305,1,2,100
5,3,3,4,408,1,2,101
9,6,3,3,305,1,2,103
5,3,2,5,510,1,1,105
9,2,1,4,407,1,1,106
9,6,2,3,303,1,2,107
9,6,0,5,511,NA,NA,109
9,3,1,8,801,1,2,110
9,6,2,4,406,1,1,111
9,3,2,6,603,1,1,112
9,2,2,6,602,1,2,113
9,2,2,6,604,1,2,114
9,2,2,7,705,1,2,115
5,2,2,5,511,1,2,116
9,6,0,6,602,1,1,117
5,2,1,6,602,1,1,118
9,6,0,7,700,1,1,119
9,5,2,6,600,1,2,120
5,2,2,5,510,1,1,121
9,5,2,5,511,1,1,122
9,2,3,4,409,1,2,123
9,6,0,4,407,NA,NA,124
5,5,1,5,510,1,1,125
5,2,0,5,511,1,2,126
9,2,1,5,511,1,1,127
5,3,1,5,511,1,1,128
9,3,2,5,511,1,1,129
9,1,2,6,600,1,2,130
9,4,3,5,511,1,2,131
9,2,0,5,510,1,1,132
9,6,0,7,700,1,2,133
9,2,2,5,511,1,2,134
9,2,3,3,305,1,1,135
5,2,2,5,510,1,2,136
9,3,2,6,600,1,1,137
9,5,2,7,705,1,2,138
9,6,0,7,702,1,2,139
9,6,0,7,702,3,2,140
9,3,3,5,511,1,2,141
5,6,2,7,705,1,2,142
9,2,3,4,400,1,1,144
9,6,0,6,602,1,1,146
9,3,1,8,802,1,1,147
9,2,0,7,705,1,1,148
9,1,1,6,600,1,2,149
9,1,2,5,511,1,1,150
5,6,7,3,305,1,1,151
4,3,4,3,300,1,1,152
9,2,2,5,513,1,2,153
9,6,1,8,801,1,2,154
9,6,0,3,305,NA,NA,155
9,2,1,5,511,1,1,156
9,3,2,8,805,1,2,157
5,6,0,5,511,1,1,158
9,6,0,3,300,NA,NA,159
9,6,0,7,703,1,1,160
9,3,1,7,704,1,2,161
9,4,5,5,510,1,2,162
9,6,0,7,705,1,1,163
9,2,2,5,511,1,1,164
5,6,0,5,510,NA,NA,165
9,6,0,7,706,1,2,166
9,6,2,6,602,1,1,167
9,3,0,8,801,1,2,168
9,6,0,8,803,1,1,170
9,2,1,6,602,1,2,172
9,3,2,8,801,1,1,173
9,6,3,4,404,1,2,174
9,3,2,4,400,1,1,175
5,6,1,7,702,1,2,176
1,2,3,5,510,1,2,177
1,3,3,5,510,1,2,178
9,3,6,7,705,1,1,179
1,3,1,6,600,1,2,180
9,2,3,6,600,1,1,181
5,6,0,7,705,1,1,182
9,3,2,4,406,1,2,183
9,6,0,5,510,NA,NA,184
9,3,1,7,705,1,2,185
5,3,3,3,300,1,2,186
9,5,2,6,602,1,2,187
9,2,4,6,600,1,2,188
9,2,3,3,300,1,2,189
9,6,0,6,601,1,2,190
9,6,0,4,409,1,1,191
9,2,1,5,511,1,1,192
9,6,0,3,305,NA,NA,194
9,2,6,4,407,1,1,195
9,2,0,8,802,1,2,196
9,6,0,8,802,1,1,197
9,2,0,7,707,1,1,198
9,6,0,4,400,NA,NA,199
5,4,2,4,404,1,2,201
1,1,4,3,305,1,2,202
9,3,3,6,602,1,2,204
9,3,2,5,511,1,2,205
9,3,2,6,602,1,2,206
9,6,0,4,406,NA,NA,207
1,2,1,5,510,1,1,209
9,5,2,5,511,1,2,210
9,3,6,3,305,1,1,211
5,3,2,5,513,1,2,212
5,3,4,6,602,1,2,213
9,2,2,5,511,1,2,214
9,3,2,3,305,1,2,215
9,6,0,5,511,1,1,216
9,6,0,6,601,1,2,217
5,3,0,5,510,1,2,218
9,5,1,7,705,1,2,219
9,6,0,4,408,1,1,220
9,3,2,7,705,1,2,221
9,3,3,7,707,1,2,222
9,3,2,8,802,1,2,223
9,6,2,4,406,1,2,224
9,3,6,5,512,1,2,225
9,6,0,7,700,1,2,226
9,6,0,7,703,1,2,227
9,6,5,5,511,1,2,228
9,6,0,4,409,1,2,229
9,3,4,6,602,1,2,230
5,6,1,7,705,1,1,231
9,3,3,4,409,1,2,232
9,3,3,5,511,1,2,233
9,5,1,6,600,1,2,234
9,6,0,8,801,1,2,235
9,3,4,4,409,1,2,236
1,2,2,7,705,1,1,237
9,6,0,7,702,1,1,238
9,6,0,5,511,1,1,239
1,6,2,5,511,1,1,241
9,3,1,7,705,1,2,242
9,2,3,5,510,1,1,243
9,1,1,4,409,1,2,245
