"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"44001",1,1,1,4,263
"44001",1,1,1,3,286
"44001",1,1,2,4,319
"44001",1,1,1,2,320
"44001",2,1,2,3,365
"44001",1,1,1,7,410
"44001",1,1,1,4,412
"44001",1,1,1,7,418
"44001",1,1,1,4,429
"44001",1,1,1,4,442
"44001",1,1,1,3,462
"44001",1,1,1,4,490
"44001",1,1,1,3,492
"44001",1,1,1,9,513
"44001",1,1,1,4,892
"44001",1,1,1,3,913
"44001",1,1,1,1,939
"44001",1,1,1,2,965
"44001",2,1,1,1,988
"44001",2,1,1,4,1006
"44001",1,1,1,3,1007
"44001",1,1,1,2,1009
"44001",1,1,1,3,1012
"44001",1,1,1,4,1014
"44001",1,1,1,5,1018
"44001",1,1,1,3,1020
"44001",1,1,1,3,1024
"44001",1,1,1,7,1028
"44001",1,1,1,4,1037
"44001",1,1,3,4,1040
"44001",1,1,1,3,1046
"44001",1,1,1,6,1053
"44001",1,1,1,3,1057
"44001",1,1,1,4,1064
"44001",1,1,1,9,1069
"44001",1,1,1,3,1077
"44001",1,1,3,3,1090
"44001",1,1,1,5,1092
"44001",1,1,1,4,1096
"44001",1,1,2,2,1117
"44001",1,1,3,3,1121
"44001",1,1,1,2,1133
"44001",1,1,3,3,1151
"44001",1,1,1,4,1312
"44001",1,1,1,3,1329
"44001",2,1,1,2,1454
"44001",1,1,1,3,1456
"44001",1,1,3,4,1471
"44001",1,1,1,4,1480
"44001",1,1,1,4,1493
"44001",1,1,3,3,1502
"44001",1,1,2,4,1505
"44001",1,1,2,9,1525
"44001",1,1,1,4,1536
"44001",2,1,1,7,1550
"44001",1,1,1,3,1591
"44001",1,1,1,2,1615
"44001",2,1,1,4,1618
"44001",1,1,1,4,1633
"44001",1,1,1,5,1651
"44001",2,1,1,5,1659
"44001",2,1,1,1,1690
"44001",1,1,2,4,1694
"44001",1,1,1,5,1760
"44001",1,1,1,3,1779
"44001",1,1,1,7,1780
"44001",2,1,1,5,1799
"44001",1,1,1,5,1818
"44001",1,1,3,1,1819
"44001",1,1,2,9,1855
"44001",1,1,1,2,1858
"44001",1,1,1,3,1884
"44001",1,1,1,2,1913
"44001",2,1,1,5,1931
"44001",1,1,2,4,1943
"44001",1,1,1,4,1957
