"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"41001",1,1,2,3,1503
"41001",1,1,2,2,1748
"41001",1,1,3,3,1762
"41001",1,1,3,4,1806
"41001",1,1,1,2,1928
"41001",1,1,3,3,1975
"41001",1,1,3,3,2018
"41001",1,1,3,5,2060
"41001",1,1,2,4,2090
"41001",1,1,2,7,2194
"41001",1,1,2,2,2253
"41001",1,1,1,5,2254
"41001",1,1,2,2,2261
"41001",1,1,2,2,2472
"41001",1,1,1,2,2493
"41001",1,1,2,2,2546
"41001",1,1,2,5,2579
"41001",1,1,2,2,2722
"41001",2,1,2,2,2750
"41001",1,1,2,4,2761
"41001",1,1,2,2,2937
"41001",1,1,2,5,2968
"41001",1,1,2,4,3003
"41001",1,1,2,2,3008
"41001",2,1,2,2,3050
"41001",2,1,2,4,3069
"41001",2,1,2,3,3086
"41001",1,1,2,2,3095
"41001",1,1,2,2,3109
"41001",2,1,2,1,3126
"41001",1,1,2,5,3138
"41001",2,1,3,1,3149
"41001",1,1,2,2,3193
"41001",1,1,2,2,3204
"41001",1,1,2,2,3218
"41001",2,1,2,1,3235
"41001",1,1,2,2,3246
"41001",1,1,2,2,3256
"41001",2,1,2,1,3305
"41001",1,1,2,4,3319
"41001",1,1,2,2,3331
"41001",1,1,2,3,3340
"41001",1,1,2,2,3355
"41001",1,1,2,2,3361
"41001",3,1,2,1,3374
"41001",1,1,2,3,3384
"41001",1,1,2,2,3434
"41001",2,1,2,3,3445
"41001",2,1,2,1,3481
"41001",2,1,2,1,3503
"41001",2,1,2,1,3523
"41001",2,1,2,2,3567
"41551",1,1,3,3,3875
"41551",2,1,3,2,3894
"41551",2,1,3,3,3933
"41551",1,1,3,2,3983
"41551",2,1,3,3,4017
"41001",1,1,1,5,4069
"41001",2,1,2,4,4080
"41001",2,1,2,2,4120
"41001",2,1,2,2,4137
"41551",1,1,2,4,4212
"41551",1,1,2,4,4242
"41551",1,1,2,2,4274
