"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"47189",1,1,2,9,76
"47001",2,1,3,5,91
"47189",1,1,2,4,114
"47001",1,1,3,9,134
"47189",1,1,1,2,136
"47001",1,1,3,1,158
"47001",1,1,3,5,183
"47189",1,1,3,6,184
"47189",1,1,1,4,186
"47189",1,1,1,2,189
"47001",2,1,3,4,192
"47189",1,1,3,2,198
"47001",2,1,3,5,204
"47189",2,1,2,4,212
"47001",2,1,3,5,217
"47001",1,1,1,3,220
"47189",1,1,3,5,222
"47001",1,1,3,9,227
"47001",1,1,1,4,236
"47001",1,1,3,6,239
"47001",1,1,1,5,243
"47001",1,1,1,3,254
"47001",1,1,3,6,255
"47001",1,1,3,7,258
"47001",2,1,3,4,265
"47001",1,1,1,2,271
"47001",1,1,3,4,275
"47001",1,1,1,4,361
"47001",2,1,1,2,377
"47001",2,1,3,5,408
"47001",2,1,1,7,422
"47001",2,1,1,3,427
"47001",1,1,1,6,453
"47001",1,1,3,2,467
"47001",1,1,1,2,482
"47001",1,1,3,3,502
"47001",2,1,1,3,511
"47001",2,1,1,4,905
"47001",2,1,1,1,925
"47001",1,1,1,2,941
"47189",1,1,3,7,1034
"47189",2,1,3,5,1072
"47189",1,1,3,1,1144
"47189",1,1,2,4,1260
"47189",1,1,3,6,1275
"47189",1,1,2,9,1287
"47189",1,1,2,5,1318
"47189",1,1,3,3,1332
"47189",1,1,3,3,1353
"47189",1,1,2,9,1356
"47189",1,1,3,4,1362
"47189",1,1,2,4,1378
"47189",2,1,3,3,1395
"47189",2,1,2,9,1405
"47189",1,1,2,4,1418
"47189",1,1,2,4,1436
"47189",1,1,2,7,1463
"47189",1,1,2,3,1474
"47189",1,1,2,4,1488
"47189",1,1,3,1,1489
"47189",2,1,2,3,1517
"47189",1,1,4,3,1526
"47189",1,1,1,2,1589
"47001",1,1,1,4,1606
"47001",2,1,3,5,1628
"47189",1,1,1,8,1644
"47001",2,1,1,4,1662
"47001",1,1,3,4,1670
"47189",1,1,1,5,1757
"47001",2,1,1,3,1759
"47001",1,1,2,4,1764
"47001",2,1,2,4,1766
"47001",1,1,1,6,1772
"47189",1,1,1,3,1776
"47001",1,1,2,5,1782
"47001",1,1,1,4,1783
"47001",2,1,2,4,1790
"47001",1,1,1,5,1801
"47189",1,1,1,5,1803
"47001",1,1,2,4,1817
"47189",1,1,1,3,1823
"47001",1,1,1,6,1828
"47001",1,1,2,5,1853
"47001",1,1,2,4,1862
"47001",1,1,1,4,1863
"47001",1,1,1,3,1879
"47001",2,1,2,4,1885
"47189",1,1,1,4,1892
"47001",1,1,2,8,1897
"47001",2,1,1,4,1914
"47189",1,1,1,2,1924
"47001",1,1,2,4,1933
"47001",2,1,9,3,1954
"47001",1,1,2,4,2053
"47001",2,1,2,5,2118
"47189",2,1,1,6,2132
"47001",2,1,2,5,2147
"47001",1,1,2,2,2150
"47001",2,1,2,2,2196
"47001",1,1,2,4,2197
"47189",1,1,1,1,2212
"47001",1,1,2,3,2219
"47001",2,1,2,2,2242
"47001",2,1,2,3,2249
"47001",2,1,3,3,2375
"47189",2,1,1,5,2380
"47189",1,1,1,6,2520
"47189",2,1,1,7,2570
"47189",2,1,1,4,2617
"47189",1,1,1,6,2654
"47189",1,1,1,4,2707
"47189",1,1,2,2,2956
"47189",1,1,1,8,2964
"47189",1,1,3,3,2978
"47189",2,1,3,4,3024
"47189",2,1,2,2,3025
"47189",2,1,1,5,3052
"47189",2,1,3,2,3056
"47189",2,1,3,2,3107
"47189",2,1,1,4,3110
"47189",1,1,2,7,3199
"47189",2,1,3,4,3200
"47001",1,1,1,12,3206
"47189",1,1,2,6,3244
"47189",1,1,3,1,3247
"47189",2,1,1,2,3274
"47189",1,1,2,6,3279
"47001",2,1,8,1,3284
"47189",1,1,2,5,3304
"47189",2,1,2,3,3309
"47001",2,1,1,4,3318
"47189",1,1,2,5,3341
"47189",2,1,2,3,3351
"47001",1,1,9,4,3360
"47189",2,1,2,4,3439
"47001",2,1,1,4,3459
"47189",2,1,2,1,3486
"47189",1,1,2,5,3508
"47189",2,1,2,5,3600
"47189",1,1,2,1,3766
"47189",1,1,2,4,3798
"47189",2,1,2,4,3850
"47189",2,1,2,3,3921
"47189",2,1,2,5,4009
"47189",1,1,3,4,4039
"47189",1,1,2,3,4060
"47189",1,1,2,2,4067
"47189",1,1,2,3,4092
"47189",2,1,2,4,4104
"47189",2,1,2,4,4121
"47189",1,1,1,3,4268
"47189",2,1,2,5,4276
"47189",1,1,2,3,4290
"47189",1,1,1,2,4319
"47189",1,1,2,2,4335
"47189",2,1,2,7,4336
"47189",1,1,1,4,4352
"47189",1,1,1,6,4377
"47189",1,1,1,4,4390
"47189",1,1,1,4,4481
"47189",1,1,1,1,4502
"47189",1,1,2,5,4509
"47189",1,1,1,6,4520
"47189",2,1,2,4,4544
"47189",2,1,2,9,4571
"47189",1,1,1,4,4583
"47189",2,1,1,3,4598
"47189",1,1,2,7,4611
"47189",1,1,1,4,4636
"47189",1,1,1,6,4646
"47189",1,1,1,5,4678
"47189",1,1,2,3,4683
"47189",1,1,1,6,4699
"47189",1,1,1,7,4704
"47189",2,1,2,4,4725
"47189",1,1,1,11,4730
"47189",1,1,1,5,4835
"47189",1,1,1,4,4863
"47189",2,1,1,3,4869
"47189",1,1,1,6,4892
"47189",1,1,1,2,4910
"47189",1,1,1,3,4962
"47189",1,1,1,3,4974
"47189",1,1,1,10,4990
"47189",1,1,1,4,5024
"47189",1,1,1,4,5213
"47189",1,1,1,4,5376
"47189",1,1,1,1,5394
"47189",1,1,1,4,5481
"47189",1,1,1,2,5493
"47001",1,1,2,4,5533
"47189",1,1,2,5,5534
"47189",1,1,1,2,5550
"47001",2,1,2,3,5566
"47189",1,1,1,4,5568
"47001",1,1,1,6,5588
"47189",1,1,3,3,5685
"47189",2,1,3,3,5727
"47001",1,1,2,5,5733
"47001",1,1,3,4,5813
"47001",2,1,3,2,5816
"47001",1,1,3,5,5839
"47001",2,1,3,3,5856
"47001",1,1,3,3,5865
"47001",1,1,3,5,5896
"47001",2,1,3,7,5912
"47001",1,1,3,3,5929
"47001",2,1,3,3,5972
"47001",2,1,3,5,5993
"47001",1,1,3,3,6028
"47001",1,1,3,3,6063
"47189",1,1,1,3,6660
"47001",2,1,3,1,6694
"47189",2,1,1,2,6707
"47001",2,1,3,4,6764
"47001",2,1,3,4,6860
"47189",2,1,1,11,6872
"47001",1,1,3,5,7016
"47189",1,1,1,4,7030
"47189",2,1,1,7,7062
"47001",2,1,3,1,7140
"47189",2,1,1,6,7155
"47001",1,1,3,4,7164
"47189",1,1,1,5,7196
"47001",2,1,3,4,7430
"47001",1,1,3,6,7454
"47001",2,1,3,3,7459
"47189",2,1,3,3,7469
"47001",2,1,1,4,7529
"47001",1,1,3,3,7676
"47001",1,1,3,11,7681
"47001",1,1,1,4,7688
"47001",1,1,3,3,7716
"47001",1,1,3,6,7741
"47001",1,1,3,3,7813
"47001",1,1,3,2,7860
"47001",1,1,3,2,7898
"47001",1,1,3,2,7907
"47001",1,1,3,6,8109
"47001",1,1,3,4,8152
"47001",1,1,3,3,8183
"47001",2,1,3,5,8226
"47189",1,1,3,4,8228
"47189",1,1,1,8,8877
"47001",2,1,4,2,8883
"47001",2,1,4,1,8931
"47001",1,1,4,2,8959
"47189",1,1,1,3,8972
"47001",1,1,4,5,8974
"47189",1,1,2,4,9046
"47189",2,1,2,4,9082
"47001",2,1,4,2,9093
"47189",1,1,1,7,9248
"47001",2,1,4,1,9327
"47189",2,1,2,3,9330
"47001",1,1,4,4,9408
"47001",1,1,1,3,9858
"47288",1,1,1,5,9889
"47288",2,1,2,2,9892
"47288",1,1,1,2,9911
"47288",2,1,2,7,9942
"47288",1,1,1,5,9948
"47288",1,1,1,2,9983
"47288",1,1,1,5,10107
"47288",2,1,1,5,10109
"47288",1,1,1,3,10136
"47288",1,1,2,6,10137
"47288",1,1,1,4,10157
"47288",1,1,1,6,10175
"47288",2,1,1,3,10190
"47001",1,1,4,2,10200
