"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"52001",1,1,1,4,64
"52001",3,1,1,4,82
"52001",3,1,1,4,89
"52001",1,1,1,3,107
"52001",1,1,1,4,112
"52001",2,1,1,4,121
"52001",2,1,2,2,233
"52001",3,1,4,2,336
"52001",2,1,4,4,352
"52001",1,1,1,4,358
"52001",2,1,4,2,367
"52001",1,1,2,7,374
"52001",2,1,2,5,378
"52001",2,1,2,3,380
"52001",2,1,2,2,394
"52001",1,1,2,2,397
"52001",2,1,2,6,398
"52001",2,1,2,2,402
"52001",1,1,2,5,468
"52001",2,1,2,3,469
"52001",2,1,2,3,485
"52001",1,1,2,4,514
"52001",1,1,2,3,515
"52001",2,1,2,4,530
"52001",2,1,2,3,538
"52001",2,1,2,2,547
"52001",2,1,4,2,552
"52001",1,1,2,4,555
"52001",1,1,2,3,568
"52001",2,1,4,3,577
"52001",3,1,4,1,578
"52001",1,1,2,4,580
"52001",2,1,4,2,587
"52001",1,1,2,7,689
"52001",1,1,2,4,695
"52001",2,1,2,2,700
"52001",2,1,2,4,702
"52001",2,1,2,2,705
"52001",2,1,1,6,708
"52001",1,1,2,4,709
"52001",2,1,2,3,712
"52001",1,1,2,1,715
"52001",1,1,2,4,717
"52001",2,1,1,4,720
"52001",1,1,1,4,723
"52001",2,1,1,4,724
"52001",2,1,1,6,725
"52001",1,1,2,5,727
"52001",2,1,2,2,729
"52001",2,1,2,2,730
"52001",1,1,1,4,733
"52001",2,1,2,2,736
"52001",2,1,1,3,737
"52001",1,1,1,3,740
"52001",2,1,1,3,815
"52001",3,1,4,2,817
"52001",2,1,2,3,819
"52001",2,1,2,1,822
"52001",2,1,2,5,824
"52001",2,1,2,3,825
"52001",2,1,1,3,828
"52001",2,1,2,6,829
"52001",2,1,1,3,833
"52001",1,1,2,3,835
"52001",2,1,1,4,837
"52001",2,1,2,5,838
"52001",1,1,1,7,841
"52001",2,1,1,3,842
"52001",1,1,4,3,843
"52001",1,1,2,3,844
"52001",2,1,2,7,847
"52001",1,1,2,6,848
"52001",1,1,1,3,851
"52001",2,1,2,4,854
"52001",2,1,2,5,856
"52001",1,1,1,7,857
"52001",2,1,1,4,858
"52001",2,1,2,2,859
"52001",1,1,1,1,1264
"52001",2,1,3,4,1315
"52001",2,1,2,4,1331
"52001",2,1,2,2,1348
"52001",1,1,2,3,1394
"52001",2,1,2,7,1424
"52001",2,1,2,8,1439
"52001",2,1,2,6,1447
"52001",2,1,2,2,1457
"52001",1,1,2,2,1464
"52001",1,1,2,4,1470
"52001",1,1,2,3,1478
"52001",2,1,2,2,1484
"52001",3,1,2,3,1546
"52001",2,1,2,2,1565
"52001",3,1,2,3,1578
"52001",3,1,2,1,1602
"52001",3,1,2,3,1629
"52001",2,1,2,1,1649
"52001",2,1,2,5,1668
"52356",2,1,1,2,1683
"52001",1,1,2,2,1688
"52001",2,1,2,2,1705
"52001",2,1,2,2,1709
"52001",3,1,2,2,1717
"52001",2,1,2,4,1841
"52001",2,1,2,4,1861
"52001",2,1,2,4,1880
"52001",3,1,2,1,1922
"52356",2,1,1,2,1935
"52356",2,1,1,2,1961
"52001",2,1,1,3,2085
"52001",2,1,3,1,2123
"52001",2,1,2,3,2168
"52001",2,1,2,2,2207
"52001",1,1,2,2,2224
"52001",1,1,2,5,2225
"52001",2,1,2,2,2271
"52001",2,1,2,4,2275
"52001",2,1,2,2,2283
"52001",2,1,2,5,2309
"52001",2,1,2,4,2324
"52001",1,1,2,2,2342
"52001",2,1,2,4,2351
"52001",2,1,2,6,2354
"52001",2,1,2,3,2372
"52001",2,1,2,4,2386
"52001",2,1,2,3,2402
"52001",2,1,2,4,2415
"52001",2,1,2,5,2428
"52001",2,1,2,7,2439
"52001",2,1,2,3,2446
"52001",1,1,2,4,2467
"52001",2,1,2,2,2479
"52001",2,1,2,3,2487
"52356",2,1,1,5,2606
"52001",1,1,2,4,2627
"52001",1,1,2,5,2662
"52001",1,1,2,4,2680
"52001",1,1,2,4,2694
"52001",2,1,2,1,2706
"52001",2,1,2,5,2718
"52001",1,1,2,3,2729
"52001",1,1,2,3,2730
"52001",2,1,2,5,2736
"52001",1,1,2,1,2741
"52001",1,1,2,4,2747
"52001",2,1,2,2,2933
"52001",1,1,2,2,2936
"52001",2,1,2,1,2938
"52001",2,1,2,2,2941
"52001",2,1,2,3,2943
"52001",2,1,2,2,2944
"52001",2,1,2,4,2949
"52001",2,1,2,2,2951
"52001",2,1,2,3,2955
"52001",1,1,2,4,2963
"52001",2,1,2,1,2970
"52001",1,1,2,3,2980
"52001",2,1,2,3,2985
"52001",2,1,2,3,2988
"52001",2,1,2,2,2995
"52001",2,1,3,3,3002
"52001",2,1,2,6,3004
"52001",1,1,2,5,3013
"52001",1,1,2,1,3029
"52001",2,1,2,4,3047
"52001",2,1,2,3,3060
"52001",2,1,2,1,3064
"52001",1,1,2,3,3072
"52001",2,1,2,2,3079
"52001",2,1,2,4,3091
"52001",3,1,3,3,3133
"52001",2,1,2,2,3237
"52001",1,1,2,4,3268
"52001",2,1,2,4,3291
"52001",1,1,4,2,3307
"52001",3,1,3,1,3599
"52001",3,1,3,2,3621
"52001",3,1,3,1,3654
"52356",2,1,1,2,3914
"52001",1,1,2,5,3920
"52356",2,1,1,2,3943
"52001",2,1,2,4,3962
"52356",2,1,1,3,3979
"52001",1,1,2,1,3989
"52001",2,1,2,2,4004
"52001",2,1,2,4,4025
"52001",1,1,2,2,4036
"52001",1,1,2,3,4047
"52001",1,1,3,3,4072
"52001",1,1,3,2,4091
"52001",1,1,3,4,4115
"52001",1,1,3,3,4125
"52001",1,1,3,8,4135
"52001",1,1,3,1,4144
"52356",2,1,1,3,4180
"52356",2,1,1,3,4187
"52001",1,1,3,2,4269
"52001",1,1,1,4,4308
"52001",1,1,1,6,4317
"52001",1,1,1,1,4329
"52001",1,1,1,4,4343
"52001",1,1,1,6,4359
"52001",2,1,1,4,4365
"52356",1,1,3,2,4396
"52001",3,1,1,4,4404
"52356",1,1,2,1,4496
"52001",3,1,1,2,4504
"52001",1,1,1,8,4522
"52001",1,1,2,1,4542
"52356",1,1,2,2,4551
"52001",2,1,2,3,4553
"52001",1,1,2,2,4560
"52356",1,1,2,2,4576
"52356",2,1,2,3,4584
"52356",2,1,2,5,4599
"52356",2,1,2,2,4600
"52356",1,1,2,1,4612
"52356",1,1,2,4,4624
"52356",1,1,2,3,4642
"52001",3,1,1,5,4719
"52001",3,1,1,2,4736
"52001",1,1,4,2,4830
"52001",1,1,4,4,4832
"52001",1,1,4,5,4838
"52001",1,1,3,4,4855
"52001",3,1,3,1,4871
"52001",3,1,3,1,4880
"52001",1,1,1,2,4883
"52001",2,1,2,3,4894
"52001",1,1,1,2,4900
"52001",1,1,2,3,4909
"52001",1,1,1,2,4915
"52001",1,1,3,4,4926
"52001",1,1,2,5,4934
"52001",1,1,2,5,4946
"52001",2,1,3,4,4958
"52356",2,1,2,3,5541
"52356",2,1,2,3,5565
"52356",2,1,2,4,5582
"52356",2,1,2,4,5593
"52356",2,1,2,2,5602
