"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"97001",1,1,1,4,18061
"97001",1,1,1,5,18083
"97001",1,1,1,8,21022
"97001",2,1,1,3,21277
"97001",1,1,1,4,21348
"97001",1,1,1,5,21359
"97001",1,1,1,3,21670
"97001",1,1,1,2,21713
"97001",1,1,1,4,21773
"97001",1,1,1,2,21789
"97001",1,1,2,3,21830
"97001",3,1,1,1,21895
"97001",1,1,1,9,21896
"97001",1,1,1,5,22036
"97001",1,1,1,4,22042
"97001",1,1,1,3,22096
"97001",1,1,1,5,22116
"97001",1,1,1,6,22138
"97001",1,1,1,3,22296
"97001",1,1,1,3,22301
"97001",1,1,1,3,22335
"97001",1,1,1,7,22339
"97001",1,1,1,4,22384
"97001",1,1,1,4,22426
"97001",1,1,1,1,22465
"97001",1,1,1,9,22508
"97001",1,1,1,1,22599
"97001",1,1,1,6,22737
"97001",2,1,1,4,22875
"97001",1,1,1,2,22944
"97001",3,1,1,1,23423
"97001",1,1,1,1,23462
"97001",1,1,1,3,23489
"97001",1,1,1,3,23522
"97001",1,1,1,1,23570
"97001",3,1,1,1,23588
"97001",2,1,1,4,23615
"97001",3,1,1,1,23638
"97001",2,1,1,3,23678
"97001",2,1,1,1,23711
"97001",1,1,1,4,23753
"97001",3,1,1,1,23790
"97001",2,1,1,1,23798
"97001",3,1,1,1,23853
"97001",1,1,1,8,23855
"97001",3,1,1,1,23873
"97001",3,1,1,4,23878
"97001",1,1,1,10,23887
"97001",3,1,1,3,23892
"97001",2,1,1,3,23895
"97001",1,1,1,4,23903
"97001",1,1,1,3,23915
"97001",2,1,1,4,23917
"97001",1,1,1,1,23991
"97001",3,1,1,3,24015
"97001",3,1,1,2,24066
"97001",3,1,1,1,24118
"97001",1,1,1,1,24191
"97001",1,1,1,6,24282
"97001",1,1,1,7,24465
"97001",1,1,1,2,24584
"97001",1,1,1,6,24683
"97001",1,1,1,5,25022
"97001",1,1,1,1,25113
"97001",1,1,1,4,25150
"97001",1,1,1,2,25209
"97001",1,1,1,4,25267
"97001",2,1,1,3,25280
"97001",1,1,1,5,25304
"97001",1,1,1,6,25330
"97001",1,1,1,3,25350
"97001",1,1,2,3,25352
"97001",1,1,1,2,25354
"97001",2,1,1,4,25355
"97001",3,1,1,4,25362
"97001",3,1,1,1,25363
"97001",1,1,1,3,25367
"97001",3,1,1,2,25368
"97001",1,1,1,2,25371
"97001",1,1,1,2,25373
"97001",1,1,1,5,25377
"97001",2,1,2,1,25381
"97001",1,1,1,1,25382
"97001",3,1,1,1,25384
"97001",1,1,1,1,25447
"97001",1,1,1,4,25452
"97001",1,1,1,1,25454
"97001",3,1,1,1,25459
"97001",1,1,1,1,25461
"97001",3,1,1,1,25466
"97001",1,1,1,1,25478
"97001",3,1,2,2,25479
"97001",3,1,1,1,25489
"97001",3,1,2,1,25498
"97001",3,1,1,1,25504
"97001",3,1,1,1,25522
"97001",3,1,1,1,25524
"97001",3,1,1,1,25539
"97001",3,1,2,1,25553
"97001",1,1,1,1,25564
"97001",3,1,1,1,25582
"97001",2,1,1,2,25590
"97001",3,1,1,1,25603
"97001",2,1,1,1,25608
"97001",2,1,1,2,25634
"97001",2,1,1,1,25638
"97001",2,1,1,5,25662
"97001",2,1,1,4,25663
"97001",2,1,1,1,25686
"97001",2,1,1,1,25699
"97001",2,1,1,2,25708
"97001",2,1,1,1,25732
"97001",1,1,1,4,25854
"97001",3,1,1,1,25857
"97001",1,1,1,1,25870
"97001",2,1,1,1,25882
"97001",2,1,1,2,25892
"97001",2,1,1,1,25908
"97001",1,1,1,3,25909
"97001",2,1,1,1,25925
"97001",3,1,1,1,25930
"97001",1,1,1,4,25932
"97001",3,1,1,1,25941
"97001",3,1,1,1,25945
"97001",3,1,1,1,25948
"97001",3,1,1,1,25949
"97001",3,1,1,1,25956
"97001",3,1,1,2,25960
"97001",1,1,1,7,25964
"97001",1,1,1,2,25970
"97001",2,1,1,1,25971
"97001",1,1,1,2,25976
"97001",2,1,1,6,25980
"97001",2,1,1,2,25985
"97001",2,1,1,3,25990
"97001",2,1,1,4,25995
"97001",1,1,1,2,26075
"97001",1,1,1,5,26076
"97001",2,1,2,2,26078
"97001",2,1,1,3,26081
"97001",2,1,1,1,26083
"97001",2,1,1,3,26085
"97001",3,1,1,4,26086
"97001",2,1,2,4,26100
"97001",2,1,2,2,26103
"97001",1,1,1,3,26109
"97001",3,1,1,1,26119
"97001",1,1,1,1,26144
"97001",1,1,1,3,26157
"97001",1,1,1,8,26178
"97001",1,1,1,4,26215
"97001",1,1,1,3,26268
"97001",1,1,1,5,26518
"97001",3,1,1,4,26575
"97001",1,1,1,4,26592
"97001",1,1,1,3,26644
"97001",1,1,1,4,26654
"97001",1,1,1,4,26677
"97001",1,1,1,9,26699
"97001",1,1,1,2,26727
"97001",1,1,1,4,26773
"97001",1,1,1,5,26777
"97001",1,1,1,1,26801
"97001",1,1,1,1,26821
"97001",1,1,1,3,26841
"97001",1,1,1,4,26863
"97001",1,1,1,6,26923
"97001",1,1,1,5,26963
"97001",1,1,1,5,27017
"97001",1,1,1,3,27058
"97001",1,1,1,4,27083
"97001",1,1,1,5,27122
"97001",1,1,1,4,27176
"97001",1,1,1,4,27203
"97001",1,1,1,2,27242
"97001",1,1,1,2,27258
"97001",1,1,1,1,27285
"97001",1,1,1,5,27288
"97001",1,1,1,7,27297
"97001",1,1,1,4,27300
"97001",1,1,1,5,27307
"97001",1,1,1,7,27308
"97001",1,1,1,4,27317
"97001",2,1,1,1,27330
"97001",1,1,1,5,27333
"97001",1,1,1,1,27337
"97001",1,1,1,2,27339
"97001",1,1,1,7,27340
"97001",1,1,1,6,27423
"97001",1,1,1,4,27429
"97001",1,1,1,4,27444
"97001",1,1,1,3,27457
"97001",1,1,1,4,27462
"97001",1,1,1,5,27472
"97001",1,1,1,5,27479
"97001",1,1,1,3,27493
"97001",1,1,1,1,27507
"97001",1,1,1,8,27515
"97001",1,1,1,5,27524
"97001",1,1,1,4,27538
"97001",1,1,1,2,27543
"97001",1,1,1,4,27555
"97001",1,1,1,10,27563
"97001",1,1,1,6,27571
"97001",1,1,1,1,27590
"97001",1,1,1,6,27598
"97001",1,1,1,3,27603
"97001",1,1,1,5,27616
"97001",1,1,1,4,28149
"97001",1,1,1,3,28152
"97001",1,1,1,3,28153
"97001",1,1,1,2,28157
"97001",1,1,1,1,28159
"97001",1,1,1,6,28160
"97001",1,1,1,4,28168
"97001",1,1,1,4,28171
"97001",1,1,1,3,28180
"97001",1,1,1,6,28188
"97001",1,1,1,4,28190
"97001",1,1,1,5,28207
"97001",1,1,1,4,28213
"97001",1,1,1,1,28225
"97001",1,1,1,4,28236
"97001",1,1,1,6,28246
"97001",1,1,1,4,28258
"97001",1,1,1,4,28292
"97001",1,1,1,7,28325
"97001",1,1,1,5,28326
"97001",1,1,1,4,28398
"97001",1,1,1,4,28410
"97001",1,1,1,5,28462
"97001",1,1,1,5,28466
"97001",1,1,1,3,28524
"97001",1,1,1,7,28525
"97001",1,1,1,3,28572
"97001",1,1,1,3,28577
"97001",1,1,1,2,28619
"97001",1,1,1,4,28635
"97001",1,1,1,3,28670
"97001",1,1,1,6,28721
"97001",1,1,1,3,28781
"97001",1,1,1,1,28857
"97161",1,1,1,2,29224
"97161",1,1,1,3,29296
"97161",1,1,1,4,29344
"97161",1,1,1,2,29369
"97161",1,1,1,5,29394
"97161",1,1,1,5,29438
"97161",3,1,1,2,29455
"97161",1,1,1,4,29488
"97161",1,1,1,6,29524
"97161",3,1,1,2,29530
"97161",1,1,1,2,29566
"97161",1,1,1,5,29600
"97161",3,1,1,2,29603
"97161",1,1,1,4,29619
"97161",3,1,1,2,29631
"97161",3,1,1,4,29664
"97161",1,1,1,2,30535
"97161",1,1,1,1,30574
"97161",1,1,1,3,30604
"97161",1,1,1,5,30661
"97161",1,1,1,3,30759
"97161",1,1,1,3,30803
"97161",1,1,1,6,30837
"97161",1,1,1,3,30889
"97161",1,1,1,4,30915
"97001",1,1,1,3,31025
"97001",1,1,1,7,31030
"97001",1,1,1,2,31034
"97001",1,1,2,2,31039
"97001",1,1,1,3,31042
"97001",1,1,1,5,31044
"97001",1,1,1,5,31052
"97001",1,1,1,4,31054
"97001",1,1,1,2,31058
"97001",1,1,1,4,31363
"97001",1,1,1,3,31437
"97001",1,1,1,3,31489
"97001",1,1,1,1,31558
"97001",1,1,1,4,31616
"97001",2,1,1,3,31693
"97001",1,1,1,4,31766
"97001",1,1,1,3,31792
"97001",1,1,1,3,31806
"97001",1,1,1,5,31847
"97001",1,1,1,4,31906
"97001",1,1,1,3,31939
"97001",2,1,1,3,31993
"97001",3,1,1,3,32032
"97001",3,1,1,3,32079
"97001",1,1,1,4,32100
"97001",1,1,1,1,32133
"97001",1,1,1,4,32183
"97001",1,1,1,2,32277
"97001",1,1,1,3,32363
"97001",1,1,1,4,32409
"97001",1,1,1,6,32449
"97001",1,1,1,8,32504
"97001",1,1,1,3,32585
"97001",1,1,1,4,32611
"97001",1,1,1,4,32682
"97001",1,1,1,3,32692
"97001",1,1,1,2,32699
"97001",1,1,1,2,32703
"97001",1,1,1,8,32710
"97001",1,1,1,5,32715
"97001",1,1,1,1,32716
"97001",1,1,1,6,32724
"97001",1,1,1,4,32737
"97001",1,1,1,6,32740
"97001",1,1,1,3,32743
"97001",2,1,1,2,32745
"97001",1,1,1,4,32750
"97001",1,1,1,5,32752
"97001",1,1,1,4,32757
"97001",1,1,1,7,32758
"97001",1,1,1,6,32761
"97001",2,1,1,1,32766
"97001",1,1,1,5,32767
"97001",1,1,1,6,32768
"97001",1,1,1,2,32773
"97001",1,1,1,4,32775
"97001",1,1,1,9,32778
"97001",1,1,1,6,32780
"97001",1,1,1,4,32787
