"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"99001",3,1,2,2,10610
"99001",4,1,1,5,12030
"99001",4,2,NA,4,12134
"99001",1,1,1,2,12212
"99001",1,1,1,3,12216
"99001",2,1,1,2,12226
"99001",1,1,1,4,13711
"99001",1,1,1,1,13968
"99001",1,1,1,8,14567
"99001",1,1,1,6,14852
"99001",1,1,1,4,14898
"99001",1,1,1,2,14968
"99001",1,1,2,3,15030
"99001",1,1,1,1,15141
"99001",1,1,1,9,15640
"99001",4,2,NA,3,15651
"99001",1,1,1,8,15684
"99001",1,1,2,3,15706
"99001",1,1,1,1,15800
"99001",4,1,8,4,15808
"99001",1,1,1,5,15814
"99001",1,1,1,4,15820
"99001",1,1,1,3,15822
"99001",1,1,1,3,15826
"99001",1,1,1,1,15831
"99001",1,1,1,4,18632
"99001",1,1,1,4,18991
"99001",1,1,1,4,19039
"99001",1,1,1,1,19077
"99001",1,1,1,4,19113
"99001",1,1,1,9,19322
"99001",1,1,1,6,19352
"99001",1,1,1,3,19378
"99001",1,1,2,3,19408
"99001",4,1,1,3,19425
"99001",4,1,1,1,19467
"99001",1,1,1,8,19508
"99001",2,1,1,8,19510
"99001",1,1,1,5,20172
"99001",4,1,1,3,20275
"99001",1,1,1,6,20934
"99001",1,1,1,4,20943
"99001",1,1,1,2,20951
"99001",1,1,1,3,21041
"99001",1,1,1,3,21048
"99001",1,1,1,4,21066
"99001",1,1,1,2,21089
"99001",1,1,1,6,23389
"99001",1,1,1,6,23502
"99001",1,1,1,3,23564
"99001",1,1,1,4,23648
"99001",1,1,1,4,23737
"99001",1,1,1,4,23786
"99001",1,1,1,1,23854
"99001",1,1,1,2,24035
"99001",1,1,1,5,24090
"99001",1,1,1,5,24138
"99001",1,1,1,1,24153
"99001",1,1,1,4,24293
"99001",2,1,1,6,24324
"99001",2,1,1,4,24433
"99001",2,1,1,4,24619
"99001",2,1,1,1,24951
"99001",2,1,1,5,25033
"99001",1,1,1,4,25042
"99001",2,1,1,1,25142
"99001",2,1,1,6,25179
"99001",1,1,2,6,25234
"99001",2,1,1,8,25241
"99001",1,1,1,4,25295
"99001",1,1,1,3,25326
"99001",2,1,2,4,25485
"99001",2,1,2,3,25506
"99001",1,1,1,6,25534
"99001",1,1,1,5,25570
"99001",1,1,1,6,25596
"99001",2,1,2,4,25598
"99001",1,1,2,1,25623
"99001",1,1,1,4,25642
"99001",1,1,2,5,25643
"99001",2,1,2,7,25666
"99001",1,1,1,1,25693
"99001",1,1,2,3,25697
"99001",1,1,1,2,25705
"99001",1,1,1,1,25729
"99001",1,1,1,3,25731
"99001",1,1,1,2,25847
"99001",1,1,2,4,25848
"99001",1,1,2,5,25886
"99001",1,1,2,2,25906
"99001",2,1,1,4,26140
"99001",2,1,1,1,26164
"99001",2,1,1,1,26193
"99001",2,1,1,2,26221
"99001",2,1,1,1,26405
"99001",2,1,2,1,28206
"99001",2,1,1,1,28222
"99001",2,1,1,1,28242
"99001",2,1,1,1,28283
"99001",2,1,1,1,28319
"99001",1,1,1,4,28335
"99001",2,1,1,1,28352
"99001",1,1,1,5,28409
"99001",1,1,1,5,28465
"99001",1,1,2,5,28513
"99001",1,1,1,4,28566
"99001",2,1,1,1,28631
"99001",1,1,1,3,28676
"99001",1,1,1,2,28701
"99001",4,1,1,1,29139
"99001",1,1,1,6,29176
"99001",4,1,1,5,29229
"99001",1,1,1,4,29246
"99001",1,1,1,8,29299
"99001",1,1,1,3,29357
"99001",2,1,1,4,29406
"99001",2,1,1,5,29477
"99001",1,1,1,2,29540
"99001",1,1,1,3,29574
"99001",1,1,1,2,29598
"99001",1,1,1,5,29632
"99001",1,1,1,3,29655
"99001",2,1,1,10,29658
"99001",1,1,2,3,29822
"99001",2,1,1,8,29847
"99001",3,1,1,4,29891
"99001",2,1,1,4,30036
"99001",1,1,1,5,30096
"99001",1,1,1,2,30177
"99001",1,1,1,6,30559
"99001",2,1,1,1,30617
"99001",1,1,1,3,30644
"99001",1,1,1,3,30688
"99001",1,1,1,4,30977
"99001",1,1,2,3,30992
"99001",1,1,1,4,31172
"99001",1,1,1,2,31202
"99001",1,1,2,7,31231
"99001",2,1,2,1,31255
"99001",2,1,1,4,31278
"99001",2,1,1,1,31309
"99001",1,1,1,2,31313
"99001",1,1,2,3,31362
"99001",1,1,1,1,31369
"99001",1,1,1,3,31415
"99001",1,1,2,2,31470
"99001",1,1,3,4,31549
"99001",2,1,2,5,31577
"99001",2,1,1,5,31653
"99001",2,1,1,1,32199
"99001",1,1,1,4,32228
"99001",1,1,1,5,32251
"99001",2,1,2,2,32300
"99001",2,1,1,6,32336
"99001",1,1,1,3,32381
"99001",1,1,1,3,32402
"99001",1,1,1,4,32454
"99001",1,1,1,1,32475
"99001",2,1,1,2,32486
"99001",2,1,1,3,32517
"99001",1,1,1,4,32658
"99001",1,1,1,6,32661
"99001",1,1,1,2,32693
"99001",1,1,1,2,32701
"99001",1,1,1,2,32920
"99001",1,1,1,4,32943
"99001",1,1,1,6,33093
"99001",1,1,1,2,33159
"99001",2,1,1,3,33803
"99001",1,1,1,4,33807
"99001",1,1,1,5,33839
"99001",4,1,1,6,33870
"99001",1,1,1,8,33927
"99001",2,1,1,5,33972
"99001",2,1,1,1,34039
"99001",1,1,1,3,34100
"99001",1,1,1,4,34110
"99001",1,1,1,4,34132
"99001",1,1,1,2,34152
"99001",2,1,1,4,34159
"99001",1,1,1,7,34176
"99001",2,1,1,5,34205
"99001",2,1,1,1,34211
